measurement_id,physical_object_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference
GS30148179_juodzbalis25,HZA-GS-30148179,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS10013704_juodzbalis25,HZA-GS-10013704,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS210600_juodzbalis25,HZA-GS-210600,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS204851_juodzbalis25,HZA-GS-204851,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS172975_juodzbalis25,HZA-GS-172975,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS159717_juodzbalis25,HZA-GS-159717,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN77652_juodzbalis25,HZA-GN-77652,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN73488_juodzbalis25,HZA-GN-73488,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN62309_juodzbalis25,HZA-GN-62309,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN61888_juodzbalis25,HZA-GN-61888,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN53757_juodzbalis25,HZA-GN-53757,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS38562_juodzbalis25,HZA-GS-38562,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN38509_juodzbalis25,HZA-GN-38509,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN20621_juodzbalis25,HZA-GN-20621,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN11836_juodzbalis25,HZA-GN-11836,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS8083_juodzbalis25,HZA-GS-8083,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN1093_juodzbalis25,HZA-GN-1093,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN954_juodzbalis25,HZA-GN-954,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS200679_juodzbalis25,HZA-GS-200679,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS20057765_juodzbalis25,HZA-GS-20057765,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS20030333_juodzbalis25,HZA-GS-20030333,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS164055_juodzbalis25,HZA-GS-164055,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN4685_juodzbalis25,HZA-GN-4685,1,only catalogue measurement in this release,singleton assignment,v1 catalogue
RUBIESUDS44043_taylor24,HZA-RUBIES-UDS-44043,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS50812_taylor24,HZA-RUBIES-EGS-50812,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS21944_taylor24,HZA-RUBIES-UDS-21944,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS46566_taylor24,HZA-RUBIES-UDS-46566,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS154183_taylor24,HZA-RUBIES-UDS-154183,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS153207_taylor24,HZA-RUBIES-UDS-153207,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS50522_taylor24,HZA-RUBIES-EGS-50522,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS920_taylor24,HZA-RUBIES-EGS-920,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS150323_taylor24,HZA-RUBIES-UDS-150323,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS58237_taylor24,HZA-RUBIES-EGS-58237,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS61627_taylor24,HZA-RUBIES-UDS-61627,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS5496_taylor24,HZA-RUBIES-UDS-5496,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS15825_taylor24,HZA-RUBIES-EGS-15825,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS18302_taylor24,HZA-RUBIES-UDS-18302,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS46885_taylor24,HZA-RUBIES-UDS-46885,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS146995_taylor24,HZA-RUBIES-UDS-146995,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS34978_taylor24,HZA-RUBIES-EGS-34978,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS19174_taylor24,HZA-RUBIES-EGS-19174,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS10036_taylor24,HZA-RUBIES-UDS-10036,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
