catalogue_release,measurement_id,physical_object_id,host_system_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference,identity_resolution_status
v1-dataset-catalogue,GN1093_juodzbalis25,HZA-GN-1093,HZS-GN-1093,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN11836_juodzbalis25,HZA-GN-11836,HZS-GN-11836,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN20621_juodzbalis25,HZA-GN-20621,HZS-GN-20621,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN38509_juodzbalis25,HZA-GN-38509,HZS-GN-38509,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN4685_juodzbalis25,HZA-GN-4685,HZS-GN-4685,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN53757_juodzbalis25,HZA-GN-53757,HZS-GN-53757,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN61888_juodzbalis25,HZA-GN-61888,HZS-GN-61888,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN62309_juodzbalis25,HZA-GN-62309,HZS-GN-62309,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN73488_juodzbalis25,HZA-GN-73488,HZS-GN-73488,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN77652_juodzbalis25,HZA-GN-77652,HZS-GN-77652,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GN954_juodzbalis25,HZA-GN-954,HZS-GN-954,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS10013704_juodzbalis25,HZA-GS-10013704,HZS-GS-10013704,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS159717_juodzbalis25,HZA-GS-159717,HZS-GS-159717,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS164055_juodzbalis25,HZA-GS-164055,HZS-GS-164055,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS172975_juodzbalis25,HZA-GS-172975,HZS-GS-172975,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS20030333_juodzbalis25,HZA-GS-20030333,HZS-GS-20030333,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS20057765_juodzbalis25,HZA-GS-20057765,HZS-GS-20057765,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS200679_juodzbalis25,HZA-GS-200679,HZS-GS-200679,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS204851_juodzbalis25,HZA-GS-204851,HZS-GS-204851,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS210600_juodzbalis25,HZA-GS-210600,HZS-GS-210600,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS30148179_juodzbalis25,HZA-GS-30148179,HZS-GS-30148179,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS38562_juodzbalis25,HZA-GS-38562,HZS-GS-38562,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v1-dataset-catalogue,GS8083_juodzbalis25,HZA-GS-8083,HZS-GS-8083,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
