catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v3-dataset-catalogue,HZA-A2744-QSO1,HZS-A2744-QSO1,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-ABELL2744-GREENE-8204-69688,HZS-ABELL2744-GREENE-8204-69688,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-AURORA-1914-100182,HZS-AURORA-1914-100182,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-AURORA-1914-8769,HZS-AURORA-1914-8769,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-AURORA-1914-927605,HZS-AURORA-1914-927605,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-AURORA-1914-928583,HZS-AURORA-1914-928583,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-BLUEJAY-1810-19945,HZS-BLUEJAY-1810-19945,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-CAPERS-COS07-6368-35805,HZS-CAPERS-COS07-6368-35805,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-CEERS-00717,HZS-CEERS-00717,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-CEERS-01236,HZS-CEERS-01236,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-CEERS-01665,HZS-CEERS-01665,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-CEERS-1019,HZS-CEERS-1019,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1025,HZS-CEERS-1025,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-CEERS-1029,HZS-CEERS-1029,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1064,HZS-CEERS-1064,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-CEERS-1173,HZS-CEERS-1173,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1212,HZS-CEERS-1212,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1244,HZS-CEERS-1244,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-CEERS-1400,HZS-CEERS-1400,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1477,HZS-CEERS-1477,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1536,HZS-CEERS-1536,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1539,HZS-CEERS-1539,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1561,HZS-CEERS-1561,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1605,HZS-CEERS-1605,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1658,HZS-CEERS-1658,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1732,HZS-CEERS-1732,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1746,HZS-CEERS-1746,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1767,HZS-CEERS-1767,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-1836,HZS-CEERS-1836,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-2168,HZS-CEERS-2168,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-23,HZS-CEERS-23,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-2782,HZS-CEERS-2782,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-CEERS-355,HZS-CEERS-355,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-397,HZS-CEERS-397,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-CEERS-4210,HZS-CEERS-4210,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-428,HZS-CEERS-428,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-44804,HZS-CEERS-44804,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-496,HZS-CEERS-496,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-613,HZS-CEERS-613,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-669,HZS-CEERS-669,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-CEERS-672,HZS-CEERS-672,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-CEERS-689,HZS-CEERS-689,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-CEERS-746,HZS-CEERS-746,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-DC-417567,HZS-DC-417567,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-DC-519281,HZS-DC-519281,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-DC-536534,HZS-DC-536534,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-DC-683613,HZS-DC-683613,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-DC-848185-A,HZS-DC-848185,source_verified_multinucleus_host,shared_host_system_total
v3-dataset-catalogue,HZA-DC-848185-B,HZS-DC-848185,source_verified_multinucleus_host,shared_host_system_total
v3-dataset-catalogue,HZA-DC-873321,HZS-DC-873321,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-DJA-12329,HZS-DJA-12329,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-DJA-16321,HZS-DJA-16321,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-DJA-20547,HZS-DJA-20547,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-DJA-22015,HZS-DJA-22015,source_verified_single_object_host,not_published
