measurement_id,physical_object_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference
CEERS1244_taylor24,HZA-CEERS-1244,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
CEERS2782_taylor24,HZA-CEERS-2782,False,nonpreferred duplicate: severe spatial slit loss; Taylor et al. adopt RUBIES-EGS-50052,explicit literature duplicate,"Taylor et al. (2025), Section 3.3 / Table 1 notes"
CEERS397_taylor24,HZA-CEERS-397,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
CEERS672_taylor24,HZA-CEERS-672,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
CEERS746_taylor24,HZA-CEERS-746,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
GN1093_juodzbalis25,HZA-GN-1093,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN11836_juodzbalis25,HZA-GN-11836,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN20621_juodzbalis25,HZA-GN-20621,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN38509_juodzbalis25,HZA-GN-38509,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN4685_juodzbalis25,HZA-GN-4685,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN53757_juodzbalis25,HZA-GN-53757,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN61888_juodzbalis25,HZA-GN-61888,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN62309_juodzbalis25,HZA-GN-62309,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN73488_juodzbalis25,HZA-GN-73488,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN77652_juodzbalis25,HZA-GN-77652,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GN954_juodzbalis25,HZA-GN-954,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GOODSN12839_matthee23,HZA-GOODS-N-12839,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
GOODSN13733_matthee23,HZA-GOODS-N-13733,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
GOODSN14409_matthee23,HZA-GOODS-N-14409,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
GOODSN15498_matthee23,HZA-GOODS-N-15498,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
GOODSN16813_matthee23,HZA-GOODS-N-16813,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
GOODSN4014_matthee23,HZA-GOODS-N-4014,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
GOODSN9771_matthee23,HZA-GOODS-N-9771,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
GOODSS13971_matthee23,HZA-GS-204851,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds
GS10013704_juodzbalis25,HZA-GS-10013704,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS159717_juodzbalis25,HZA-GS-159717,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS164055_juodzbalis25,HZA-GS-164055,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS172975_juodzbalis25,HZA-GS-172975,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS20030333_juodzbalis25,HZA-GS-20030333,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS20057765_juodzbalis25,HZA-GS-20057765,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS200679_juodzbalis25,HZA-GS-200679,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS204851_juodzbalis25,HZA-GS-204851,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS210600_juodzbalis25,HZA-GS-210600,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS30148179_juodzbalis25,HZA-GS-30148179,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS38562_juodzbalis25,HZA-GS-38562,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
GS8083_juodzbalis25,HZA-GS-8083,True,only catalogue measurement in this release,singleton assignment,v1 catalogue
J010012446_matthee23,HZA-J0100-12446,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J010015157_matthee23,HZA-J0100-15157,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J010016221_matthee23,HZA-J0100-16221,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J01002017_matthee23,HZA-J0100-2017,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0109M3047BHAE1_lin24,HZA-J0109M3047-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J014812884_matthee23,HZA-J0148-12884,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J01484214_matthee23,HZA-J0148-4214,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0148976_matthee23,HZA-J0148-976,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0218P0007BHAE1_lin24,HZA-J0218P0007-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0224M4711BHAE1_lin24,HZA-J0224M4711-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0229M0808BHAE1_lin24,HZA-J0229M0808-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0229M0808BHAE2_lin24,HZA-J0229M0808-BHAE-2,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0430M1445BHAE1_lin24,HZA-J0430M1445-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0910M0414BHAE1_lin24,HZA-J0910M0414-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0923P0402BHAE1_lin24,HZA-J0923P0402-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J112014389_matthee23,HZA-J1120-14389,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J11207546_matthee23,HZA-J1120-7546,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J114818404_matthee23,HZA-J1148-18404,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J114821787_matthee23,HZA-J1148-21787,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J11487111_matthee23,HZA-J1148-7111,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J1526M2050BHAE1_lin24,HZA-J1526M2050-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J1526M2050BHAE2_lin24,HZA-J1526M2050-BHAE-2,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J1526M2050BHAE3_lin24,HZA-J1526M2050-BHAE-3,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
