catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v7.2-accreting-atlas-catalogue,HZA-CEERS-00717,HZS-CEERS-00717,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-CEERS-01236,HZS-CEERS-01236,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-CEERS-01665,HZS-CEERS-01665,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-CEERS-1244,HZS-CEERS-1244,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-CEERS-2782,HZS-CEERS-2782,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-CEERS-397,HZS-CEERS-397,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-CEERS-672,HZS-CEERS-672,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-CEERS-746,HZS-CEERS-746,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-DC-417567,HZS-DC-417567,source_verified_single_object_host,object_specific
v7.2-accreting-atlas-catalogue,HZA-DC-519281,HZS-DC-519281,source_verified_single_object_host,object_specific
v7.2-accreting-atlas-catalogue,HZA-DC-536534,HZS-DC-536534,source_verified_single_object_host,object_specific
v7.2-accreting-atlas-catalogue,HZA-DC-683613,HZS-DC-683613,source_verified_single_object_host,object_specific
v7.2-accreting-atlas-catalogue,HZA-DC-848185-A,HZS-DC-848185,source_verified_multinucleus_host,shared_host_system_total
v7.2-accreting-atlas-catalogue,HZA-DC-848185-B,HZS-DC-848185,source_verified_multinucleus_host,shared_host_system_total
v7.2-accreting-atlas-catalogue,HZA-DC-873321,HZS-DC-873321,source_verified_single_object_host,object_specific
v7.2-accreting-atlas-catalogue,HZA-GLASS-150029,HZS-GLASS-150029,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GLASS-160133,HZS-GLASS-160133,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-1093,HZS-GN-1093,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-11836,HZS-GN-11836,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-20621,HZS-GN-20621,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-38509,HZS-GN-38509,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-4685,HZS-GN-4685,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-53757,HZS-GN-53757,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-61888,HZS-GN-61888,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GN-62309,HZS-GN-62309,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
