catalogue_release,measurement_id,physical_object_id,host_system_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference,identity_resolution_status
v7.5-accreting-atlas-catalogue,CEERS00397_harikane23,HZA-CEERS-397,HZS-CEERS-397,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v7.5-accreting-atlas-catalogue,CEERS00672_harikane23,HZA-CEERS-672,HZS-CEERS-672,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v7.5-accreting-atlas-catalogue,CEERS00717_harikane23,HZA-CEERS-00717,HZS-CEERS-00717,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,CEERS00746_harikane23,HZA-CEERS-746,HZS-CEERS-746,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v7.5-accreting-atlas-catalogue,CEERS01236_harikane23,HZA-CEERS-01236,HZS-CEERS-01236,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,CEERS01244_harikane23,HZA-CEERS-1244,HZS-CEERS-1244,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v7.5-accreting-atlas-catalogue,CEERS01665_harikane23,HZA-CEERS-01665,HZS-CEERS-01665,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,CEERS02782_harikane23,HZA-CEERS-2782,HZS-CEERS-2782,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v7.5-accreting-atlas-catalogue,CEERS1244_taylor24,HZA-CEERS-1244,HZS-CEERS-1244,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1",resolved
v7.5-accreting-atlas-catalogue,CEERS2782_taylor24,HZA-CEERS-2782,HZS-CEERS-2782,False,nonpreferred duplicate: severe spatial slit loss; Taylor et al. adopt RUBIES-EGS-50052,explicit literature duplicate,"Taylor et al. (2025), Section 3.3 / Table 1 notes",resolved
v7.5-accreting-atlas-catalogue,CEERS397_taylor24,HZA-CEERS-397,HZS-CEERS-397,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1",resolved
v7.5-accreting-atlas-catalogue,CEERS672_taylor24,HZA-CEERS-672,HZS-CEERS-672,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1",resolved
v7.5-accreting-atlas-catalogue,CEERS746_taylor24,HZA-CEERS-746,HZS-CEERS-746,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1",resolved
v7.5-accreting-atlas-catalogue,DC417567_ren25,HZA-DC-417567,HZS-DC-417567,True,only catalogue measurement for this physical object,singleton assignment after coordinate-redshift search,no v6 candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,DC519281_ren25,HZA-DC-519281,HZS-DC-519281,True,only catalogue measurement for this physical object,singleton assignment after coordinate-redshift search,no v6 candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,DC536534_ren25,HZA-DC-536534,HZS-DC-536534,True,only catalogue measurement for this physical object,singleton assignment after coordinate-redshift search,no v6 candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,DC683613_ren25,HZA-DC-683613,HZS-DC-683613,True,only catalogue measurement for this physical object,singleton assignment after coordinate-redshift search,no v6 candidate within 0.5 arcsec and delta-z 0.01,resolved
