catalogue_release,host_system_id,n_physical_objects,n_measurements,physical_object_ids,measurement_ids,source_keys,host_system_assignment_status,host_property_scope,log_mstar_msun_std,log_mstar_upper_limit_msun,host_mass_note
v1-dataset-catalogue,HZS-GN-1093,1,1,HZA-GN-1093,GN1093_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-11836,1,1,HZA-GN-11836,GN11836_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-20621,1,1,HZA-GN-20621,GN20621_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-38509,1,1,HZA-GN-38509,GN38509_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-4685,1,1,HZA-GN-4685,GN4685_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-53757,1,1,HZA-GN-53757,GN53757_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-61888,1,1,HZA-GN-61888,GN61888_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-62309,1,1,HZA-GN-62309,GN62309_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-73488,1,1,HZA-GN-73488,GN73488_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-77652,1,1,HZA-GN-77652,GN77652_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GN-954,1,1,HZA-GN-954,GN954_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-10013704,1,1,HZA-GS-10013704,GS10013704_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-159717,1,1,HZA-GS-159717,GS159717_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-164055,1,1,HZA-GS-164055,GS164055_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-172975,1,1,HZA-GS-172975,GS172975_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-20030333,1,1,HZA-GS-20030333,GS20030333_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-20057765,1,1,HZA-GS-20057765,GS20057765_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-200679,1,1,HZA-GS-200679,GS200679_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-204851,1,1,HZA-GS-204851,GS204851_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-210600,1,1,HZA-GS-210600,GS210600_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-30148179,1,1,HZA-GS-30148179,GS30148179_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-38562,1,1,HZA-GS-38562,GS38562_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v1-dataset-catalogue,HZS-GS-8083,1,1,HZA-GS-8083,GS8083_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
