measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,cosmic_time_gyr,survey,object_class,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,mbh_method,detection_evidence,log_mstar_msun_std,log_mstar_err_plus_std,log_mstar_err_minus_std,mstar_method,log_lbol_erg_s_std,log_lbol_err_plus_std,log_lbol_err_minus_std,lbol_method,log_mbh_mstar_ratio,log_mbh_mstar_ratio_err,edd_ratio_std,edd_ratio_err_std,edd_ratio_from_mbh_lbol,edd_ratio_log_residual_dex,edd_ratio_consistency_flag,agn_contam_flag,lensing_mu,lensing_mu_err,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,missing_optional_fields,mbh_interpretation_tag,mstar_interpretation_tag,lbol_interpretation_tag,quality_flag,project_version,source_key,source_table,notes
GS30148179_juodzbalis25,GS-30148179,53.14208,-27.77985,5.922,spec,0.9465948399109975,JADES,broad-line-agn,7.12,0.34,0.35,single-epoch-virial-halpha,individual_robust,8.95,0.58,0.58,beagle-spectral-decomposition,44.25,0.06,0.08,balmer-line-bolometric-correction,-1.8299999999999992,0.6748518355905984,0.11,0.04,0.10706054623743334,0.011763230275785876,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS10013704_juodzbalis25,GS-10013704,53.12654,-27.81809,5.919,spec,0.947209215281436,JADES,broad-line-agn,7.44,0.31,0.31,single-epoch-virial-halpha,individual_robust,8.9,0.9,0.9,beagle-spectral-decomposition,44.29,0.02,0.02,balmer-line-bolometric-correction,-1.46,0.951892851112981,0.055,0.006500000000000001,0.05618617336382059,-0.009266765388194195,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS210600_juodzbalis25,GS-210600,53.16611,-27.77985,6.306,spec,0.8730973651000311,JADES,broad-line-agn,7.41,0.33,0.34,single-epoch-virial-halpha,individual_robust,8.4,0.61,0.61,beagle-spectral-decomposition,44.29,0.09,0.11,balmer-line-bolometric-correction,-0.9900000000000002,0.6959346233663044,0.057,0.014499999999999999,0.06020456944675992,-0.023754599209940667,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS204851_juodzbalis25,GS-204851,53.13859,-27.79025,5.48,spec,1.0448301043218127,JADES,broad-line-agn,7.68,0.32,0.31,single-epoch-virial-halpha,individual_robust,10.74,0.09,0.09,beagle-spectral-decomposition,44.97,0.17,0.12,balmer-line-bolometric-correction,-3.0600000000000005,0.32760494501762333,0.16,0.025,0.1547495714093682,0.014490527773488996,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS172975_juodzbalis25,GS-172975,53.08773,-27.87124,4.741,spec,1.2522045591007307,JADES,broad-line-agn,7.25,0.32,0.32,single-epoch-virial-halpha,individual_robust,8.98,0.14,0.14,beagle-spectral-decomposition,44.07,0.04,0.04,balmer-line-bolometric-correction,-1.7300000000000004,0.3492849839314596,0.05,0.01,0.05243598793711077,-0.02065945054641807,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS159717_juodzbalis25,GS-159717,53.09753,-27.90126,5.077,spec,1.1501440446728537,JADES,broad-line-agn,7.44,0.3,0.3,single-epoch-virial-halpha,individual_robust,,,,,45.13,0.008,0.008,balmer-line-bolometric-correction,,,0.38,0.04,0.3887133487051199,-0.0098458582656313,consistent,1,,,True,False,False,True,mstar;lensing,single-epoch-virial,missing-host-mstar,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; BEAGLE Mstar unavailable in Table 5.
GN77652_juodzbalis25,GN-77652,189.29323,62.199,5.229,spec,1.108430210684669,JADES,broad-line-agn,6.62,0.34,0.32,single-epoch-virial-halpha,individual_robust,8.36,1.64,1.64,beagle-spectral-decomposition,44.11,0.04,0.05,balmer-line-bolometric-correction,-1.7399999999999993,1.6728717822953436,0.24,0.08499999999999999,0.24526154226298422,-0.009418213170832596,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN73488_juodzbalis25,GN-73488,189.1974,62.17723,4.133,spec,1.4800317329113224,JADES,broad-line-agn,7.83,0.3,0.3,single-epoch-virial-halpha,individual_robust,9.71,0.33,0.33,beagle-spectral-decomposition,45.22,0.07,0.05,balmer-line-bolometric-correction,-1.8800000000000008,0.4459820624195552,0.2,0.01,0.19481816791151038,0.01140054078154401,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN62309_juodzbalis25,GN-62309,189.24898,62.21835,5.172,spec,1.123773752688261,JADES,broad-line-agn,6.29,0.36,0.33,single-epoch-virial-halpha,individual_robust,7.78,0.34,0.34,beagle-spectral-decomposition,43.56,0.13,0.12,balmer-line-bolometric-correction,-1.4900000000000002,0.48438104834933415,0.15,0.05,0.14778469338594277,0.006461804173241486,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN61888_juodzbalis25,GN-61888,189.16802,62.21701,5.874,spec,0.9565050566273134,JADES,broad-line-agn,7.04,0.33,0.32,single-epoch-virial-halpha,individual_robust,8.53,1.73,1.73,beagle-spectral-decomposition,44.38,0.09,0.07,balmer-line-bolometric-correction,-1.4899999999999993,1.760262764475804,0.18,0.04,0.17363187491663232,0.01564305022086607,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
