measurement_id,object_id,ra_deg,dec_deg,redshift,cosmic_time_gyr,survey,object_class,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,log_mstar_msun_std,log_mstar_err_plus_std,log_mstar_err_minus_std,log_lbol_erg_s_std,log_lbol_err_plus_std,log_lbol_err_minus_std,log_mbh_mstar_ratio,log_mbh_mstar_ratio_err,edd_ratio_std,edd_ratio_err_std,mbh_interpretation_tag,mstar_interpretation_tag,lbol_interpretation_tag,quality_flag,project_version,source_key,notes
GS30148179_juodzbalis25,GS-30148179,53.14208,-27.77985,5.922,0.9324838879917797,JADES,broad-line-agn,7.12,0.34,0.35,8.95,0.58,0.58,44.25,0.06,0.08,-1.8299999999999992,0.6748518355905984,0.11,0.04,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS10013704_juodzbalis25,GS-10013704,53.12654,-27.81809,5.919,0.9330890089304263,JADES,broad-line-agn,7.44,0.31,0.31,8.9,0.9,0.9,44.29,0.02,0.02,-1.46,0.951892851112981,0.055,0.006500000000000001,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS210600_juodzbalis25,GS-210600,53.16611,-27.77985,6.306,0.8600922099658685,JADES,broad-line-agn,7.41,0.33,0.34,8.4,0.61,0.61,44.29,0.09,0.11,-0.9900000000000002,0.6959346233663044,0.057,0.014499999999999999,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS204851_juodzbalis25,GS-204851,53.13859,-27.79025,5.48,1.029236978063964,JADES,broad-line-agn,7.68,0.32,0.31,10.74,0.09,0.09,44.97,0.17,0.12,-3.0600000000000005,0.32760494501762333,0.16,0.025,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS172975_juodzbalis25,GS-172975,53.08773,-27.87124,4.741,1.2334647988214582,JADES,broad-line-agn,7.25,0.32,0.32,8.98,0.14,0.14,44.07,0.04,0.04,-1.7300000000000004,0.3492849839314596,0.05,0.01,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS159717_juodzbalis25,GS-159717,53.09753,-27.90126,5.077,1.1329561156405221,JADES,broad-line-agn,7.44,0.3,0.3,,,,45.13,0.008,0.008,,,0.38,0.04,single-epoch-virial,missing-host-mstar,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; BEAGLE Mstar unavailable in Table 5.
GN77652_juodzbalis25,GN-77652,189.29323,62.199,5.229,1.0918747248120315,JADES,broad-line-agn,6.62,0.34,0.32,8.36,1.64,1.64,44.11,0.04,0.05,-1.7399999999999993,1.6728717822953436,0.24,0.08499999999999999,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN73488_juodzbalis25,GN-73488,189.1974,62.17723,4.133,1.457802772959316,JADES,broad-line-agn,7.83,0.3,0.3,9.71,0.33,0.33,45.22,0.07,0.05,-1.8800000000000008,0.4459820624195552,0.2,0.01,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN62309_juodzbalis25,GN-62309,189.24898,62.21835,5.172,1.106985754289908,JADES,broad-line-agn,6.29,0.36,0.33,7.78,0.34,0.34,43.56,0.13,0.12,-1.4900000000000002,0.48438104834933415,0.15,0.05,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN61888_juodzbalis25,GN-61888,189.16802,62.21701,5.874,0.9422448028109158,JADES,broad-line-agn,7.04,0.33,0.32,8.53,1.73,1.73,44.38,0.09,0.07,-1.4899999999999993,1.760262764475804,0.18,0.04,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN53757_juodzbalis25,GN-53757,189.26978,62.19421,4.447,1.3342002755656035,JADES,broad-line-agn,7.33,0.31,0.31,10.38,0.19,0.19,44.29,0.02,0.02,-3.0500000000000007,0.36359317925395684,0.07,0.0095,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS38562_juodzbalis25,GS-38562,53.13586,-27.87165,4.822,1.2079145015181754,JADES,broad-line-agn,7.51,0.3,0.31,9.76,0.09,0.09,44.7,0.06,0.06,-2.25,0.3180015723231569,0.12,0.01,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN38509_juodzbalis25,GN-38509,189.09144,62.22811,6.678,0.7984579671778708,JADES,broad-line-agn,8.57,0.37,0.38,9.19,0.4,0.4,44.84,0.14,0.14,-0.6199999999999992,0.5482928049865328,0.015,0.006500000000000001,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN20621_juodzbalis25,GN-20621,189.12252,62.29285,4.682,1.2526461186284734,JADES,broad-line-agn,7.05,0.35,0.34,8.41,1.58,1.58,44.17,0.16,0.13,-1.3600000000000003,1.617227565928803,0.11,0.04,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN11836_juodzbalis25,GN-11836,189.22059,62.26368,4.409,1.348216601764371,JADES,broad-line-agn,6.06,0.32,0.32,8.17,0.15,0.15,44.11,0.05,0.05,-2.1100000000000003,0.35341194094144585,0.11,0.025,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS8083_juodzbalis25,GS-8083,53.13284,-27.80186,4.753,1.229623184576896,JADES,broad-line-agn,7.1,0.31,0.31,8.27,0.14,0.13,44.03,0.04,0.04,-1.17,0.33811980125393426,0.07,0.0095,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN1093_juodzbalis25,GN-1093,189.17974,62.22463,5.594,1.0027344196678574,JADES,broad-line-agn,7.14,0.34,0.33,8.43,0.63,0.63,44.32,0.13,0.11,-1.29,0.7135299573248485,0.12,0.035,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GN954_juodzbalis25,GN-954,189.15197,62.25964,6.759,0.786008267595823,JADES,broad-line-agn,7.7,0.31,0.32,10.93,0.11,0.11,45.17,0.15,0.17,-3.2299999999999995,0.33365401241405745,0.23,0.035,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,Robust sample; Mstar uses BEAGLE value.
GS200679_juodzbalis25,GS-200679,53.11392,-27.8062,4.547,1.2984486572692264,JADES,broad-line-agn,6.19,0.6,0.3,,,,43.63,0.09,0.39,,,0.23,0.105,single-epoch-virial,missing-host-mstar,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,Tentative sample; BEAGLE Mstar unavailable in Table 5.
GS20057765_juodzbalis25,GS-20057765,53.0408,-27.85901,8.913,0.5445224204136987,JADES,broad-line-agn,7.33,0.62,0.7,7.4,0.78,0.97,44.16,0.19,0.3,-0.07000000000000028,1.0960041058317254,0.051,0.063,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,Tentative sample; Mstar uses BEAGLE value.
GS20030333_juodzbalis25,GS-20030333,53.05373,-27.87789,7.891,0.6409597024092615,JADES,broad-line-agn,7.42,0.65,0.48,,,,44.44,0.11,0.14,,,0.08,0.067,single-epoch-virial,missing-host-mstar,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,Tentative sample; BEAGLE Mstar unavailable in Table 5.
GS164055_juodzbalis25,GS-164055,53.08168,-27.88857,7.397,0.6982735240836644,JADES,broad-line-agn,7.63,0.59,0.66,,,,44.21,0.16,0.21,,,0.03,0.034,single-epoch-virial,missing-host-mstar,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,Tentative sample; BEAGLE Mstar unavailable in Table 5.
GN4685_juodzbalis25,GN-4685,189.09629,62.23914,7.415,0.6960371918833542,JADES,broad-line-agn,7.36,0.45,0.42,9.91,0.22,0.21,44.13,0.1,0.12,-2.55,0.48523190332046384,0.045,0.02,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,Tentative sample; Mstar uses BEAGLE value.
