catalogue_release,entity_level,stratum_dimension,stratum_value,count,growth_eligible_count,primary_eligible_count
v2-dataset-catalogue,measurement,all,all,119,119,112
v2-dataset-catalogue,measurement,evidence_status,candidate,7,7,0
v2-dataset-catalogue,measurement,evidence_status,probable,10,10,10
v2-dataset-catalogue,measurement,evidence_status,secure,102,102,102
v2-dataset-catalogue,measurement,field,Abell-2744,2,2,2
v2-dataset-catalogue,measurement,field,COSMOS,7,7,1
v2-dataset-catalogue,measurement,field,EGS,33,33,32
v2-dataset-catalogue,measurement,field,GOODS-N,18,18,18
v2-dataset-catalogue,measurement,field,GOODS-S,13,13,13
v2-dataset-catalogue,measurement,field,J0100,4,4,4
v2-dataset-catalogue,measurement,field,J0109M3047,1,1,1
v2-dataset-catalogue,measurement,field,J0148,3,3,3
v2-dataset-catalogue,measurement,field,J0218P0007,1,1,1
v2-dataset-catalogue,measurement,field,J0224M4711,1,1,1
v2-dataset-catalogue,measurement,field,J0229M0808,2,2,2
v2-dataset-catalogue,measurement,field,J0430M1445,1,1,1
v2-dataset-catalogue,measurement,field,J0910M0414,1,1,1
v2-dataset-catalogue,measurement,field,J0923P0402,1,1,1
v2-dataset-catalogue,measurement,field,J1120,2,2,2
v2-dataset-catalogue,measurement,field,J1148,3,3,3
v2-dataset-catalogue,measurement,field,J1526M2050,3,3,3
v2-dataset-catalogue,measurement,field,J2002M3013,1,1,1
v2-dataset-catalogue,measurement,field,J2132P1217,1,1,1
v2-dataset-catalogue,measurement,field,J2232P2930,3,3,3
v2-dataset-catalogue,measurement,field,UDS,18,18,18
v2-dataset-catalogue,measurement,lrd_phenotype,lrd,53,53,52
v2-dataset-catalogue,measurement,lrd_phenotype,not_lrd,20,20,20
v2-dataset-catalogue,measurement,lrd_phenotype,not_reported,46,46,40
v2-dataset-catalogue,measurement,object_class,broad_line_agn,119,119,112
v2-dataset-catalogue,measurement,source_key,davis26_thrils_blagn,6,6,6
v2-dataset-catalogue,measurement,source_key,harikane23_nirspec_blagn,10,10,10
v2-dataset-catalogue,measurement,source_key,juodzbalis25_jades_blagn,23,23,23
v2-dataset-catalogue,measurement,source_key,lin24_aspire_blagn,16,16,16
v2-dataset-catalogue,measurement,source_key,matthee23_eiger_fresco_blagn,20,20,20
v2-dataset-catalogue,measurement,source_key,ren25_alpine_cristal_jwst_blagn_candidates,7,7,1
v2-dataset-catalogue,measurement,source_key,taylor24_ceers_rubies_blagn,37,37,36
v2-dataset-catalogue,measurement,survey,ALPINE-CRISTAL-JWST,7,7,1
v2-dataset-catalogue,measurement,survey,ASPIRE,16,16,16
v2-dataset-catalogue,measurement,survey,CEERS,13,13,13
v2-dataset-catalogue,measurement,survey,EIGER,12,12,12
v2-dataset-catalogue,measurement,survey,FRESCO,8,8,8
v2-dataset-catalogue,measurement,survey,GLASS,2,2,2
v2-dataset-catalogue,measurement,survey,JADES,23,23,23
v2-dataset-catalogue,measurement,survey,RUBIES,32,32,31
v2-dataset-catalogue,measurement,survey,THRILS,6,6,6
v2-dataset-catalogue,physical_object,all,all,112,112,105
v2-dataset-catalogue,physical_object,evidence_status,candidate,7,7,0
v2-dataset-catalogue,physical_object,evidence_status,probable,10,10,10
v2-dataset-catalogue,physical_object,evidence_status,secure,95,95,95
v2-dataset-catalogue,physical_object,field,Abell-2744,2,2,2
v2-dataset-catalogue,physical_object,field,COSMOS,7,7,1
v2-dataset-catalogue,physical_object,field,EGS,27,27,26
v2-dataset-catalogue,physical_object,field,GOODS-N,18,18,18
v2-dataset-catalogue,physical_object,field,GOODS-S,12,12,12
v2-dataset-catalogue,physical_object,field,J0100,4,4,4
v2-dataset-catalogue,physical_object,field,J0109M3047,1,1,1
v2-dataset-catalogue,physical_object,field,J0148,3,3,3
v2-dataset-catalogue,physical_object,field,J0218P0007,1,1,1
v2-dataset-catalogue,physical_object,field,J0224M4711,1,1,1
v2-dataset-catalogue,physical_object,field,J0229M0808,2,2,2
v2-dataset-catalogue,physical_object,field,J0430M1445,1,1,1
v2-dataset-catalogue,physical_object,field,J0910M0414,1,1,1
v2-dataset-catalogue,physical_object,field,J0923P0402,1,1,1
v2-dataset-catalogue,physical_object,field,J1120,2,2,2
v2-dataset-catalogue,physical_object,field,J1148,3,3,3
v2-dataset-catalogue,physical_object,field,J1526M2050,3,3,3
v2-dataset-catalogue,physical_object,field,J2002M3013,1,1,1
v2-dataset-catalogue,physical_object,field,J2132P1217,1,1,1
v2-dataset-catalogue,physical_object,field,J2232P2930,3,3,3
v2-dataset-catalogue,physical_object,field,UDS,18,18,18
v2-dataset-catalogue,physical_object,lrd_phenotype,lrd,53,53,52
v2-dataset-catalogue,physical_object,lrd_phenotype,not_lrd,19,19,19
v2-dataset-catalogue,physical_object,lrd_phenotype,not_reported,40,40,34
v2-dataset-catalogue,physical_object,object_class,broad_line_agn,112,112,105
v2-dataset-catalogue,physical_object,source_key,davis26_thrils_blagn,6,6,6
v2-dataset-catalogue,physical_object,source_key,harikane23_nirspec_blagn,5,5,5
v2-dataset-catalogue,physical_object,source_key,juodzbalis25_jades_blagn,23,23,23
v2-dataset-catalogue,physical_object,source_key,lin24_aspire_blagn,16,16,16
v2-dataset-catalogue,physical_object,source_key,matthee23_eiger_fresco_blagn,19,19,19
v2-dataset-catalogue,physical_object,source_key,ren25_alpine_cristal_jwst_blagn_candidates,7,7,1
v2-dataset-catalogue,physical_object,source_key,taylor24_ceers_rubies_blagn,36,36,35
v2-dataset-catalogue,physical_object,survey,ALPINE-CRISTAL-JWST,7,7,1
v2-dataset-catalogue,physical_object,survey,ASPIRE,16,16,16
v2-dataset-catalogue,physical_object,survey,CEERS,7,7,7
v2-dataset-catalogue,physical_object,survey,EIGER,12,12,12
v2-dataset-catalogue,physical_object,survey,FRESCO,7,7,7
v2-dataset-catalogue,physical_object,survey,GLASS,2,2,2
v2-dataset-catalogue,physical_object,survey,JADES,23,23,23
v2-dataset-catalogue,physical_object,survey,RUBIES,32,32,31
v2-dataset-catalogue,physical_object,survey,THRILS,6,6,6
