catalogue_release,physical_object_id,measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,cosmic_time_gyr,survey,object_class,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,mbh_method,detection_evidence,log_mstar_msun_std,log_mstar_err_plus_std,log_mstar_err_minus_std,mstar_method,log_lbol_erg_s_std,log_lbol_err_plus_std,log_lbol_err_minus_std,lbol_method,log_mbh_mstar_ratio,log_mbh_mstar_ratio_err,edd_ratio_std,edd_ratio_err_std,edd_ratio_from_mbh_lbol,edd_ratio_log_residual_dex,edd_ratio_consistency_flag,agn_contam_flag,lensing_mu,lensing_mu_err,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,missing_optional_fields,mbh_interpretation_tag,mstar_interpretation_tag,lbol_interpretation_tag,quality_flag,project_version,source_key,source_table,notes,program,field,selection_channel,broad_line_species,halpha_flux_total_1e18_erg_s_cm2,halpha_flux_total_err_plus,halpha_flux_total_err_minus,halpha_flux_narrow_1e18_erg_s_cm2,halpha_flux_narrow_err_plus,halpha_flux_narrow_err_minus,halpha_flux_broad_1e18_erg_s_cm2,halpha_flux_broad_err_plus,halpha_flux_broad_err_minus,halpha_broad_fwhm_km_s,halpha_broad_fwhm_err_plus,halpha_broad_fwhm_err_minus,fwhm_instrument_corrected_flag,lrd_flag,lrd_definition,halpha_absorption_fit_flag,log_mbh_systematic_dex,mbh_systematic_kind,mbh_systematic_applied_flag,mbh_formal_uncertainty_kind,dust_correction_applied_flag,source_caveat_tags,source_paper_version,source_url,source_doi,source_archive_url,source_archive_sha256,extraction_date,selection_criteria,redshift_err,published_ra,published_dec,halpha_broad_to_total_ratio,halpha_broad_to_total_ratio_err,halpha_lum_broad_1e42,halpha_lum_broad_err_plus,halpha_lum_broad_err_minus,halpha_lum_total_1e42,halpha_lum_total_err_plus,halpha_lum_total_err_minus,halpha_narrow_fwhm_km_s,halpha_narrow_fwhm_err_plus,halpha_narrow_fwhm_err_minus,halpha_ew_rest_angstrom,halpha_ew_err_plus,halpha_ew_err_minus,photometry_band,photometry_mag,photometry_mag_err_plus,photometry_mag_err_minus,f200w_mag,f200w_err_plus,f200w_err_minus,muv,muv_err_plus,muv_err_minus,beta_uv,beta_uv_err_plus,beta_uv_err_minus,beta_opt,beta_opt_err_plus,beta_opt_err_minus,delta_m_lw,lbol_1e44_erg_s,lbol_1e44_err_plus,lbol_1e44_err_minus,metallicity_12_logoh,metallicity_err_plus,metallicity_err_minus,ebv_mag,halpha_broad_snr,delta_aic,halpha_lum_broad_erg_s,halpha_broad_to_narrow_ratio,halpha_broad_to_narrow_err_plus,halpha_broad_to_narrow_err_minus,mbh_msun,mbh_err_plus_msun,mbh_err_minus_msun,lbol_erg_s,lbol_err_plus_erg_s,lbol_err_minus_erg_s,log_mstar_upper_limit_msun,host_fit_model,red_agn_flag,compact_source_flag,dual_agn_candidate_flag,log_mstar_systematic_dex,mstar_systematic_kind,mstar_systematic_applied_flag,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,lensing_status,growth_ranking_eligible_flag,primary_growth_ranking_flag,thrils_id,ceers_photometry_id,program_redshift,zphot,coordinate_source_table,coordinate_source_paper_version,coordinate_source_url,coordinate_source_archive_url,coordinate_source_archive_sha256,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference,host_system_id,host_system_assignment_status,identity_resolution_status,extraction_date_status,edd_ratio_method,lensing_mass_correction_status,lensing_provenance,log_mbh_err_plus,log_mbh_err_minus,log_mstar_err_plus,log_mstar_err_minus,log_lbol_err_plus,log_lbol_err_minus,mbh_statistical_uncertainty_kind,mass_comparability_group,conditional_mass_flag,conditional_mass_reason,primary_mass_comparison_flag,primary_mass_comparison_reason,host_property_scope,growth_ranking_eligibility_reason,primary_growth_ranking_reason,log_edd_ratio_published,host_system_source_id,published_aliases,halpha_broad_flux_dustcorr_1e18,halpha_broad_flux_err,halpha_broad_fwhm_instrumentcorr_km_s,halpha_broad_fwhm_err,av_mag,robust_candidate_flag,oiii_outflow_detected_flag,halpha_three_component_fit_flag
v3-dataset-catalogue,HZA-GDN-4762-33609,GDN476233609_baccus26,GDN_4762_33609,189.083488,62.202579,7.1883,spec,0.7360512795224611,JWST/NIRSpec archival census,broad_line_agn,7.39,0.0218,0.0242,single-epoch-virial-halpha,individual_robust,,,,,44.8,0.01,0.01,source broad-Halpha luminosity scaling,,,0.1897,0.0028,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,2790.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-GDN-4762-33609,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.0218,0.0242,,,0.01,0.01,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.7219326691113375,,,,,,,,,,
v3-dataset-catalogue,HZA-RUBIES-4233-42803,RUBIES423342803_baccus26,RUBIES_4233_42803,214.929524,52.887919,7.1522,spec,0.7409393116003392,JWST/NIRSpec archival census,broad_line_agn,7.36,0.0482,0.0528,single-epoch-virial-halpha,individual_robust,,,,,44.4,0.0188,0.024,source broad-Halpha luminosity scaling,,,0.0923,0.0051,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,3260.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-RUBIES-4233-42803,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.0482,0.0528,,,0.0188,0.024,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-1.034798298974088,,,,,,,,,,
v3-dataset-catalogue,HZA-BLUEJAY-1810-19945,BLUEJAY181019945_baccus26,BLUEJAY_1810_19945,150.090563,2.381598,6.9894,spec,0.7636696982373834,JWST/NIRSpec archival census,broad_line_agn,6.95,0.0294,0.0357,single-epoch-virial-halpha,individual_robust,,,,,44.6,0.01,0.0121,source broad-Halpha luminosity scaling,,,0.3739,0.0105,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,2140.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-BLUEJAY-1810-19945,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.0294,0.0357,,,0.01,0.0121,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.4272445348457804,,,,,,,,,,
v3-dataset-catalogue,HZA-RUBIES-4233-925921,RUBIES4233925921_baccus26,RUBIES_4233_925921,215.075054,52.943828,6.9448,spec,0.7701000332517568,JWST/NIRSpec archival census,broad_line_agn,7.45,0.0281,0.0306,single-epoch-virial-halpha,individual_robust,,,,,44.6,0.0107,0.0114,source broad-Halpha luminosity scaling,,,0.1144,0.0037,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,3220.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-RUBIES-4233-925921,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.0281,0.0306,,,0.0107,0.0114,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.9415739755429946,,,,,,,,,,
v3-dataset-catalogue,HZA-AURORA-1914-100182,AURORA1914100182_baccus26,AURORA_1914_100182,189.177221,62.29151,6.7325,spec,0.8019831074173033,JWST/NIRSpec archival census,broad_line_agn,6.4,0.0415,0.0622,single-epoch-virial-halpha,individual_robust,,,,,44.4,0.01,0.0101,source broad-Halpha luminosity scaling,,,0.8687,0.0706,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,1660.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-AURORA-1914-100182,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.0415,0.0622,,,0.01,0.0101,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.061130178487013326,,,,,,,,,,
v3-dataset-catalogue,HZA-EGS-4106-47962,EGS410647962_baccus26,EGS_4106_47962,214.892479,52.856891,6.7273,spec,0.802791504953574,JWST/NIRSpec archival census,broad_line_agn,6.89,0.029,0.0333,single-epoch-virial-halpha,individual_robust,,,,,44.4,0.01,0.0111,source broad-Halpha luminosity scaling,,,0.236,0.0042,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,2430.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-EGS-4106-47962,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.029,0.0333,,,0.01,0.0111,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.6270879970298935,,,,,,,,,,
v3-dataset-catalogue,HZA-J0910-2028-14306,J0910202814306_baccus26,J0910_2028_14306,137.71679,-4.214624,6.6334,spec,0.8176260076186799,JWST/NIRSpec archival census,broad_line_agn,6.03,0.0421,0.0664,single-epoch-virial-halpha,individual_robust,,,,,44.1,0.022,0.0192,source broad-Halpha luminosity scaling,,,0.887,0.0482,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,1140.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-J0910-2028-14306,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.0421,0.0664,,,0.022,0.0192,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.0520763801682736,,,,,,,,,,
v3-dataset-catalogue,HZA-J0910-2028-12910,J0910202812910_baccus26,J0910_2028_12910,137.727212,-4.235207,6.6214,spec,0.8195546646733157,JWST/NIRSpec archival census,broad_line_agn,8.58,0.01,0.01,single-epoch-virial-halpha,individual_robust,,,,,45.9,0.01,0.01,source broad-Halpha luminosity scaling,,,0.1742,0.0006,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,4280.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-J0910-2028-12910,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.01,0.01,,,0.01,0.01,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.7589518493283556,,,,,,,,,,
v3-dataset-catalogue,HZA-J0226-3325-6699,J022633256699_baccus26,J0226_3325_6699,36.507805,3.049793,6.5405,spec,0.8327570508537522,JWST/NIRSpec archival census,broad_line_agn,8.3,0.01,0.01,single-epoch-virial-halpha,individual_robust,,,,,45.8,0.01,0.01,source broad-Halpha luminosity scaling,,,0.2542,0.0011,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,3400.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-J0226-3325-6699,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.01,0.01,,,0.01,0.01,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.5948244537820107,,,,,,,,,,
v3-dataset-catalogue,HZA-J0226-3325-9556,J022633259556_baccus26,J0226_3325_9556,36.49542,3.040207,6.5391,spec,0.8329886333974788,JWST/NIRSpec archival census,broad_line_agn,6.78,0.0375,0.0366,single-epoch-virial-halpha,individual_robust,,,,,44.3,0.0203,0.0165,source broad-Halpha luminosity scaling,,,0.2515,0.0113,,,,,,,True,False,False,True,,single-epoch-virial-halpha,,source_reported_bolometric_luminosity,robust,v3,baccus26_nirspec_blagn,"Table 1, z>=4 new non-cluster subset",,JWST/NIRSpec archival census,multi-field,broad_halpha,Halpha,,,,,,,,,,1960.0,,,,,not reported,,0.5,single-epoch virial calibration scatter,False,published measurement uncertainty,,canonical_numeric_mass_only,"ApJ 1006, 165 (2026); measurement values: arXiv:2512.03281v1",https://doi.org/10.3847/1538-4357/ae7de7,10.3847/1538-4357/ae7de7,https://arxiv.org/e-print/2512.03281v1,f165cd073c7e03cffa487c1e209a6c8ed4d2f009119e84145eca6b43e579a22a,2026-09-03,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secure,source-catalogue broad-Halpha AGN identification,type1_broad_line,broad_halpha,,not_reported,True,True,,,,,,,,,,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,HZS-J0226-3325-9556,source_verified_single_object_host,resolved,recorded,source derived from same Lbol and virial MBH,not_required,,0.0375,0.0366,,,0.0203,0.0165,published measurement uncertainty,virial_balmer_single_epoch,False,,True,balmer_single_epoch_primary_stratum,not_published,eligible_numeric_mass_with_resolved_identity_and_lensing,eligible_secure_or_probable_primary_comparable_mass,-0.5994620106080538,,,,,,,,,,
