catalogue_release,physical_object_id,measurement_id,object_id,n_measurements,available_measurement_ids,available_object_ids,ra_deg,dec_deg,redshift,redshift_kind,cosmic_time_gyr,survey,object_class,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,mbh_method,detection_evidence,log_mstar_msun_std,log_mstar_err_plus_std,log_mstar_err_minus_std,mstar_method,log_lbol_erg_s_std,log_lbol_err_plus_std,log_lbol_err_minus_std,lbol_method,log_mbh_mstar_ratio,log_mbh_mstar_ratio_err,edd_ratio_std,edd_ratio_err_std,edd_ratio_from_mbh_lbol,edd_ratio_log_residual_dex,edd_ratio_consistency_flag,agn_contam_flag,lensing_mu,lensing_mu_err,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,missing_optional_fields,mbh_interpretation_tag,mstar_interpretation_tag,lbol_interpretation_tag,quality_flag,project_version,source_key,source_table,notes,program,field,selection_channel,broad_line_species,halpha_flux_total_1e18_erg_s_cm2,halpha_flux_total_err_plus,halpha_flux_total_err_minus,halpha_flux_narrow_1e18_erg_s_cm2,halpha_flux_narrow_err_plus,halpha_flux_narrow_err_minus,halpha_flux_broad_1e18_erg_s_cm2,halpha_flux_broad_err_plus,halpha_flux_broad_err_minus,halpha_broad_fwhm_km_s,halpha_broad_fwhm_err_plus,halpha_broad_fwhm_err_minus,fwhm_instrument_corrected_flag,lrd_flag,lrd_definition,halpha_absorption_fit_flag,log_mbh_systematic_dex,mbh_systematic_kind,mbh_systematic_applied_flag,mbh_formal_uncertainty_kind,dust_correction_applied_flag,source_caveat_tags,source_paper_version,source_url,source_doi,source_archive_url,source_archive_sha256,extraction_date,selection_criteria,redshift_err,published_ra,published_dec,halpha_broad_to_total_ratio,halpha_broad_to_total_ratio_err,halpha_lum_broad_1e42,halpha_lum_broad_err_plus,halpha_lum_broad_err_minus,halpha_lum_total_1e42,halpha_lum_total_err_plus,halpha_lum_total_err_minus,halpha_narrow_fwhm_km_s,halpha_narrow_fwhm_err_plus,halpha_narrow_fwhm_err_minus,halpha_ew_rest_angstrom,halpha_ew_err_plus,halpha_ew_err_minus,photometry_band,photometry_mag,photometry_mag_err_plus,photometry_mag_err_minus,f200w_mag,f200w_err_plus,f200w_err_minus,muv,muv_err_plus,muv_err_minus,beta_uv,beta_uv_err_plus,beta_uv_err_minus,beta_opt,beta_opt_err_plus,beta_opt_err_minus,delta_m_lw,lbol_1e44_erg_s,lbol_1e44_err_plus,lbol_1e44_err_minus,metallicity_12_logoh,metallicity_err_plus,metallicity_err_minus,ebv_mag,halpha_broad_snr,delta_aic,halpha_lum_broad_erg_s,halpha_broad_to_narrow_ratio,halpha_broad_to_narrow_err_plus,halpha_broad_to_narrow_err_minus,mbh_msun,mbh_err_plus_msun,mbh_err_minus_msun,lbol_erg_s,lbol_err_plus_erg_s,lbol_err_minus_erg_s,log_mstar_upper_limit_msun,host_fit_model,red_agn_flag,compact_source_flag,dual_agn_candidate_flag,log_mstar_systematic_dex,mstar_systematic_kind,mstar_systematic_applied_flag,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,lensing_status,growth_ranking_eligible_flag,primary_growth_ranking_flag,preferred_measurement_lrd_flag,preferred_measurement_phenotype_tags,preferred_measurement_evidence_status,preferred_measurement_evidence_status_basis,lrd_reported_by_any_measurement,lrd_designation_reported_by_any_measurement,lrd_evidence_measurement_ids,lrd_evidence_source_keys,phenotype_evidence_measurement_ids,phenotype_evidence_source_keys,all_measurements_phenotype_tags,all_measurements_evidence_status,evidence_status_measurement_ids,evidence_status_source_keys,all_measurements_evidence_status_basis
v5-blagn,HZA-CEERS-00717,CEERS00717_harikane23,CEERS-00717,1,CEERS00717_harikane23,CEERS-00717,215.08141667,52.97219444,6.936,spec,0.7713794498651723,CEERS,broad-line-agn,7.99122608,0.16106227,0.17168214,single-epoch-virial-halpha-greeneho2005,individual_robust,9.61,0.77,1.18,prospector-after-agn-host-image-decomposition,44.85125835,0.91885695,0.40410032,halpha-multicalibration-best-estimate-harikane2023,-1.6187739199999998,0.9890928725840471,0.06,0.335,0.057499189751542466,0.01848952550120209,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial-halpha-greeneho2005,host-sed-with-agn-contamination-risk,halpha-multicalibration-best-estimate-harikane2023,robust,v5,harikane23_nirspec_blagn,Tables 1-3,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,JWST/NIRSpec,EGS,broad-halpha,Halpha,,,,,,,,,,6279.0,805.0,881.0,,,,,,not numerically specified by Harikane et al. (2023),False,log transform of published asymmetric linear MBH errors,True,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,https://arxiv.org/e-print/2303.11946v3,02c2951b4594234f8cc015fc811f1ed438d35997249138af4d756d02d44ca4b4,2026-08-23,NIRSpec parent sample at zspec 3.8-8.9; permitted broad Halpha FWHM >1000 km/s and S/N >5; narrow forbidden lines; outflow-component veto; final rows have Delta AIC >20,,14:20:19.54,+52:58:19.9,,,,3e+41,2e+41,,,,,,,,,,,,,,,,,-21.49,0.12,0.12,,,,,,,,,,,7.87,0.17,0.18,0.0,6.1,23.9,1.2e+42,0.57,0.17,0.11,98000000.0,44000000.0,32000000.0,7.1e+44,5.18e+45,4.3e+44,,PSF+Sersic,0.0,0.0,0.0,0.2,typical systematic from fixed SED-fitting prior; Harikane et al. (2023) Section 4.3,False,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,True,,,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,False,False,,,,,,secure_accreting_mbh,CEERS00717_harikane23,harikane23_nirspec_blagn,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation
v5-blagn,HZA-GLASS-150029,GLASS150029_harikane23,GLASS-150029,1,GLASS150029_harikane23,GLASS-150029,3.57716667,-30.42258333,4.583,spec,1.305518856033707,GLASS,broad-line-agn,6.56820172,0.02286288,0.03672281,single-epoch-virial-halpha-greeneho2005,individual_robust,9.1,0.31,0.37,prospector-after-agn-host-image-decomposition,44.95904139,0.40079409,0.6580114,halpha-multicalibration-best-estimate-harikane2023,-2.5317982799999994,0.3413028180563325,1.89,2.4,1.9519519597989898,-0.014007320709197892,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial-halpha-greeneho2005,host-sed-with-agn-contamination-risk,halpha-multicalibration-best-estimate-harikane2023,robust,v5,harikane23_nirspec_blagn,Tables 1-3,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,JWST/NIRSpec,Abell-2744,broad-halpha,Halpha,,,,,,,,,,1429.0,10.0,67.0,,,,,,not numerically specified by Harikane et al. (2023),False,log transform of published asymmetric linear MBH errors,True,narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,https://arxiv.org/e-print/2303.11946v3,02c2951b4594234f8cc015fc811f1ed438d35997249138af4d756d02d44ca4b4,2026-08-23,NIRSpec parent sample at zspec 3.8-8.9; permitted broad Halpha FWHM >1000 km/s and S/N >5; narrow forbidden lines; outflow-component veto; final rows have Delta AIC >20,,00:14:18.52,-30:25:21.3,,,,7e+40,5e+40,,,,,,,,,,,,,,,,,-19.2,0.1,1.08,,,,,,,,,,,7.7,0.09,0.08,0.17,18.1,431.1,8.2e+41,0.22,0.02,0.01,3700000.0,200000.0,300000.0,9.1e+44,1.38e+45,7.1e+44,,PSF+Sersic,0.0,0.0,0.0,0.2,typical systematic from fixed SED-fitting prior; Harikane et al. (2023) Section 4.3,False,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,True,,,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,False,False,,,,,,secure_accreting_mbh,GLASS150029_harikane23,harikane23_nirspec_blagn,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation
v5-blagn,HZA-CEERS-01236,CEERS01236_harikane23,CEERS-01236,1,CEERS01236_harikane23,CEERS-01236,215.14529167,52.96727778,4.484,spec,1.340877214423135,CEERS,broad-line-agn,7.25527251,0.19188553,0.17609126,single-epoch-virial-halpha-greeneho2005,individual_robust,8.94,0.29,0.54,prospector-after-agn-host-image-decomposition,44.25527251,0.38818017,0.14132915,halpha-multicalibration-best-estimate-harikane2023,-1.6847274899999993,0.4539567484845622,0.08,0.12000000000000001,0.07936507936507928,0.0034605321095069674,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial-halpha-greeneho2005,host-sed-with-agn-contamination-risk,halpha-multicalibration-best-estimate-harikane2023,robust,v5,harikane23_nirspec_blagn,Tables 1-3,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,JWST/NIRSpec,EGS,broad-halpha,Halpha,,,,,,,,,,3521.0,649.0,485.0,,,,,,not numerically specified by Harikane et al. (2023),False,log transform of published asymmetric linear MBH errors,True,dual_agn_candidate;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,https://arxiv.org/e-print/2303.11946v3,02c2951b4594234f8cc015fc811f1ed438d35997249138af4d756d02d44ca4b4,2026-08-23,NIRSpec parent sample at zspec 3.8-8.9; permitted broad Halpha FWHM >1000 km/s and S/N >5; narrow forbidden lines; outflow-component veto; final rows have Delta AIC >20,,14:20:34.87,+52:58:02.2,,,,1.1e+41,8e+40,,,,,,,,,,,,,,,,,-19.61,0.27,0.23,,,,,,,,,,,7.55,0.29,0.28,0.0,5.9,23.3,4.8e+41,2.39,1.12,0.59,18000000.0,10000000.0,6000000.0,1.8e+44,2.6e+44,5e+43,,2xPSF+Sersic,0.0,0.0,1.0,0.2,typical systematic from fixed SED-fitting prior; Harikane et al. (2023) Section 4.3,False,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,True,,,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,False,False,,,,,,secure_accreting_mbh,CEERS01236_harikane23,harikane23_nirspec_blagn,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation
v5-blagn,HZA-CEERS-01665,CEERS01665_harikane23,CEERS-01665,1,CEERS01665_harikane23,CEERS-01665,215.17820833,53.05936111,4.483,spec,1.3412424612273763,CEERS,broad-line-agn,7.2787536,0.15261016,0.13262557,single-epoch-virial-halpha-greeneho2005,individual_robust,9.92,0.51,0.68,prospector-after-agn-host-image-decomposition,45.68124124,0.39794001,0.60205999,halpha-multicalibration-best-estimate-harikane2023,-2.6412464,0.6118536225415016,1.93,3.1,2.005012547843399,-0.016559785874659717,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial-halpha-greeneho2005,host-sed-with-agn-contamination-risk,halpha-multicalibration-best-estimate-harikane2023,robust,v5,harikane23_nirspec_blagn,Tables 1-3,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,JWST/NIRSpec,EGS,broad-halpha,Halpha,,,,,,,,,,1794.0,282.0,171.0,,,,,,not numerically specified by Harikane et al. (2023),False,log transform of published asymmetric linear MBH errors,True,dust_extinction_corrected;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,https://arxiv.org/e-print/2303.11946v3,02c2951b4594234f8cc015fc811f1ed438d35997249138af4d756d02d44ca4b4,2026-08-23,NIRSpec parent sample at zspec 3.8-8.9; permitted broad Halpha FWHM >1000 km/s and S/N >5; narrow forbidden lines; outflow-component veto; final rows have Delta AIC >20,,14:20:42.77,+53:03:33.7,,,,9e+41,6e+41,,,,,,,,,,,,,,,,,-21.66,0.07,0.07,,,,,,,,,,,8.05,0.19,0.19,0.42,11.6,132.0,6.8e+42,0.28,0.05,0.05,19000000.0,8000000.0,5000000.0,4.8000000000000004e+45,7.200000000000001e+45,3.6000000000000006e+45,,PSF+Sersic,0.0,0.0,0.0,0.2,typical systematic from fixed SED-fitting prior; Harikane et al. (2023) Section 4.3,False,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,True,,,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,False,False,,,,,,secure_accreting_mbh,CEERS01665_harikane23,harikane23_nirspec_blagn,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation
v5-blagn,HZA-GLASS-160133,GLASS160133_harikane23,GLASS-160133,1,GLASS160133_harikane23,GLASS-160133,3.58029167,-30.42438889,4.015,spec,1.5322810416098551,GLASS,broad-line-agn,6.36172784,0.01848341,0.01930516,single-epoch-virial-halpha-greeneho2005,individual_robust,,,,,45.04139269,0.81593981,0.74036269,halpha-multicalibration-best-estimate-harikane2023,,,3.68,12.025,3.7957211945363962,-0.013446486208920697,consistent,1.0,,,True,False,False,True,mstar;lensing,single-epoch-virial-halpha-greeneho2005,missing-host-mstar,halpha-multicalibration-best-estimate-harikane2023,robust,v5,harikane23_nirspec_blagn,Tables 1-3,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,JWST/NIRSpec,Abell-2744,broad-halpha,Halpha,,,,,,,,,,1028.0,19.0,13.0,,,,,,not numerically specified by Harikane et al. (2023),False,log transform of published asymmetric linear MBH errors,True,host_mass_upper_limit;narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,https://arxiv.org/e-print/2303.11946v3,02c2951b4594234f8cc015fc811f1ed438d35997249138af4d756d02d44ca4b4,2026-08-23,NIRSpec parent sample at zspec 3.8-8.9; permitted broad Halpha FWHM >1000 km/s and S/N >5; narrow forbidden lines; outflow-component veto; final rows have Delta AIC >20,,00:14:19.27,-30:25:27.8,,,,1e+41,1e+41,,,,,,,,,,,,,,,,,-18.94,0.08,0.09,,,,,,,,,,,7.95,0.06,0.05,0.16,32.5,2022.4,1.2e+42,0.26,0.02,0.01,2300000.0,100000.0,100000.0,1.1e+45,6.1e+45,9.000000000000002e+44,8.82,no-reliable-decomposition,0.0,0.0,0.0,0.2,typical systematic from fixed SED-fitting prior; Harikane et al. (2023) Section 4.3,False,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,True,,,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,False,False,,,,,,secure_accreting_mbh,GLASS160133_harikane23,harikane23_nirspec_blagn,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation
v5-blagn,HZA-GS-20057765,GS20057765_juodzbalis25,GS-20057765,1,GS20057765_juodzbalis25,GS-20057765,53.0408,-27.85901,8.913,spec,0.5527336017822919,JADES,broad-line-agn,7.33,0.62,0.7,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,7.4,0.78,0.97,beagle-spectral-decomposition,44.16,0.19,0.3,balmer-line-bolometric-correction,-0.0700000000000002,1.0960041058317254,0.051,0.063,0.0536573789993633,-0.0220592787844985,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,,,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,False,False,,,,,,probable_accreting_mbh,GS20057765_juodzbalis25,juodzbalis25_jades_blagn,published_blagn_with_tentative_broad_line_detection
v5-blagn,HZA-GS-20030333,GS20030333_juodzbalis25,GS-20030333,1,GS20030333_juodzbalis25,GS-20030333,53.05373,-27.87789,7.891,spec,0.6506319125565291,JADES,broad-line-agn,7.42,0.65,0.48,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,8.61,0.2,0.2,cigale-spectral-decomposition,44.44,0.11,0.14,balmer-line-bolometric-correction,-1.1899999999999995,0.5993538187081149,0.08,0.067,0.0831054403214991,-0.016539467890489,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,,,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,False,False,,,,,,probable_accreting_mbh,GS20030333_juodzbalis25,juodzbalis25_jades_blagn,published_blagn_with_tentative_broad_line_detection
v5-blagn,HZA-GN-4685,GN4685_juodzbalis25,GN-4685,1,GN4685_juodzbalis25,GN-4685,189.09629,62.23914,7.415,spec,0.7065452811411209,JADES,broad-line-agn,7.36,0.45,0.42,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,9.91,0.22,0.21,beagle-spectral-decomposition,44.13,0.1,0.12,balmer-line-bolometric-correction,-2.55,0.4852319033204638,0.045,0.02,0.04673362344092,-0.016416941107096,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,,,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,False,False,,,,,,probable_accreting_mbh,GN4685_juodzbalis25,juodzbalis25_jades_blagn,published_blagn_with_tentative_broad_line_detection
v5-blagn,HZA-GS-164055,GS164055_juodzbalis25,GS-164055,1,GS164055_juodzbalis25,GS-164055,53.08168,-27.88857,7.397,spec,0.7088155769811714,JADES,broad-line-agn,7.63,0.59,0.66,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,7.99,0.23,0.23,cigale-spectral-decomposition-extended-host,44.21,0.16,0.21,balmer-line-bolometric-correction,-0.3600000000000003,0.665976726320072,0.03,0.034,0.0301737616127428,-0.0025082001627724,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because the host is significantly extended.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,,,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,False,False,,,,,,probable_accreting_mbh,GS164055_juodzbalis25,juodzbalis25_jades_blagn,published_blagn_with_tentative_broad_line_detection
v5-blagn,HZA-GN-954,GN954_juodzbalis25,GN-954,1,GN954_juodzbalis25,GN-954,189.15197,62.25964,6.759,spec,0.7978843566184635,JADES,broad-line-agn,7.7,0.31,0.32,single-epoch-virial-halpha,individual_robust,10.93,0.11,0.11,beagle-spectral-decomposition,45.17,0.15,0.17,balmer-line-bolometric-correction,-3.2299999999999995,0.3336540124140574,0.23,0.035,0.2342229544973313,-0.0079016188648425,consistent,1.0,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,unknown,True,True,,,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,False,False,,,,,,secure_accreting_mbh,GN954_juodzbalis25,juodzbalis25_jades_blagn,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation
