catalogue_release,entity_level,stratum_dimension,stratum_value,count,growth_eligible_count,primary_eligible_count
v7.3-accreting-atlas-catalogue,measurement,all,all,213,209,182
v7.3-accreting-atlas-catalogue,measurement,evidence_status,candidate,8,7,0
v7.3-accreting-atlas-catalogue,measurement,evidence_status,disputed,1,0,0
v7.3-accreting-atlas-catalogue,measurement,evidence_status,probable,10,10,10
v7.3-accreting-atlas-catalogue,measurement,evidence_status,secure,194,192,172
v7.3-accreting-atlas-catalogue,measurement,field,Abell 2744,2,0,0
v7.3-accreting-atlas-catalogue,measurement,field,Abell-2744,2,2,2
v7.3-accreting-atlas-catalogue,measurement,field,COSMOS,7,7,1
v7.3-accreting-atlas-catalogue,measurement,field,EGS,33,33,32
v7.3-accreting-atlas-catalogue,measurement,field,GOODS-N,18,18,18
v7.3-accreting-atlas-catalogue,measurement,field,GOODS-S,13,13,13
v7.3-accreting-atlas-catalogue,measurement,field,J0100,4,4,4
v7.3-accreting-atlas-catalogue,measurement,field,J0109M3047,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J0148,3,3,3
v7.3-accreting-atlas-catalogue,measurement,field,J0218P0007,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J0224M4711,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J0229M0808,2,2,2
v7.3-accreting-atlas-catalogue,measurement,field,J0430M1445,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J0910M0414,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J0923P0402,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J1120,2,2,2
v7.3-accreting-atlas-catalogue,measurement,field,J1148,3,3,3
v7.3-accreting-atlas-catalogue,measurement,field,J1526M2050,3,3,3
v7.3-accreting-atlas-catalogue,measurement,field,J2002M3013,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J2132P1217,1,1,1
v7.3-accreting-atlas-catalogue,measurement,field,J2232P2930,3,3,3
v7.3-accreting-atlas-catalogue,measurement,field,UDS,18,18,18
v7.3-accreting-atlas-catalogue,measurement,field,all_sky_bright_quasar_sample,42,41,41
v7.3-accreting-atlas-catalogue,measurement,field,all_sky_optically_selected_quasar_sample,50,49,29
v7.3-accreting-atlas-catalogue,measurement,lrd_phenotype,lrd,53,53,52
v7.3-accreting-atlas-catalogue,measurement,lrd_phenotype,not_lrd,20,20,20
v7.3-accreting-atlas-catalogue,measurement,lrd_phenotype,not_reported,140,136,110
v7.3-accreting-atlas-catalogue,measurement,object_class,broad_line_agn,119,119,112
v7.3-accreting-atlas-catalogue,measurement,object_class,luminous_quasar_comparison,92,90,70
v7.3-accreting-atlas-catalogue,measurement,object_class,xray_agn_candidate,2,0,0
v7.3-accreting-atlas-catalogue,measurement,source_key,davis26_thrils_blagn,6,6,6
v7.3-accreting-atlas-catalogue,measurement,source_key,harikane23_nirspec_blagn,10,10,10
v7.3-accreting-atlas-catalogue,measurement,source_key,juodzbalis25_jades_blagn,23,23,23
v7.3-accreting-atlas-catalogue,measurement,source_key,lin24_aspire_blagn,16,16,16
v7.3-accreting-atlas-catalogue,measurement,source_key,matthee23_eiger_fresco_blagn,20,20,20
v7.3-accreting-atlas-catalogue,measurement,source_key,ren25_alpine_cristal_jwst_blagn_candidates,7,7,1
v7.3-accreting-atlas-catalogue,measurement,source_key,shen19_gnirs50,50,49,29
v7.3-accreting-atlas-catalogue,measurement,source_key,taylor24_ceers_rubies_blagn,37,37,36
v7.3-accreting-atlas-catalogue,measurement,source_key,uhz1_xray_evidence_history,2,0,0
v7.3-accreting-atlas-catalogue,measurement,source_key,xqr30_mazzucchelli23,42,41,41
v7.3-accreting-atlas-catalogue,measurement,survey,ALPINE-CRISTAL-JWST,7,7,1
v7.3-accreting-atlas-catalogue,measurement,survey,ASPIRE,16,16,16
v7.3-accreting-atlas-catalogue,measurement,survey,CEERS,13,13,13
v7.3-accreting-atlas-catalogue,measurement,survey,Chandra Abell 2744; JWST UNCOVER,2,0,0
v7.3-accreting-atlas-catalogue,measurement,survey,E-XQR-30,42,41,41
v7.3-accreting-atlas-catalogue,measurement,survey,EIGER,12,12,12
v7.3-accreting-atlas-catalogue,measurement,survey,FRESCO,8,8,8
v7.3-accreting-atlas-catalogue,measurement,survey,GLASS,2,2,2
v7.3-accreting-atlas-catalogue,measurement,survey,Gemini-GNIRS LLP-7,50,49,29
v7.3-accreting-atlas-catalogue,measurement,survey,JADES,23,23,23
v7.3-accreting-atlas-catalogue,measurement,survey,RUBIES,32,32,31
v7.3-accreting-atlas-catalogue,measurement,survey,THRILS,6,6,6
v7.3-accreting-atlas-catalogue,physical_object,all,all,199,196,171
v7.3-accreting-atlas-catalogue,physical_object,evidence_status,candidate,7,7,0
v7.3-accreting-atlas-catalogue,physical_object,evidence_status,disputed,1,0,0
v7.3-accreting-atlas-catalogue,physical_object,evidence_status,probable,10,10,10
v7.3-accreting-atlas-catalogue,physical_object,evidence_status,secure,181,179,161
v7.3-accreting-atlas-catalogue,physical_object,field,Abell 2744,1,0,0
v7.3-accreting-atlas-catalogue,physical_object,field,Abell-2744,2,2,2
v7.3-accreting-atlas-catalogue,physical_object,field,COSMOS,7,7,1
v7.3-accreting-atlas-catalogue,physical_object,field,EGS,27,27,26
v7.3-accreting-atlas-catalogue,physical_object,field,GOODS-N,18,18,18
v7.3-accreting-atlas-catalogue,physical_object,field,GOODS-S,12,12,12
v7.3-accreting-atlas-catalogue,physical_object,field,J0100,4,4,4
v7.3-accreting-atlas-catalogue,physical_object,field,J0109M3047,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J0148,3,3,3
v7.3-accreting-atlas-catalogue,physical_object,field,J0218P0007,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J0224M4711,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J0229M0808,2,2,2
v7.3-accreting-atlas-catalogue,physical_object,field,J0430M1445,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J0910M0414,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J0923P0402,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J1120,2,2,2
v7.3-accreting-atlas-catalogue,physical_object,field,J1148,3,3,3
v7.3-accreting-atlas-catalogue,physical_object,field,J1526M2050,3,3,3
v7.3-accreting-atlas-catalogue,physical_object,field,J2002M3013,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J2132P1217,1,1,1
v7.3-accreting-atlas-catalogue,physical_object,field,J2232P2930,3,3,3
v7.3-accreting-atlas-catalogue,physical_object,field,UDS,18,18,18
v7.3-accreting-atlas-catalogue,physical_object,field,all_sky_bright_quasar_sample,42,41,41
v7.3-accreting-atlas-catalogue,physical_object,field,all_sky_optically_selected_quasar_sample,44,43,25
v7.3-accreting-atlas-catalogue,physical_object,lrd_phenotype,lrd,53,53,52
v7.3-accreting-atlas-catalogue,physical_object,lrd_phenotype,not_lrd,19,19,19
v7.3-accreting-atlas-catalogue,physical_object,lrd_phenotype,not_reported,127,124,100
v7.3-accreting-atlas-catalogue,physical_object,object_class,broad_line_agn,112,112,105
v7.3-accreting-atlas-catalogue,physical_object,object_class,luminous_quasar_comparison,86,84,66
v7.3-accreting-atlas-catalogue,physical_object,object_class,xray_agn_candidate,1,0,0
v7.3-accreting-atlas-catalogue,physical_object,source_key,davis26_thrils_blagn,6,6,6
v7.3-accreting-atlas-catalogue,physical_object,source_key,harikane23_nirspec_blagn,5,5,5
v7.3-accreting-atlas-catalogue,physical_object,source_key,juodzbalis25_jades_blagn,23,23,23
v7.3-accreting-atlas-catalogue,physical_object,source_key,lin24_aspire_blagn,16,16,16
v7.3-accreting-atlas-catalogue,physical_object,source_key,matthee23_eiger_fresco_blagn,19,19,19
v7.3-accreting-atlas-catalogue,physical_object,source_key,ren25_alpine_cristal_jwst_blagn_candidates,7,7,1
v7.3-accreting-atlas-catalogue,physical_object,source_key,shen19_gnirs50,44,43,25
v7.3-accreting-atlas-catalogue,physical_object,source_key,taylor24_ceers_rubies_blagn,36,36,35
v7.3-accreting-atlas-catalogue,physical_object,source_key,uhz1_xray_evidence_history,1,0,0
v7.3-accreting-atlas-catalogue,physical_object,source_key,xqr30_mazzucchelli23,42,41,41
v7.3-accreting-atlas-catalogue,physical_object,survey,ALPINE-CRISTAL-JWST,7,7,1
v7.3-accreting-atlas-catalogue,physical_object,survey,ASPIRE,16,16,16
v7.3-accreting-atlas-catalogue,physical_object,survey,CEERS,7,7,7
v7.3-accreting-atlas-catalogue,physical_object,survey,Chandra Abell 2744; JWST UNCOVER,1,0,0
v7.3-accreting-atlas-catalogue,physical_object,survey,E-XQR-30,42,41,41
v7.3-accreting-atlas-catalogue,physical_object,survey,EIGER,12,12,12
v7.3-accreting-atlas-catalogue,physical_object,survey,FRESCO,7,7,7
v7.3-accreting-atlas-catalogue,physical_object,survey,GLASS,2,2,2
v7.3-accreting-atlas-catalogue,physical_object,survey,Gemini-GNIRS LLP-7,44,43,25
v7.3-accreting-atlas-catalogue,physical_object,survey,JADES,23,23,23
v7.3-accreting-atlas-catalogue,physical_object,survey,RUBIES,32,32,31
v7.3-accreting-atlas-catalogue,physical_object,survey,THRILS,6,6,6
