catalogue_release,host_system_id,n_physical_objects,n_measurements,physical_object_ids,measurement_ids,source_keys,host_system_assignment_status,host_property_scope,log_mstar_msun_std,log_mstar_upper_limit_msun,host_mass_note
v7.4-accreting-atlas-catalogue,HZS-CEERS-00717,1,1,HZA-CEERS-00717,CEERS00717_harikane23,harikane23_nirspec_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-CEERS-01236,1,1,HZA-CEERS-01236,CEERS01236_harikane23,harikane23_nirspec_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-CEERS-01665,1,1,HZA-CEERS-01665,CEERS01665_harikane23,harikane23_nirspec_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-CEERS-1244,1,2,HZA-CEERS-1244,CEERS01244_harikane23;CEERS1244_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-CEERS-2782,1,3,HZA-CEERS-2782,CEERS02782_harikane23;CEERS2782_taylor24;RUBIESEGS50052_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-CEERS-397,1,2,HZA-CEERS-397,CEERS00397_harikane23;CEERS397_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-CEERS-672,1,2,HZA-CEERS-672,CEERS00672_harikane23;CEERS672_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-CEERS-746,1,2,HZA-CEERS-746,CEERS00746_harikane23;CEERS746_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-DC-417567,1,1,HZA-DC-417567,DC417567_ren25,ren25_alpine_cristal_jwst_blagn_candidates,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-DC-519281,1,1,HZA-DC-519281,DC519281_ren25,ren25_alpine_cristal_jwst_blagn_candidates,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-DC-536534,1,1,HZA-DC-536534,DC536534_ren25,ren25_alpine_cristal_jwst_blagn_candidates,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-DC-683613,1,1,HZA-DC-683613,DC683613_ren25,ren25_alpine_cristal_jwst_blagn_candidates,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-DC-848185,2,2,HZA-DC-848185-A;HZA-DC-848185-B,DC848185a_ren25;DC848185b_ren25,ren25_alpine_cristal_jwst_blagn_candidates,source_verified_multinucleus_host,shared_host_system_total,10.37,,published integrated system value; do not assign independently to each nucleus
v7.4-accreting-atlas-catalogue,HZS-DC-873321,1,1,HZA-DC-873321,DC873321_ren25,ren25_alpine_cristal_jwst_blagn_candidates,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
