measurement_id,object_id,ra_deg,dec_deg,redshift,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,broad_line_species,broad_fwhm_km_s,broad_fwhm_err_plus,broad_fwhm_err_minus,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lbol_method,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,edd_ratio_method,grating,evidence_status,evidence_status_basis,source_key
VALENTINO3567262_baccus26,VALENTINO_3567_262,34.298697,-4.989901,4.0116,7.72,0.01,0.01,Halpha,4540.0,10.0,200.0,44.5,0.01,0.01,source broad-Halpha luminosity scaling,0.0457,0.0007,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
JADES118010013268_baccus26,JADES_1180_10013268,53.201828,-27.82088,4.0395,5.81,0.0287,0.0425,Halpha,1240.0,440.0,180.0,43.7,0.0139,0.013,source broad-Halpha luminosity scaling,0.5783,0.0292,0.03,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
AURORA1914927605_baccus26,AURORA_1914_927605,189.15183,62.272228,4.0472,6.32,0.0131,0.0162,Halpha,1500.0,130.0,110.0,44.2,0.01,0.01,source broad-Halpha luminosity scaling,0.6152,0.0113,0.01,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
RUBIES4233119559_baccus26,RUBIES_4233_119559,34.30486,-5.177419,4.0885,6.39,0.05,0.0477,Halpha,1690.0,220.0,210.0,43.8,0.0261,0.0321,source broad-Halpha luminosity scaling,0.225,0.0103,0.01,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
EXCELS354342268_baccus26,EXCELS_3543_42268,34.297511,-5.257169,4.1204,6.86,0.01,0.01,Halpha,2220.0,60.0,60.0,44.3,0.01,0.01,source broad-Halpha luminosity scaling,0.2326,0.0018,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
GDN26743761_baccus26,GDN_2674_3761,189.259528,62.172083,4.1393,5.91,0.0326,0.0404,Halpha,1430.0,350.0,310.0,43.8,0.01,0.01,source broad-Halpha luminosity scaling,0.6491,0.0364,0.04,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
EXCELS354389922_baccus26,EXCELS_3543_89922,34.255946,-5.177851,4.1427,5.93,0.0203,0.0182,Halpha,880.0,80.0,60.0,44.4,0.01,0.01,source broad-Halpha luminosity scaling,2.458,0.0864,0.07,source derived from same Lbol and virial MBH,G395M,probable,literature-retained BLAGN below nominal 1000 km/s width threshold,baccus26_nirspec_blagn
JADES118172127_baccus26,JADES_1181_72127,189.265718,62.168393,4.1438,6.7,0.0254,0.0384,Halpha,2250.0,270.0,210.0,43.9,0.0144,0.0182,source broad-Halpha luminosity scaling,0.1414,0.0041,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
RUBIES423341683_baccus26,RUBIES_4233_41683,214.839934,52.820067,4.2792,5.75,0.0341,0.061,Halpha,1080.0,350.0,200.0,44.0,0.018,0.0243,source broad-Halpha luminosity scaling,1.3537,0.08,0.1,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
GDN476237583_baccus26,GDN_4762_37583,189.096767,62.209854,4.3359,6.03,0.0287,0.0276,Halpha,1100.0,170.0,140.0,44.4,0.01,0.01,source broad-Halpha luminosity scaling,1.8828,0.1364,0.09,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
RUBIES423354059_baccus26,RUBIES_4233_54059,34.280915,-5.220847,4.3567,5.59,0.048,0.0591,Halpha,1030.0,350.0,170.0,44.0,0.0212,0.0145,source broad-Halpha luminosity scaling,2.0645,0.2173,0.14,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
AURORA1914928583_baccus26,AURORA_1914_928583,189.124835,62.275492,4.3807,6.86,0.01,0.0113,Halpha,2350.0,180.0,130.0,44.3,0.01,0.01,source broad-Halpha luminosity scaling,0.2463,0.0031,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
JADES118128746_baccus26,JADES_1181_28746,189.176078,62.256325,4.4126,5.51,0.0296,0.0379,Halpha,860.0,280.0,130.0,43.9,0.0158,0.0116,source broad-Halpha luminosity scaling,2.0495,0.1509,0.11,source derived from same Lbol and virial MBH,G395M,probable,literature-retained BLAGN below nominal 1000 km/s width threshold,baccus26_nirspec_blagn
JADES118016375_baccus26,JADES_1180_16375,53.095744,-27.774815,4.4374,6.21,0.0446,0.0561,Halpha,1380.0,400.0,420.0,44.6,0.01,0.0136,source broad-Halpha luminosity scaling,1.8975,0.1722,0.17,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
AURORA19148769_baccus26,AURORA_1914_8769,150.17513,2.26888,4.5302,6.39,0.01,0.01,Halpha,1630.0,100.0,80.0,44.2,0.01,0.01,source broad-Halpha luminosity scaling,0.5263,0.0064,0.01,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
GTO12151472_baccus26,GTO_1215_1472,34.337315,-5.143674,4.5563,8.02,0.01,0.01,Halpha,3280.0,50.0,50.0,45.4,0.01,0.01,source broad-Halpha luminosity scaling,0.1949,0.001,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
GTO12156001_baccus26,GTO_1215_6001,34.364248,-5.19773,4.5825,6.38,0.0207,0.03,Halpha,1150.0,590.0,250.0,44.9,0.0196,0.0124,source broad-Halpha luminosity scaling,2.6247,0.0935,0.08,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
VALENTINO356751909_baccus26,VALENTINO_3567_51909,34.454931,-5.132708,4.6262,7.49,0.01,0.01,Halpha,2700.0,30.0,30.0,44.9,0.01,0.01,source broad-Halpha luminosity scaling,0.2067,0.0009,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
