measurement_id,object_id,ra_deg,dec_deg,redshift,lensing_mu,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,broad_line_species,broad_fwhm_km_s,broad_fwhm_err_plus,broad_fwhm_err_minus,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lbol_method,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,edd_ratio_method,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,mstar_method,evidence_status,evidence_status_basis,source_key
GLIMPSE13131_fei26,GLIMPSE-13131,342.254974,-44.548328,5.538,1.3,5.86,0.07,0.04,Halpha,659.6,58.3,25.0,44.29,0.05,0.05,source broad-Halpha luminosity scaling,1.8,0.22,0.21,source derived from same Lbol and virial MBH,8.77,0.27,0.9,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE5536_fei26,GLIMPSE-5536,342.256287,-44.56012,6.222,1.2,6.6,0.05,0.06,Halpha,1352.3,75.9,77.2,44.46,0.02,0.02,source broad-Halpha luminosity scaling,0.48,0.02,0.02,source derived from same Lbol and virial MBH,9.74,0.03,0.03,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE11026_fei26,GLIMPSE-11026,342.197449,-44.550621,5.972,1.8,6.81,0.04,0.04,Halpha,1815.5,86.0,79.8,44.37,0.01,0.01,source broad-Halpha luminosity scaling,0.24,0.01,0.01,source derived from same Lbol and virial MBH,7.81,0.15,0.23,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE46938_fei26,GLIMPSE-46938,342.236053,-44.541561,6.852,1.5,6.09,0.25,0.23,Halpha,954.7,271.0,205.4,44.15,0.05,0.05,source broad-Halpha luminosity scaling,0.77,0.09,0.08,source derived from same Lbol and virial MBH,7.45,0.29,1.3,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE55241_fei26,GLIMPSE-55241,342.167999,-44.54253,5.5,23.6,5.55,0.09,0.06,Halpha,1452.0,135.0,86.0,42.71,0.04,0.05,source broad-Halpha luminosity scaling,0.1,0.01,0.01,source derived from same Lbol and virial MBH,6.6,0.08,0.1,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE12248_fei26,GLIMPSE-12248,342.231995,-44.548908,6.108,1.4,6.24,0.11,0.11,Halpha,1226.1,152.3,135.7,44.02,0.04,0.04,source broad-Halpha luminosity scaling,0.4,0.04,0.04,source derived from same Lbol and virial MBH,7.93,0.19,0.33,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE41299_fei26,GLIMPSE-41299,342.229431,-44.538002,6.865,1.6,5.79,0.17,0.15,Halpha,648.9,127.4,92.8,44.21,0.05,0.06,source broad-Halpha luminosity scaling,1.77,0.22,0.21,source derived from same Lbol and virial MBH,7.61,0.16,0.26,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE39803_fei26,GLIMPSE-39803,342.191162,-44.537281,6.103,4.0,6.92,0.02,0.02,Halpha,2369.4,53.9,66.8,44.17,0.02,0.02,source broad-Halpha luminosity scaling,0.12,0.0,0.01,source derived from same Lbol and virial MBH,7.71,0.25,0.66,source galaxy+AGN SED fit,secure,source-secure broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE38548_fei26,GLIMPSE-38548,342.258301,-44.536457,6.508,1.3,6.32,0.26,0.41,Halpha,1425.0,385.8,476.2,43.96,0.1,0.13,source broad-Halpha luminosity scaling,0.29,0.07,0.07,source derived from same Lbol and virial MBH,7.66,0.57,0.57,source galaxy+AGN SED fit,candidate,source-tentative broad-Halpha AGN,fei26_glimpse_blagn
GLIMPSE7404_fei26,GLIMPSE-7404,342.268341,-44.556927,4.707,1.2,6.13,0.27,0.25,Halpha,1482.1,478.3,357.6,43.6,0.09,0.11,source broad-Halpha luminosity scaling,0.2,0.05,0.04,source derived from same Lbol and virial MBH,8.24,0.19,0.34,source galaxy+AGN SED fit,candidate,source-tentative broad-Halpha AGN,fei26_glimpse_blagn
