measurement_id,object_id,published_ra,published_dec,ra_deg,dec_deg,redshift,field,survey,program,muv,muv_err_plus,muv_err_minus,metallicity_12_logoh,metallicity_err_plus,metallicity_err_minus,ebv_mag,halpha_broad_snr,delta_aic,halpha_lum_broad_erg_s,halpha_lum_broad_err_plus,halpha_lum_broad_err_minus,halpha_broad_to_narrow_ratio,halpha_broad_to_narrow_err_plus,halpha_broad_to_narrow_err_minus,halpha_broad_fwhm_km_s,halpha_broad_fwhm_err_plus,halpha_broad_fwhm_err_minus,mbh_msun,mbh_err_plus_msun,mbh_err_minus_msun,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,lbol_erg_s,lbol_err_plus_erg_s,lbol_err_minus_erg_s,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,log_mstar_upper_limit_msun,host_fit_model,red_agn_flag,compact_source_flag,dual_agn_candidate_flag,lrd_flag,source_caveat_tags
CEERS01244_harikane23,CEERS-01244,14:20:57.76,+53:02:09.8,215.24066667,53.03605556,4.478,EGS,CEERS,JWST/NIRSpec,-19.50,0.18,0.18,7.67,0.20,0.23,0.00,37.3,789.8,7.7e42,0.2e42,0.2e42,2.51,0.17,0.22,2228,75,52,3.2e7,0.3e7,0.2e7,7.50514998,0.03891807,0.02802872,1.9e45,3.8e45,0.6e45,45.27875360,0.47712125,0.16481025,0.46,1.04,0.16,8.63,0.63,1.03,,PSF+Sersic,0,0,0,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
GLASS160133_harikane23,GLASS-160133,00:14:19.27,-30:25:27.8,3.58029167,-30.42438889,4.015,Abell-2744,GLASS,JWST/NIRSpec,-18.94,0.08,0.09,7.95,0.06,0.05,0.16,32.5,2022.4,1.2e42,0.1e42,0.1e42,0.26,0.02,0.01,1028,19,13,2.3e6,0.1e6,0.1e6,6.36172784,0.01848341,0.01930516,1.1e45,6.1e45,0.9e45,45.04139269,0.81593981,0.74036269,3.68,21.21,2.84,,,,8.82,no-reliable-decomposition,0,0,0,,host_mass_upper_limit;narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
GLASS150029_harikane23,GLASS-150029,00:14:18.52,-30:25:21.3,3.57716667,-30.42258333,4.583,Abell-2744,GLASS,JWST/NIRSpec,-19.20,0.10,1.08,7.70,0.09,0.08,0.17,18.1,431.1,8.2e41,0.7e41,0.5e41,0.22,0.02,0.01,1429,10,67,3.7e6,0.2e6,0.3e6,6.56820172,0.02286288,0.03672281,9.1e44,13.8e44,7.1e44,44.95904139,0.40079409,0.65801140,1.89,3.31,1.49,9.10,0.31,0.37,,PSF+Sersic,0,0,0,,narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
CEERS00746_harikane23,CEERS-00746,14:19:14.19,+52:52:06.5,214.80912500,52.86847222,5.624,EGS,CEERS,JWST/NIRSpec,-17.82,0.33,0.61,8.29,0.24,0.22,1.38,17.3,210.5,6.8e43,0.4e43,0.4e43,5.06,1.10,1.26,1660,157,162,5.8e7,1.5e7,1.3e7,7.76342799,0.09989487,0.11021548,1.1e46,0.1e46,0.2e46,46.04139269,0.03778856,0.08715018,1.47,0.60,0.52,,,,9.11,PSF,1,1,0,,host_mass_upper_limit;dust_extinction_corrected;red_agn;compact_source;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
CEERS01665_harikane23,CEERS-01665,14:20:42.77,+53:03:33.7,215.17820833,53.05936111,4.483,EGS,CEERS,JWST/NIRSpec,-21.66,0.07,0.07,8.05,0.19,0.19,0.42,11.6,132.0,6.8e42,0.9e42,0.6e42,0.28,0.05,0.05,1794,282,171,1.9e7,0.8e7,0.5e7,7.27875360,0.15261016,0.13262557,4.8e45,7.2e45,3.6e45,45.68124124,0.39794001,0.60205999,1.93,4.61,1.59,9.92,0.51,0.68,,PSF+Sersic,0,0,0,,dust_extinction_corrected;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
CEERS00672_harikane23,CEERS-00672,14:19:33.52,+52:49:58.7,214.88966667,52.83297222,5.666,EGS,CEERS,JWST/NIRSpec,-16.71,0.31,1.16,8.57,0.30,0.23,0.80,11.6,51.9,1.8e43,0.2e43,0.2e43,1.95,0.45,0.40,2208,277,241,5.0e7,1.7e7,1.3e7,7.69897000,0.12710480,0.13076828,4.3e45,0.4e45,1.4e45,45.63346846,0.03862940,0.17107046,0.65,0.31,0.33,,,,9.01,PSF,1,1,0,,host_mass_upper_limit;dust_extinction_corrected;red_agn;compact_source;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
CEERS02782_harikane23,CEERS-02782,14:19:17.63,+52:49:49.0,214.82345833,52.83027778,5.241,EGS,CEERS,JWST/NIRSpec,-19.50,0.12,0.00,7.51,0.16,0.16,0.28,11.2,78.6,7.6e42,0.8e42,0.7e42,0.85,0.14,0.10,2534,260,266,4.2e7,1.2e7,1.0e7,7.62324929,0.10914447,0.11809931,2.8e45,2.3e45,1.4e45,45.44715803,0.26041214,0.30103000,0.51,0.71,0.32,,,,9.35,PSF,0,1,0,,host_mass_upper_limit;compact_source;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
CEERS00397_harikane23,CEERS-00397,14:19:20.69,+52:52:57.7,214.83620833,52.88269444,6.000,EGS,CEERS,JWST/NIRSpec,-21.23,0.17,0.24,7.87,0.14,0.14,0.19,6.2,51.2,2.6e42,0.8e42,0.4e42,0.19,0.07,0.05,1739,359,317,1.0e7,0.8e7,0.5e7,7.00000000,0.25527251,0.30103000,2.8e45,14.2e45,2.2e45,45.44715803,0.78329089,0.66900678,2.02,20.68,1.80,9.36,0.36,0.45,,PSF+Sersic,0,0,0,,broad_civ_and_tentative_heii;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
CEERS00717_harikane23,CEERS-00717,14:20:19.54,+52:58:19.9,215.08141667,52.97219444,6.936,EGS,CEERS,JWST/NIRSpec,-21.49,0.12,0.12,7.87,0.17,0.18,0.00,6.1,23.9,1.2e42,0.3e42,0.2e42,0.57,0.17,0.11,6279,805,881,9.8e7,4.4e7,3.2e7,7.99122608,0.16106227,0.17168214,7.1e44,51.8e44,4.3e44,44.85125835,0.91885695,0.40410032,0.06,0.63,0.04,9.61,0.77,1.18,,PSF+Sersic,0,0,0,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
CEERS01236_harikane23,CEERS-01236,14:20:34.87,+52:58:02.2,215.14529167,52.96727778,4.484,EGS,CEERS,JWST/NIRSpec,-19.61,0.27,0.23,7.55,0.29,0.28,0.00,5.9,23.3,4.8e41,1.1e41,0.8e41,2.39,1.12,0.59,3521,649,485,1.8e7,1.0e7,0.6e7,7.25527251,0.19188553,0.17609126,1.8e44,2.6e44,0.5e44,44.25527251,0.38818017,0.14132915,0.08,0.20,0.04,8.94,0.29,0.54,,2xPSF+Sersic,0,0,1,,dual_agn_candidate;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic
