measurement_id,object_id,published_ra,published_dec,ra_deg,dec_deg,redshift,redshift_err,field,survey,program,halpha_broad_to_total_ratio,halpha_broad_to_total_ratio_err,halpha_lum_broad_1e42,halpha_lum_broad_err_plus,halpha_lum_broad_err_minus,halpha_lum_total_1e42,halpha_lum_total_err_plus,halpha_lum_total_err_minus,halpha_broad_fwhm_km_s,halpha_broad_fwhm_err_plus,halpha_broad_fwhm_err_minus,halpha_narrow_fwhm_km_s,halpha_narrow_fwhm_err_plus,halpha_narrow_fwhm_err_minus,halpha_ew_rest_angstrom,halpha_ew_err_plus,halpha_ew_err_minus,photometry_band,photometry_mag,photometry_mag_err_plus,photometry_mag_err_minus,f200w_mag,f200w_err_plus,f200w_err_minus,muv,muv_err_plus,muv_err_minus,beta_uv,beta_uv_err_plus,beta_uv_err_minus,beta_opt,beta_opt_err_plus,beta_opt_err_minus,delta_m_lw,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,lbol_1e44_erg_s,lbol_1e44_err_plus,lbol_1e44_err_minus,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lrd_flag,lrd_definition,halpha_absorption_fit_flag,source_caveat_tags
J0109M3047BHAE1_lin24,J0109M3047-BHAE-1,17.4772,-30.8353,17.4772,-30.8353,4.3600,0.0006,J0109M3047,ASPIRE,ASPIRE,,,5.08,0.55,0.55,6.33,1.81,1.81,2821,351,351,559,119,119,630,119,119,F356W,24.647,0.008,0.008,,,,-17.21,0.31,0.31,-0.07,0.74,0.74,1.08,0.32,0.32,,7.86,0.11,0.11,,,,45.00,0.04,0.04,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J0218P0007BHAE1_lin24,J0218P0007-BHAE-1,34.6950,+0.0874,34.6950,0.0874,4.2291,0.0004,J0218P0007,ASPIRE,ASPIRE,,,4.84,0.44,0.44,4.84,0.44,0.44,2020,184,184,,,,476,53,53,F356W,24.459,0.011,0.011,,,,-17.39,0.30,0.30,0.05,0.69,0.69,1.08,0.16,0.16,,7.55,0.08,0.08,,,,44.98,0.03,0.04,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,narrow_halpha_unresolved;formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J0224M4711BHAE1_lin24,J0224M4711-BHAE-1,36.0952,-47.2007,36.0952,-47.2007,4.0639,0.0003,J0224M4711,ASPIRE,ASPIRE,,,1.70,0.37,0.37,3.13,0.87,0.87,1787,472,472,306,50,50,227,53,53,F356W,24.710,0.014,0.014,,,,-17.43,0.19,0.19,0.00,0.40,0.40,0.54,0.17,0.17,,7.23,0.24,0.24,,,,44.59,0.08,0.09,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J0229M0808BHAE1_lin24,J0229M0808-BHAE-1,37.4083,-8.1459,37.4083,-8.1459,4.3653,0.0002,J0229M0808,ASPIRE,ASPIRE,,,3.04,0.32,0.32,4.68,0.74,0.74,1709,217,217,253,31,31,405,56,56,F356W,24.804,0.018,0.018,,,,-19.15,0.10,0.10,-1.47,0.23,0.23,0.10,0.18,0.18,,7.31,0.12,0.12,,,,44.81,0.04,0.04,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J0229M0808BHAE2_lin24,J0229M0808-BHAE-2,37.3964,-8.1954,37.3964,-8.1954,5.0369,0.0002,J0229M0808,ASPIRE,ASPIRE,,,5.65,0.88,0.88,9.50,1.64,1.64,2347,388,388,202,19,19,818,189,189,F356W,25.074,0.018,0.018,,,,-20.07,0.04,0.04,-1.79,0.15,0.15,-1.32,0.32,0.32,,7.72,0.15,0.15,,,,45.04,0.05,0.06,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J0430M1445BHAE1_lin24,J0430M1445-BHAE-1,67.6898,-14.7873,67.6898,-14.7873,4.0947,0.0003,J0430M1445,ASPIRE,ASPIRE,,,22.97,3.94,3.94,22.97,3.94,3.94,1699,16,16,,,,1206,125,125,F356W,23.398,0.004,0.004,,,,-17.68,0.18,0.18,0.35,0.38,0.38,1.19,0.24,0.24,,7.72,0.04,0.04,,,,45.57,0.06,0.07,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,two_broad_components_total_profile_used_for_mass;formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J0910M0414BHAE1_lin24,J0910M0414-BHAE-1,137.7143,-4.2213,137.7143,-4.2213,4.9102,0.0003,J0910M0414,ASPIRE,ASPIRE,,,8.79,1.14,1.14,12.82,2.41,2.41,2708,397,397,444,53,53,2333,1308,1308,F356W,24.878,0.018,0.018,,,,-18.98,0.13,0.13,-1.74,0.40,0.40,-0.70,1.18,1.18,,7.94,0.13,0.13,,,,45.21,0.05,0.05,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J0923P0402BHAE1_lin24,J0923P0402-BHAE-1,140.9658,+4.0545,140.9658,4.0545,4.8688,0.0005,J0923P0402,ASPIRE,ASPIRE,,,21.63,6.87,6.87,21.63,6.87,6.87,2051,132,132,,,,1121,240,240,F356W,23.815,0.005,0.005,,,,-18.62,0.13,0.13,-1.04,0.41,0.41,1.73,0.61,0.61,,7.87,0.09,0.09,,,,45.55,0.11,0.14,1,Table_1_explicitly_calls_all_16_sources_LRDs,1,two_broad_components_total_profile_used_for_mass;blueshifted_halpha_absorption_586_km_s;absorption_interpretation_uncertain;formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J1526M2050BHAE1_lin24,J1526M2050-BHAE-1,231.6589,-20.8692,231.6589,-20.8692,4.1573,0.0005,J1526M2050,ASPIRE,ASPIRE,,,9.20,0.80,0.80,13.21,2.95,2.95,2433,260,260,471,63,63,656,105,105,F356W,23.860,0.006,0.006,,,,-18.04,0.15,0.15,-0.13,0.35,0.35,0.87,0.26,0.26,,7.85,0.10,0.10,,,,45.22,0.03,0.03,1,Table_1_explicitly_calls_all_16_sources_LRDs,1,blueshifted_halpha_absorption_357_km_s;absorption_interpretation_uncertain;total_luminosity_reported_without_absorption;formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
J1526M2050BHAE2_lin24,J1526M2050-BHAE-2,231.6513,-20.8566,231.6513,-20.8566,4.8708,0.0007,J1526M2050,ASPIRE,ASPIRE,,,6.35,0.79,0.79,7.70,2.14,2.14,3390,446,446,572,121,121,1493,655,655,F356W,25.181,0.026,0.026,,,,-18.43,0.27,0.27,-2.32,0.93,0.93,1.19,0.96,0.96,,8.07,0.12,0.12,,,,45.09,0.04,0.05,1,Table_1_explicitly_calls_all_16_sources_LRDs,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust
