measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,redshift_err_plus,redshift_err_minus,redshift_kind,source_table,object_class,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,selection_criteria,source_caveat_tags,published_aliases,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_statistical_uncertainty_kind,log_mbh_systematic_dex,mbh_systematic_kind,broad_line_species,broad_fwhm_km_s,broad_fwhm_err_plus,broad_fwhm_err_minus,log_line_luminosity,line_luminosity_1e42,line_luminosity_err_plus,line_luminosity_err_minus,f444w_mag,f444w_err,muv,muv_err_plus,muv_err_minus,muv_censoring,beta_opt,beta_opt_err,beta_uv,beta_uv_err,lrd_flag,lensing_status,lensing_mu,lensing_provenance,notes
COSMOS3D3878_lin25,COSMOS3D-3878,lin25_cosmos3d_blagn,150.1634,2.4392,5.024,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact;red,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,7.21,0.26,0.25,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,1299,176,171,,17.74,1.83,2.63,24.4,0.01,-18.78,,,lower_limit,0.5,0.16,,,True,unlensed,,,
COSMOS3D27974_lin25,COSMOS3D-27974,lin25_cosmos3d_blagn,150.0545,2.5261,5.027,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,7.53,0.19,0.18,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,1947,127,136,,14.34,0.63,0.73,23.48,0.01,-20.77,0.08,0.08,detection,-1.69,0.05,,,False,unlensed,,,
COSMOS3D24359_lin25,COSMOS3D-24359,lin25_cosmos3d_blagn,149.9233,2.5396,5.052,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact;red,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,7.58,0.39,0.35,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,2778,795,504,,4.38,1.03,0.89,24.83,0.01,-18.24,,,lower_limit,1.32,0.19,,,True,unlensed,,,
COSMOS3D20938_lin25,COSMOS3D-20938,lin25_cosmos3d_blagn,150.0664,2.4532,5.12,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact;red,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,8.09,0.45,0.38,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,3888,1372,680,,9.34,3.62,1.78,24.56,0.01,-18.55,,,lower_limit,1.51,0.24,,,True,unlensed,,,
COSMOS3D12739_lin25,COSMOS3D-12739,lin25_cosmos3d_blagn,149.9793,2.4981,5.126,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,7.45,0.25,0.24,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,2170,284,233,,6.71,0.74,0.75,24.8,0.02,-19.81,0.23,0.23,detection,-0.78,0.16,,,False,unlensed,,,
COSMOS3D25997_lin25,COSMOS3D-25997,lin25_cosmos3d_blagn,149.9107,2.5351,5.137,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact;red,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,6.86,0.25,0.23,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,1152,164,148,,6.26,0.7,0.65,24.74,0.01,-18.91,0.2,0.2,detection,0.93,0.15,,,True,unlensed,,,
COSMOS3D16912_lin25,COSMOS3D-16912,lin25_cosmos3d_blagn,150.1104,2.5043,5.216,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact;red,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,6.83,0.28,0.27,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,1337,233,217,,3.19,0.44,0.42,24.94,0.01,-18.59,0.28,0.28,detection,0.88,0.09,,,True,unlensed,,,
COSMOS3D23915_lin25,COSMOS3D-23915,lin25_cosmos3d_blagn,149.9034,2.4859,5.317,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,7.94,0.23,0.21,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,2783,249,216,,20.13,1.74,1.68,24.45,0.01,-19.32,0.18,0.18,detection,-0.97,0.1,,,False,unlensed,,,
COSMOS3D17455_lin25,COSMOS3D-17455,lin25_cosmos3d_blagn,149.9729,2.5549,5.345,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact;red,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,7.03,0.26,0.25,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,1240,160,170,,9.63,1.54,1.25,24.48,0.01,-18.67,,,lower_limit,1.42,0.22,,,True,unlensed,,,
COSMOS3D23756_lin25,COSMOS3D-23756,lin25_cosmos3d_blagn,150.0667,2.4897,5.686,,,spec,Table 1 (properties),broad_line_agn,secure,JWST/NIRCam grism broad-Halpha identification,type1_broad_line,broad_halpha,compact;red,COSMOS-3D NIRCam grism broad-line selection; F444W<26 mag; atlas z>=4 cut,single_epoch_virial_mass;possible_1_to_2_dex_scattering_bias_not_applied,,6.99,0.25,0.24,published_asymmetric,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,Halpha,1434,174,192,,4.86,0.64,0.61,25.0,0.01,-18.46,0.3,0.3,detection,1.5,0.13,,,True,unlensed,,,
