measurement_id,object_id,published_ra,published_dec,ra_deg,dec_deg,redshift,redshift_err,field,survey,program,halpha_broad_to_total_ratio,halpha_broad_to_total_ratio_err,halpha_lum_broad_1e42,halpha_lum_broad_err_plus,halpha_lum_broad_err_minus,halpha_lum_total_1e42,halpha_lum_total_err_plus,halpha_lum_total_err_minus,halpha_broad_fwhm_km_s,halpha_broad_fwhm_err_plus,halpha_broad_fwhm_err_minus,halpha_narrow_fwhm_km_s,halpha_narrow_fwhm_err_plus,halpha_narrow_fwhm_err_minus,halpha_ew_rest_angstrom,halpha_ew_err_plus,halpha_ew_err_minus,photometry_band,photometry_mag,photometry_mag_err_plus,photometry_mag_err_minus,f200w_mag,f200w_err_plus,f200w_err_minus,muv,muv_err_plus,muv_err_minus,beta_uv,beta_uv_err_plus,beta_uv_err_minus,beta_opt,beta_opt_err_plus,beta_opt_err_minus,delta_m_lw,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,lbol_1e44_erg_s,lbol_1e44_err_plus,lbol_1e44_err_minus,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lrd_flag,lrd_definition,halpha_absorption_fit_flag,source_caveat_tags
GOODSN4014_matthee23,GOODS-N-4014,12:37:12.03,+62:12:43.36,189.30012500,62.21204444,5.228,,GOODS-N,FRESCO,FRESCO,0.79,0.01,4.6,0.2,0.2,,,,2103,159,159,,,,488,64,53,F444W,24.98,0.05,0.05,28.08,0.76,0.47,-18.0,0.2,0.2,-2.04,0.70,0.93,2.00,1.12,0.82,-0.6,7.58,0.08,0.08,9.3,0.5,0.5,,,,1,paper_sample_label_little_red_dot,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
GOODSN9771_matthee23,GOODS-N-9771,12:37:07.44,+62:14:50.31,189.28100000,62.24730833,5.538,,GOODS-N,FRESCO,FRESCO,0.71,0.01,44.7,1.1,1.1,,,,3739,112,112,,,,789,69,65,F444W,23.01,0.06,0.05,26.11,0.05,0.05,-19.5,0.1,0.1,-0.61,0.13,0.13,0.76,0.31,0.36,-1.4,8.55,0.03,0.03,65.8,1.6,1.6,,,,1,paper_sample_label_little_red_dot,1,halpha_absorption_fit;blueshifted_absorption_340_km_s;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
GOODSN12839_matthee23,GOODS-N-12839,12:37:22.63,+62:15:48.11,189.34429167,62.26336389,5.241,,GOODS-N,FRESCO,FRESCO,0.87,0.01,18.8,0.7,0.7,,,,2482,147,147,,,,571,69,65,F444W,23.73,0.06,0.05,26.92,0.10,0.09,-19.0,0.1,0.1,-1.64,0.19,0.18,1.92,0.24,0.22,-0.7,8.01,0.06,0.06,31.2,1.2,1.2,,,,1,paper_sample_label_little_red_dot,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
GOODSN13733_matthee23,GOODS-N-13733,12:36:13.70,+62:16:08.18,189.05708333,62.26893889,5.236,,GOODS-N,FRESCO,FRESCO,0.70,0.01,2.4,0.2,0.2,,,,2208,200,200,,,,418,64,62,F444W,25.41,0.06,0.05,27.91,0.22,0.19,-17.9,0.2,0.2,-1.59,0.55,0.48,1.23,0.41,0.32,-0.5,7.49,0.10,0.10,5.2,0.3,0.3,,,,1,paper_sample_label_little_red_dot,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
GOODSN14409_matthee23,GOODS-N-14409,12:36:17.30,+62:16:24.35,189.07208333,62.27343056,5.139,,GOODS-N,FRESCO,FRESCO,0.79,0.02,3.6,0.4,0.4,,,,1474,190,190,,,,657,127,142,F444W,25.53,0.06,0.06,27.71,0.24,0.19,-18.3,0.1,0.1,-2.26,0.37,0.36,0.09,0.40,0.37,-0.9,7.21,0.14,0.14,7.4,0.9,0.9,,,,1,paper_sample_label_little_red_dot,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
GOODSN15498_matthee23,GOODS-N-15498,12:37:08.53,+62:16:50.82,189.28554167,62.28078333,5.086,,GOODS-N,FRESCO,FRESCO,0.97,0.01,5.3,1.0,1.0,,,,2360,214,214,,,,376,128,106,F444W,24.71,0.06,0.05,28.10,0.23,0.19,-17.7,0.2,0.2,-1.63,0.50,0.44,2.75,0.38,0.34,-0.4,7.71,0.11,0.11,10.4,1.9,1.9,,,,1,paper_sample_label_little_red_dot,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
GOODSN16813_matthee23,GOODS-N-16813,12:36:43.03,+62:17:33.12,189.17929167,62.29253333,5.355,,GOODS-N,FRESCO,FRESCO,0.57,0.01,4.5,0.5,0.5,,,,2033,219,219,,,,567,83,78,F444W,24.84,0.06,0.05,26.47,0.09,0.08,-19.7,0.1,0.1,-2.19,0.12,0.13,-0.60,0.23,0.23,-0.8,7.55,0.12,0.12,9.1,1.0,1.0,,,,1,paper_sample_label_little_red_dot,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
GOODSS13971_matthee23,GOODS-S-13971,03:32:33.26,-27:47:24.90,53.13858333,-27.79025000,5.481,,GOODS-S,FRESCO,FRESCO,0.48,0.03,2.5,0.5,0.5,,,,2192,479,479,,,,231,59,54,F444W,24.35,0.05,0.06,26.76,0.06,0.06,-19.4,0.1,0.1,-2.07,0.09,0.09,1.45,0.14,0.14,-0.2,7.49,0.25,0.25,5.5,1.2,1.2,,,,1,paper_sample_label_little_red_dot,0,foreground_trace_contamination_red_wing_excluded;crossmatch_GS-204851;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
J11487111_matthee23,J1148-7111,11:48:24.41,+52:54:28.66,177.10170833,52.90796111,4.339,,J1148,EIGER,EIGER,0.60,0.01,5.5,0.4,0.4,,,,2967,259,259,,,,645,73,70,F356W,24.47,0.04,0.04,26.58,0.06,0.06,-18.6,0.1,0.1,-1.00,0.31,0.28,0.25,0.18,0.17,-0.7,7.92,0.10,0.10,10.8,0.8,0.8,,,,1,paper_sample_label_little_red_dot,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
J114818404_matthee23,J1148-18404,11:48:13.91,+52:51:46.09,177.05795833,52.86280278,5.011,,J1148,EIGER,EIGER,0.43,0.02,3.3,0.7,0.7,,,,2886,346,346,,,,386,63,67,F356W,24.36,0.04,0.04,27.74,0.06,0.06,-17.5,0.1,0.1,-0.20,0.43,0.35,2.73,0.17,0.15,-0.4,7.79,0.14,0.14,6.9,1.4,1.4,,,,1,paper_sample_label_little_red_dot,1,halpha_absorption_fit;redshifted_absorption_50_km_s;narrow_flux_absorption_degenerate;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust
