measurement_id,object_id,ra_hms,dec_dms,ra_deg,dec_deg,original_redshift,systemic_redshift,systemic_redshift_err,j_mag,j_mag_err,h_mag,h_mag_err,ks_mag,ks_mag_err,photometry_reference,discovery_reference_key,comment
GNIRS50-P000-26_shen19,P000+26,00:01:21.63,+26:50:09.2,0.340125,26.83588888888889,5.75,5.733,0.007,18.36,0.08,,,,,UHS,1,
GNIRS50-J0002-2550_shen19,J0002+2550,00:02:39.39,+25:50:34.9,0.6641250000000001,25.843027777777777,5.82,5.818,0.007,18.46,0.09,,,,,UHS,2,
GNIRS50-J0008-0626_shen19,J0008-0626,00:08:25.77,-06:26:04.6,2.1073749999999998,-6.434611111111112,5.93,5.929,0.006,19.43,0.13,,,,,Jiang2016,3,BAL
GNIRS50-J0028-0457_shen19,J0028+0457,00:28:06.56,+04:57:25.7,7.027333333333334,4.957138888888889,5.99,5.982,0.012,19.16,0.12,19.05,0.2,18.32,0.18,UKIDSS LAS,4,
GNIRS50-J0033-0125_shen19,J0033-0125,00:33:11.40,-01:25:24.9,8.297500000000001,-1.4235833333333334,6.13,5.978,0.01,20.64,0.2,,,,,Willott2007,5,
GNIRS50-J0050-3445_shen19,J0050+3445,00:50:06.67,+34:45:22.6,12.527791666666667,34.756277777777775,6.25,6.251,0.006,19.05,0.15,,,,,UHS,6,
GNIRS50-J0055-0146_shen19,J0055+0146,00:55:02.91,+01:46:18.3,13.762125,1.77175,6.02,6.017,0.054,20.93,0.15,,,,,Willott2009,7,
GNIRS50-J0136-0226_shen19,J0136+0226,01:36:03.17,+02:26:05.7,24.013208333333335,2.434916666666667,6.21,6.206,0.009,21.15,0.22,,,,,Willott2010,6,
GNIRS50-J0203-0012_shen19,J0203+0012,02:03:32.38,+00:12:29.2,30.884916666666662,0.20811111111111114,5.86,5.709,0.01,19.05,0.1,17.75,0.07,17.32,0.09,UKIDSS LAS,8,BAL
GNIRS50-J0221-0802_shen19,J0221-0802,02:21:22.71,-08:02:51.5,35.344625,-8.047638888888889,6.16,6.161,0.054,21.09,0.14,,,,,Willott2010,6,
GNIRS50-J0227-0605_shen19,J0227-0605,02:27:43.29,-06:05:30.2,36.930375000000005,-6.091722222222222,6.2,6.212,0.007,21.07,0.22,,,,,VIK,7,
GNIRS50-J0300-2232_shen19,J0300-2232,03:00:44.18,-22:32:27.2,45.184083333333334,-22.54088888888889,5.7,5.684,0.008,18.71,0.08,19.42,0.08,,,Banados2014,4,
