measurement_id,object_id,original_redshift,systemic_redshift,systemic_redshift_err,mgii_redshift,mgii_redshift_err,ciii_redshift,ciii_redshift_err,civ_redshift,civ_redshift_err,siiv_redshift,siiv_redshift_err,log_l1350_erg_s,log_l1350_err,log_l1700_erg_s,log_l1700_err,log_l3000_erg_s,log_l3000_err,log_lbol_erg_s,log_lbol_err,mgii_peak_angstrom,mgii_fwhm_km_s,mgii_log_l_erg_s,mgii_ew_angstrom,mgii_centroid_angstrom,ciii_peak_angstrom,ciii_fwhm_km_s,ciii_log_l_erg_s,ciii_ew_angstrom,ciii_centroid_angstrom,civ_peak_angstrom,civ_fwhm_km_s,civ_log_l_erg_s,civ_ew_angstrom,civ_centroid_angstrom,siiv_peak_angstrom,siiv_fwhm_km_s,siiv_log_l_erg_s,siiv_ew_angstrom,siiv_centroid_angstrom,mgii_peak_angstrom_err,mgii_fwhm_km_s_err,mgii_log_l_erg_s_err,mgii_ew_angstrom_err,mgii_centroid_angstrom_err,ciii_peak_angstrom_err,ciii_fwhm_km_s_err,ciii_log_l_erg_s_err,ciii_ew_angstrom_err,ciii_centroid_angstrom_err,civ_peak_angstrom_err,civ_fwhm_km_s_err,civ_log_l_erg_s_err,civ_ew_angstrom_err,civ_centroid_angstrom_err,siiv_peak_angstrom_err,siiv_fwhm_km_s_err,siiv_log_l_erg_s_err,siiv_ew_angstrom_err,siiv_centroid_angstrom_err,log_mbh_civ_msun,log_mbh_civ_err,log_mbh_mgii_msun,log_mbh_mgii_err,log_mbh_fiducial_msun,log_mbh_fiducial_err,log_edd_ratio,log_edd_ratio_err
GNIRS50-P000-26_shen19,P000+26,5.71,5.73276,0.00567,,,5.73276,0.00567,5.70673,0.0094,5.73137,0.01208,46.75739,0.00373,46.73856,0.00194,46.69447,0.00125,47.40628,0.00125,,,,,,1913.74,5296.4002,44.9892,35.1666,1909.6983,1542.9839,5429.2778,45.3355,59.6456,1543.1084,1400.3506,6417.0776,44.5914,9.5976,1400.4112,,,,,,0.62,184.9384,0.0109,0.8976,0.6476,0.3394,130.4166,0.023,3.6247,0.3235,1.1628,292.7628,0.036,0.9814,1.1518,9.5909,0.021,,,9.5909,0.021,-0.2986,0.021
GNIRS50-J0002-2550_shen19,J0002+2550,5.8,5.81732,0.00612,,,5.81732,0.00612,5.80616,0.00974,5.80509,0.01144,46.79818,0.00383,46.73059,0.00294,46.58176,0.00188,47.29357,0.00188,,,,,,1912.1306,4730.0414,44.8797,29.5285,1910.0675,1545.1527,5845.7386,45.2246,44.9505,1545.256,1396.9631,5442.2609,44.6959,11.2643,1396.9804,,,,,,0.8613,237.2365,0.019,1.3846,0.3884,0.558,206.4462,0.0414,4.4537,0.3727,0.7582,389.672,0.0288,0.8513,0.7428,9.6767,0.0307,,,9.6767,0.0307,-0.4971,0.0308
GNIRS50-J0008-0626_shen19,J0008-0626,5.93,5.92914,0.00606,,,5.92914,0.00606,5.90136,0.00974,5.92152,0.01238,46.27177,0.00677,46.28021,0.00513,46.31686,0.00251,47.02867,0.00251,2799.5592,2279.2035,44.3447,29.3771,2799.6332,1907.035,4679.052,44.6919,47.6845,1902.1168,1538.3896,6132.7547,44.9604,74.9591,1538.6162,1394.9342,6882.1233,44.4054,19.0122,1395.0039,1.0056,273.6052,0.0686,5.343,0.8432,0.7642,340.4154,0.1124,16.3435,0.4911,0.426,245.8128,0.0244,5.4278,0.4231,1.14,562.0386,0.0388,2.1078,1.1297,9.4393,0.035,8.892,0.1043,8.892,0.1043,0.0227,0.1043
GNIRS50-J0028-0457_shen19,J0028+0457,6.04,5.96005,0.0113,5.98947,0.01802,5.96388,0.05415,5.96005,0.0113,5.98188,0.0126,46.52419,0.00641,46.47835,0.00281,46.30178,0.00285,47.01359,0.00285,2778.1354,5307.4252,44.116,17.1912,2778.2385,1886.6489,15581.7888,44.8586,48.5296,1887.9667,1526.7865,8768.5794,44.5176,15.7706,1526.9232,1384.7972,5628.2723,44.2522,7.4635,1384.8465,6.907,1972.1305,0.0658,2.7851,6.6327,14.596,6435.074,0.0563,7.5302,16.5685,1.2964,1215.9856,0.045,1.8727,1.2956,1.1807,748.7258,0.0491,0.9491,1.1531,9.8837,0.1205,9.6169,0.3228,9.6169,0.3228,-0.7172,0.3228
GNIRS50-J0033-0125_shen19,J0033-0125,6.13,6.01884,0.00671,6.01884,0.00671,6.02569,0.08111,6.05059,0.05432,6.13918,0.01145,45.83206,0.01377,45.855,0.00966,45.79924,0.00634,46.51105,0.00634,2754.5928,6761.664,43.5602,15.3009,2754.7506,1879.3693,31651.1905,44.4942,81.4783,1881.595,1528.5198,11242.4649,44.2112,35.3345,1532.8373,1399.1271,,,,1399.1271,1.8419,6808.2245,0.1678,8.1159,1.9092,21.6481,14937.7791,0.2468,39.3881,15.9149,11.5845,7059.0387,0.0884,10.7079,7.9077,0.2881,705.9574,21.6527,1.9982,0.2881,9.7327,0.5454,9.5156,0.8746,9.5156,0.8746,-1.1185,0.8746
GNIRS50-J0050-3445_shen19,J0050+3445,6.25,6.24598,0.0055,6.24598,0.0055,,,6.26686,0.0104,6.25311,0.01245,46.49392,0.00497,46.53066,0.00269,46.54579,0.00201,47.2576,0.00201,2796.667,5859.9963,44.5534,28.1398,2796.7785,1890.1838,1519.894,45.7117,279.2347,1890.158,1547.7964,5733.2061,45.1318,63.6833,1547.9942,1396.8385,8720.3116,44.5914,17.2308,1396.9595,0.917,490.5354,0.0139,1.1125,0.8433,19.0164,6304.8263,2.3617,1142003.9057,9.4324,0.5582,444.2972,0.0143,2.6083,0.572,0.9016,1366.3388,0.0411,1.9945,0.8532,9.4986,0.0674,9.8542,0.0727,9.8542,0.0727,-0.7105,0.0727
GNIRS50-J0055-0146_shen19,J0055+0146,6.02,5.95421,0.05343,6.07498,0.07776,5.83962,0.05969,5.93455,0.10472,5.95421,0.05343,45.88326,0.07673,45.68712,0.12047,45.20117,0.1107,45.91298,0.1107,2820.1319,1411.9148,43.5745,82.2723,2820.1385,1858.2638,796.6058,44.5677,183.8189,1858.2736,1527.2944,16331.9862,44.4852,75.026,1527.7705,1384.4997,6855.8952,44.1495,26.5041,1384.5757,30.9342,8127.8443,0.4005,312.0705,30.3427,16.152,5346.0273,0.3405,177.1063,13.0764,22.9677,15058.2533,0.3398,130.1998,20.9663,10.4058,16942.9749,0.5952,105.6282,9.4189,,,,,,,,
GNIRS50-J0136-0226_shen19,J0136+0226,6.21,6.20648,0.00719,6.20648,0.00719,,,6.2144,0.01007,6.22903,0.0168,45.72905,0.02237,45.64538,0.01691,45.62028,0.01091,46.33209,0.01091,2796.8535,2580.8802,43.7493,38.7579,2796.6481,,,,,,1547.1535,3366.8035,44.6257,135.9479,1547.1869,1401.3542,2261.9195,43.3106,5.4962,1400.7939,2.0335,984.1692,0.0773,8.0233,1.8282,,,,,,0.281,324.9078,0.122,33.1813,0.2273,2.375,860.926,0.144,2.5821,2.2162,8.6308,0.0847,8.5681,0.3313,8.5681,0.3313,-0.35,0.3315
GNIRS50-J0203-0012_shen19,J0203+0012,5.854,5.77689,0.01053,,,5.83418,0.01414,5.77689,0.01053,5.75423,0.01075,46.19251,0.00699,46.50215,0.00207,46.60248,0.00129,47.31429,0.00129,,,,,,1901.756,16181.614,44.6907,24.0554,1883.0857,1526.8976,28274.153,45.0535,71.1619,1528.3054,1375.9608,6683.7277,44.3905,20.0119,1376.0374,,,,,,3.6476,589.9841,0.0186,1.0965,1.5348,1.0761,8395.1266,0.0381,6.9946,1.059,0.0057,930.5646,0.0546,2.8647,0.0335,10.7248,0.2579,,,10.7248,0.2579,-1.5245,0.2579
GNIRS50-J0221-0802_shen19,J0221-0802,6.16,6.20015,0.03631,6.20015,0.03631,,,6.12628,0.06591,6.16647,0.05962,45.23979,0.46662,45.19409,0.22509,45.94421,0.0132,46.65601,0.0132,2813.9088,2296.9536,44.4987,117.5524,2813.6605,1886.359,24846.3285,44.8671,725.6813,1882.7322,1539.9433,15078.1371,44.4959,317.5075,1526.8341,1399.6561,,,,1399.6561,14.058,8518.6997,0.2931,63.4945,23.1139,14.4787,16693.2987,0.1485,476.0697,11.4136,14.0826,9534.4853,0.3569,421.165,11.6778,11.4289,1742.4444,21.9779,41.8485,11.1237,,,8.6677,3.2213,8.6677,3.2213,-0.1256,3.2214
