measurement_id,object_id,ra_deg,dec_deg,redshift,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,broad_line_species,broad_fwhm_km_s,source_key
SKYFIRE299_skyfire26,SKYFIRE-299,214.805753,52.878045,5.6229,7.31,0.03,0.03,Halpha,1896,skyfire26_ceers_blagn
SKYFIRE1090_skyfire26,SKYFIRE-1090,214.912510,52.949436,6.2290,6.73,0.08,0.09,Halpha,1141,skyfire26_ceers_blagn
SKYFIRE1867_skyfire26,SKYFIRE-1867,214.817678,52.877856,5.4457,6.94,0.11,0.12,Halpha,1640,skyfire26_ceers_blagn
SKYFIRE2086_skyfire26,SKYFIRE-2086,214.858256,52.905539,5.4806,7.42,0.05,0.05,Halpha,2111,skyfire26_ceers_blagn
SKYFIRE3519_skyfire26,SKYFIRE-3519,214.925759,52.945659,5.0885,7.17,0.06,0.07,Halpha,1946,skyfire26_ceers_blagn
SKYFIRE9382_skyfire26,SKYFIRE-9382,214.926772,52.914039,5.0730,5.89,0.14,0.17,Halpha,596,skyfire26_ceers_blagn
SKYFIRE12630_skyfire26,SKYFIRE-12630,214.869654,52.855608,5.1033,7.08,0.19,0.23,Halpha,2215,skyfire26_ceers_blagn
SKYFIRE17484_skyfire26,SKYFIRE-17484,214.799323,52.774004,5.0334,6.78,0.11,0.13,Halpha,1524,skyfire26_ceers_blagn
SKYFIRE20952_skyfire26,SKYFIRE-20952,214.880185,52.812566,5.2802,7.19,0.07,0.07,Halpha,1882,skyfire26_ceers_blagn
SKYFIRE21749_skyfire26,SKYFIRE-21749,214.876034,52.806109,5.7958,7.22,0.04,0.04,Halpha,1601,skyfire26_ceers_blagn
SKYFIRE22814_skyfire26,SKYFIRE-22814,214.943538,52.849030,5.2413,6.75,0.20,0.24,Halpha,1299,skyfire26_ceers_blagn
SKYFIRE23289_skyfire26,SKYFIRE-23289,214.894556,52.812162,5.9343,7.51,0.03,0.03,Halpha,2109,skyfire26_ceers_blagn
SKYFIRE23961_skyfire26,SKYFIRE-23961,214.899699,52.812840,5.0000,7.11,0.05,0.06,Halpha,1702,skyfire26_ceers_blagn
SKYFIRE25941_skyfire26,SKYFIRE-25941,214.934979,52.829364,5.9469,6.81,0.20,0.25,Halpha,1424,skyfire26_ceers_blagn
SKYFIRE26079_skyfire26,SKYFIRE-26079,214.955188,52.843018,5.0015,7.51,0.04,0.04,Halpha,2182,skyfire26_ceers_blagn
SKYFIRE30148_skyfire26,SKYFIRE-30148,214.931119,52.808158,6.5491,7.10,0.07,0.08,Halpha,1671,skyfire26_ceers_blagn
SKYFIRE44039_skyfire26,SKYFIRE-44039,214.822229,52.750196,5.9128,6.93,0.15,0.18,Halpha,1641,skyfire26_ceers_blagn
SKYFIRE83652_skyfire26,SKYFIRE-83652,214.871873,52.880432,5.6669,6.60,0.10,0.12,Halpha,1202,skyfire26_ceers_blagn
SKYFIRE92141_skyfire26,SKYFIRE-92141,214.896761,52.875796,6.1365,6.99,0.12,0.14,Halpha,1897,skyfire26_ceers_blagn
SKYFIRE504101_skyfire26,SKYFIRE-504101,214.947772,52.836333,4.8814,7.27,0.08,0.09,Halpha,2437,skyfire26_ceers_blagn
SKYFIRE530722_skyfire26,SKYFIRE-530722,214.871720,52.914307,4.3569,5.96,0.16,0.20,Halpha,574,skyfire26_ceers_blagn
SKYFIRE534080_skyfire26,SKYFIRE-534080,214.949994,52.855774,5.2761,6.55,0.20,0.24,Halpha,1388,skyfire26_ceers_blagn
