measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,survey,object_class,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_method,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,mstar_method,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lbol_method,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,agn_contam_flag,lensing_mu,lensing_mu_err,source_key,source_table,notes
GS30148179_juodzbalis25,GS-30148179,53.14208,-27.77985,5.922,spec,JADES,broad-line-agn,7.12,0.34,0.35,single-epoch-virial-halpha,8.95,0.58,0.58,beagle-spectral-decomposition,44.25,0.06,0.08,balmer-line-bolometric-correction,0.11,0.05,0.03,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS10013704_juodzbalis25,GS-10013704,53.12654,-27.81809,5.919,spec,JADES,broad-line-agn,7.44,0.31,0.31,single-epoch-virial-halpha,8.90,0.90,0.90,beagle-spectral-decomposition,44.29,0.02,0.02,balmer-line-bolometric-correction,0.055,0.007,0.006,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS210600_juodzbalis25,GS-210600,53.16611,-27.77985,6.306,spec,JADES,broad-line-agn,7.41,0.33,0.34,single-epoch-virial-halpha,8.40,0.61,0.61,beagle-spectral-decomposition,44.29,0.09,0.11,balmer-line-bolometric-correction,0.057,0.016,0.013,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS209777_juodzbalis25,GS-209777,53.15847,-27.77405,3.709,spec,JADES,broad-line-agn,8.90,0.30,0.30,single-epoch-virial-halpha,,,,,45.42,0.01,0.01,balmer-line-bolometric-correction,0.027,0.001,0.001,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; BEAGLE Mstar unavailable in Table 5.
GS204851_juodzbalis25,GS-204851,53.13859,-27.79025,5.480,spec,JADES,broad-line-agn,7.68,0.32,0.31,single-epoch-virial-halpha,10.74,0.09,0.09,beagle-spectral-decomposition,44.97,0.17,0.12,balmer-line-bolometric-correction,0.16,0.03,0.02,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS179198_juodzbalis25,GS-179198,53.08898,-27.86069,3.830,spec,JADES,broad-line-agn,7.23,1.42,0.33,single-epoch-virial-halpha,,,,,43.92,4.46,0.08,balmer-line-bolometric-correction,0.04,9.44,0.01,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; BEAGLE Mstar unavailable in Table 5.
GS172975_juodzbalis25,GS-172975,53.08773,-27.87124,4.741,spec,JADES,broad-line-agn,7.25,0.32,0.32,single-epoch-virial-halpha,8.98,0.14,0.14,beagle-spectral-decomposition,44.07,0.04,0.04,balmer-line-bolometric-correction,0.05,0.01,0.01,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS159717_juodzbalis25,GS-159717,53.09753,-27.90126,5.077,spec,JADES,broad-line-agn,7.44,0.30,0.30,single-epoch-virial-halpha,,,,,45.13,0.008,0.008,balmer-line-bolometric-correction,0.38,0.04,0.04,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; BEAGLE Mstar unavailable in Table 5.
GS159438_juodzbalis25,GS-159438,53.05447,-27.90246,3.239,spec,JADES,broad-line-agn,6.47,0.32,0.31,single-epoch-virial-halpha,,,,,44.11,0.03,0.04,balmer-line-bolometric-correction,0.35,0.05,0.08,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; BEAGLE Mstar unavailable in Table 5.
GN77652_juodzbalis25,GN-77652,189.29323,62.19900,5.229,spec,JADES,broad-line-agn,6.62,0.34,0.32,single-epoch-virial-halpha,8.36,1.64,1.64,beagle-spectral-decomposition,44.11,0.04,0.05,balmer-line-bolometric-correction,0.24,0.09,0.08,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN73488_juodzbalis25,GN-73488,189.19740,62.17723,4.133,spec,JADES,broad-line-agn,7.83,0.30,0.30,single-epoch-virial-halpha,9.71,0.33,0.33,beagle-spectral-decomposition,45.22,0.07,0.05,balmer-line-bolometric-correction,0.20,0.01,0.01,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN62309_juodzbalis25,GN-62309,189.24898,62.21835,5.172,spec,JADES,broad-line-agn,6.29,0.36,0.33,single-epoch-virial-halpha,7.78,0.34,0.34,beagle-spectral-decomposition,43.56,0.13,0.12,balmer-line-bolometric-correction,0.15,0.05,0.05,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN61888_juodzbalis25,GN-61888,189.16802,62.21701,5.874,spec,JADES,broad-line-agn,7.04,0.33,0.32,single-epoch-virial-halpha,8.53,1.73,1.73,beagle-spectral-decomposition,44.38,0.09,0.07,balmer-line-bolometric-correction,0.18,0.05,0.03,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN53757_juodzbalis25,GN-53757,189.26978,62.19421,4.447,spec,JADES,broad-line-agn,7.33,0.31,0.31,single-epoch-virial-halpha,10.38,0.19,0.19,beagle-spectral-decomposition,44.29,0.02,0.02,balmer-line-bolometric-correction,0.07,0.01,0.009,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS49729_juodzbalis25,GS-49729,53.17850,-27.78411,3.189,spec,JADES,broad-line-agn,7.67,0.30,0.30,single-epoch-virial-halpha,,,,,44.83,0.02,0.02,balmer-line-bolometric-correction,0.115,0.005,0.004,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; BEAGLE Mstar unavailable in Table 5.
GS38562_juodzbalis25,GS-38562,53.13586,-27.87165,4.822,spec,JADES,broad-line-agn,7.51,0.30,0.31,single-epoch-virial-halpha,9.76,0.09,0.09,beagle-spectral-decomposition,44.70,0.06,0.06,balmer-line-bolometric-correction,0.12,0.01,0.01,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN38509_juodzbalis25,GN-38509,189.09144,62.22811,6.678,spec,JADES,broad-line-agn,8.57,0.37,0.38,single-epoch-virial-halpha,9.19,0.40,0.40,beagle-spectral-decomposition,44.84,0.14,0.14,balmer-line-bolometric-correction,0.015,0.008,0.005,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
