measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,redshift_kind,survey,field,source_table,object_class,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,selection_criteria,source_caveat_tags,published_aliases,log_mstar,log_lbol,mstar_method,lbol_method,agn_fraction,selection_value,log_mbh_context_low,log_mbh_context_high,log_mbh_context,log_mbh_upper_limit,beta_uv,beta_opt,conditional_mass_flag,conditional_mass_reason,lensing_status,lensing_mu,lensing_mass_correction_status,lensing_provenance
GN42437_chisholm24,GN-42437,chisholm24_gn42437_nev,189.17219,62.30564,5.58724,spec,JWST GO-1871,GOODS-N,Table 1 and Section 5,high_ionization_line_candidate,probable,seven-sigma [Ne V] plus joint stellar-and-accreting-BH photoionization interpretation,type2_narrow_line,high_ionization_line;narrow_line_diagnostics,compact,JWST/NIRSpec [Ne V] 3427 detection requiring an accreting black-hole component in the source interpretation,no_broad_line;mass_estimates_are_indirect_model_dependent_context_only,,7.9,,Bagpipes joint photometry and spectroscopy,,,[NeV] EW=11+/-2 Angstrom,5,7,,,,,True,mass_depends_on_sed_or_scaling_model,,,,
CEERS1025_tang25,CEERS-1025,tang25_high_ionization,214.967594,52.933005,8.7166,spec,JWST/NIRSpec GO-4287 or archival JADES,EGS,Sections 3 and Appendix A,high_ionization_line_candidate,candidate,published N V 1243 candidate; high-ionization feature remains non-unique or low significance,type2_narrow_line,high_ionization_line,,"JWST/NIRSpec detection or plausible detection of N V, [Ne IV], or [Ne V]",line_identification_or_ionizing_source_uncertain;no_canonical_bh_mass,,,,,,,EW=7.0+/-1.1 Angstrom,,,,,,,,,,,,
GS81034_tang25,GS-81034,tang25_high_ionization,53.088307,-27.840416,5.3904,spec,JWST/NIRSpec GO-4287 or archival JADES,GOODS-S,Sections 3 and Appendix A,high_ionization_line_candidate,candidate,published [Ne V] 3427 candidate; high-ionization feature remains non-unique or low significance,unknown,high_ionization_line,,"JWST/NIRSpec detection or plausible detection of N V, [Ne IV], or [Ne V]",line_identification_or_ionizing_source_uncertain;no_canonical_bh_mass,,,,,,,EW=15+/-5 Angstrom; S/N=3,,,,,,,,,,,,
GS20025526_tang25,GS-20025526,tang25_high_ionization,53.099439,-27.880489,7.9507,spec,JWST/NIRSpec GO-4287 or archival JADES,GOODS-S,Sections 3 and Appendix A,high_ionization_line_candidate,candidate,"published [Ne IV] 2422,2424 candidate; high-ionization feature remains non-unique or low significance",unknown,high_ionization_line,,"JWST/NIRSpec detection or plausible detection of N V, [Ne IV], or [Ne V]",line_identification_or_ionizing_source_uncertain;no_canonical_bh_mass,,,,,,,EW=21+/-6 Angstrom; S/N=3.5,,,,,,,,,,,,
CEERS23_mazzolari24,CEERS-23,mazzolari24_ceers_nlagn,,,8.8802,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,candidate,source-tentative narrow-line diagnostic selection,type2_narrow_line,narrow_line_diagnostics;high_ionization_line,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,source_tentative;diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,9.17,44.92,source SED fit,narrow-line bolometric correction,,N5,,,,,,,,,,,,
CEERS355_mazzolari24,CEERS-355,mazzolari24_ceers_nlagn,,,6.0995,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.37,45.31,source SED fit,narrow-line bolometric correction,,R3O1 He2N2,,,,,,,,,,,,
CEERS428_mazzolari24,CEERS-428,mazzolari24_ceers_nlagn,,,6.1022,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.06,,source SED fit,narrow-line bolometric correction,,M2,,,,,,,,,,,,
CEERS496_mazzolari24,CEERS-496,mazzolari24_ceers_nlagn,,,6.5809,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,candidate,source-tentative narrow-line diagnostic selection,type2_narrow_line,narrow_line_diagnostics;high_ionization_line,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,source_tentative;diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,7.93,43.93,source SED fit,narrow-line bolometric correction,,N4,,,,,,,,,,,,
CEERS613_mazzolari24,CEERS-613,mazzolari24_ceers_nlagn,,,6.7288,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,candidate,source-tentative narrow-line diagnostic selection,type2_narrow_line,narrow_line_diagnostics;high_ionization_line,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,source_tentative;diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.28,44.78,source SED fit,narrow-line bolometric correction,,C3He2,,,,,,,,,,,,
CEERS669_mazzolari24,CEERS-669,mazzolari24_ceers_nlagn,,,5.2714,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.59,45.22,source SED fit,narrow-line bolometric correction,,R3S2,,,,,,,,,,,,
CEERS689_mazzolari24,CEERS-689,mazzolari24_ceers_nlagn,,,7.5457,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,,45.53,source SED fit,narrow-line bolometric correction,,M1 M2,,,,,,,,,,,,
CEERS1029_mazzolari24,CEERS-1029,mazzolari24_ceers_nlagn,,,8.61,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics;high_ionization_line,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,9.86,45.4,source SED fit,narrow-line bolometric correction,,Ne4,,,,,,,,,,,,
CEERS1064_mazzolari24,CEERS-1064,mazzolari24_ceers_nlagn,,,6.7905,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,,,source SED fit,narrow-line bolometric correction,,M2,,,,,,,,,,,,
CEERS1173_mazzolari24,CEERS-1173,mazzolari24_ceers_nlagn,,,4.9955,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.97,45.55,source SED fit,narrow-line bolometric correction,,R3S2,,,,,,,,,,,,
CEERS1212_mazzolari24,CEERS-1212,mazzolari24_ceers_nlagn,,,4.2772,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,9.22,44.44,source SED fit,narrow-line bolometric correction,,R3O1,,,,,,,,,,,,
CEERS1400_mazzolari24,CEERS-1400,mazzolari24_ceers_nlagn,,,4.4893,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.19,,source SED fit,narrow-line bolometric correction,,M2,,,,,,,,,,,,
CEERS1477_mazzolari24,CEERS-1477,mazzolari24_ceers_nlagn,,,4.6307,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.54,45.8,source SED fit,narrow-line bolometric correction,,M1 M2,,,,,,,,,,,,
CEERS1536_mazzolari24,CEERS-1536,mazzolari24_ceers_nlagn,,,5.0338,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.93,45.41,source SED fit,narrow-line bolometric correction,,M1 M2,,,,,,,,,,,,
CEERS1539_mazzolari24,CEERS-1539,mazzolari24_ceers_nlagn,,,4.8838,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,9.03,45.71,source SED fit,narrow-line bolometric correction,,R3S2 R3O1,,,,,,,,,,,,
