measurement_id,object_id,ra_hms,dec_dms,ra_deg,dec_deg
XQR30-PSO-J007-04_mazzucchelli23,PSO J007+04,00:28:06.56,+04:57:25.64,7.027333333333334,4.957122222222222
XQR30-PSO-J009-10_mazzucchelli23,PSO J009-10,00:38:56.52,-10:25:53.90,9.7355,-10.43163888888889
XQR30-PSO-J023-02_mazzucchelli23,PSO J023-02,01:32:01.70,-02:16:03.11,23.00708333333333,-2.2675305555555556
XQR30-PSO-J025-11_mazzucchelli23,PSO J025-11,01:40:57.03,-11:40:59.48,25.237624999999998,-11.683188888888889
XQR30-PSO-J029-29_mazzucchelli23,PSO J029-29,01:58:04.14,-29:05:19.25,29.51725,-29.088680555555555
XQR30-VST-ATLAS-J029-36_mazzucchelli23,VST-ATLAS J029-36,01:59:57.97,-36:33:56.60,29.991541666666667,-36.56572222222222
XQR30-VDES-J0224-4711_mazzucchelli23,VDES J0224-4711,02:24:26.54,-47:11:29.40,36.11058333333333,-47.1915
XQR30-PSO-J060-24_mazzucchelli23,PSO J060+24,04:02:12.69,+24:51:24.42,60.55287499999999,24.856783333333336
XQR30-VDES-J0408-5632_mazzucchelli23,VDES J0408-5632,04:08:19.23,-56:32:28.80,62.080125,-56.541333333333334
XQR30-PSO-J065-26_mazzucchelli23,PSO J065-26,04:21:38.05,-26:57:15.60,65.40854166666665,-26.954333333333334
XQR30-PSO-J065-01_mazzucchelli23,PSO J065+01,04:23:50.15,+01:43:24.79,65.95895833333334,1.723552777777778
XQR30-PSO-J089-15_mazzucchelli23,PSO J089-15,05:59:45.47,-15:35:00.20,89.93945833333333,-15.583388888888889
XQR30-PSO-J108-08_mazzucchelli23,PSO J108+08,07:13:46.31,+08:55:32.65,108.44295833333334,8.92573611111111
XQR30-SDSS-J0842-1218_mazzucchelli23,SDSS J0842+1218,08:42:29.43,+12:18:50.58,130.62262499999997,12.31405
XQR30-DELS-J0923-0402_mazzucchelli23,DELS J0923+0402,09:23:47.12,+04:02:54.40,140.94633333333334,4.048444444444445
XQR30-PSO-J158-14_mazzucchelli23,PSO J158-14,10:34:46.50,-14:25:15.58,158.69375,-14.420994444444444
XQR30-PSO-J183-05_mazzucchelli23,PSO J183+05,12:12:26.98,+05:05:33.49,183.11241666666666,5.092636111111111
XQR30-PSO-J183-12_mazzucchelli23,PSO J183-12,12:13:11.81,-12:46:03.45,183.29920833333333,-12.767625
XQR30-PSO-J217-16_mazzucchelli23,PSO J217-16,14:28:21.39,-16:02:43.30,217.089125,-16.045361111111113
