measurement_id,object_id,table_alias,redshift,redshift_from_cii_flag,bal_flag,mgii_telluric_caveat_flag,civ_low_snr_caveat_flag,lensed_flag,fwhm_civ_km_s,fwhm_civ_km_s_err_plus,fwhm_civ_km_s_err_minus,fwhm_mgii_km_s,fwhm_mgii_km_s_err_plus,fwhm_mgii_km_s_err_minus,civ_blueshift_km_s,civ_blueshift_km_s_err_plus,civ_blueshift_km_s_err_minus,log_l1350_erg_s,log_l1350_erg_s_err_plus,log_l1350_erg_s_err_minus,log_l3000_erg_s,log_l3000_erg_s_err_plus,log_l3000_erg_s_err_minus,log_lbol_erg_s,log_lbol_erg_s_err_plus,log_lbol_erg_s_err_minus,log_mbh_civ_msun,log_mbh_civ_msun_err_plus,log_mbh_civ_msun_err_minus,log_mbh_mgii_msun,log_mbh_mgii_msun_err_plus,log_mbh_mgii_msun_err_minus,edd_ratio_civ,edd_ratio_civ_err_plus,edd_ratio_civ_err_minus,edd_ratio_mgii,edd_ratio_mgii_err_plus,edd_ratio_mgii_err_minus
XQR30-PSO-J007-04_mazzucchelli23,PSO J007+04,PSOJ007+04,6.0015,True,False,True,False,False,6169.0,1057.0,1057.0,8176.0,473.0,473.0,2778.0,601.0,601.0,46.56,0.05,0.06,46.41,0.15,0.22,47.12,0.15,0.22,9.16,0.19,0.35,9.89,0.09,0.11,0.71,0.49,0.49,0.13,0.06,0.06
XQR30-PSO-J009-10_mazzucchelli23,PSO J009-10,PSOJ009-10,6.004,True,True,True,False,False,8025.0,2963.0,2963.0,7336.0,697.0,697.0,2956.0,456.0,456.0,46.42,0.06,0.06,46.63,0.08,0.09,47.34,0.08,0.09,9.28,0.26,0.71,9.9,0.08,0.1,0.88,0.73,0.73,0.21,0.06,0.06
XQR30-PSO-J023-02_mazzucchelli23,PSO J023-02,PSOJ023-02,5.9,False,True,True,False,False,4806.0,486.0,486.0,4065.0,201.0,201.0,832.0,112.0,112.0,46.39,0.04,0.05,46.62,0.06,0.07,47.33,0.06,0.07,9.37,0.13,0.18,9.39,0.05,0.06,0.7,0.26,0.26,0.68,0.12,0.12
XQR30-PSO-J025-11_mazzucchelli23,PSO J025-11,PSOJ025-11,5.85,False,False,True,False,False,5283.0,1043.0,1043.0,3976.0,196.0,196.0,1316.0,286.0,286.0,46.68,0.03,0.04,46.56,0.09,0.11,47.27,0.09,0.11,9.45,0.2,0.39,9.34,0.06,0.07,0.51,0.32,0.32,0.66,0.18,0.18
XQR30-PSO-J029-29_mazzucchelli23,PSO J029-29,PSOJ029-29,5.984,False,False,False,False,False,6886.0,1190.0,1190.0,3501.0,292.0,292.0,2063.0,285.0,285.0,46.88,0.02,0.03,46.78,0.07,0.08,47.49,0.07,0.08,9.58,0.16,0.25,9.34,0.07,0.09,0.63,0.3,0.3,1.1,0.27,0.27
XQR30-VST-ATLAS-J029-36_mazzucchelli23,VST-ATLAS J029-36,ATLASJ029-36,6.02,False,False,False,False,False,5808.0,1517.0,1517.0,3753.0,266.0,266.0,1924.0,377.0,377.0,46.73,0.01,0.01,46.38,0.03,0.03,47.1,0.03,0.03,9.39,0.22,0.46,9.2,0.06,0.07,0.4,0.26,0.26,0.6,0.1,0.1
XQR30-VDES-J0224-4711_mazzucchelli23,VDES J0224-4711,VDESJ0224-4711,6.526,False,False,False,False,False,5378.0,207.0,207.0,2863.0,206.0,206.0,1808.0,42.0,42.0,46.61,0.04,0.05,46.82,0.06,0.06,47.54,0.06,0.06,9.29,0.04,0.05,9.19,0.06,0.08,1.36,0.23,0.23,1.72,0.36,0.36
XQR30-PSO-J060-24_mazzucchelli23,PSO J060+24,PSOJ060+24,6.18,False,False,False,False,False,4522.0,625.0,625.0,3270.0,249.0,249.0,633.0,323.0,323.0,46.58,0.04,0.04,46.59,0.08,0.1,47.3,0.08,0.1,9.5,0.31,0.31,9.18,0.07,0.09,0.48,0.52,0.52,1.01,0.27,0.27
XQR30-VDES-J0408-5632_mazzucchelli23,VDES J0408-5632,J0408-5632,6.0345,False,True,False,False,False,6943.0,355.0,355.0,4057.0,323.0,323.0,2411.0,155.0,155.0,46.55,0.03,0.04,46.48,0.08,0.1,47.19,0.08,0.1,9.33,0.07,0.08,9.31,0.08,0.09,0.55,0.15,0.15,0.57,0.16,0.16
XQR30-PSO-J065-26_mazzucchelli23,PSO J065-26,PSOJ065-26,6.1871,True,False,False,False,False,8866.0,2638.0,2638.0,4878.0,836.0,836.0,3895.0,1503.0,1503.0,46.83,0.01,0.01,46.64,0.04,0.04,47.35,0.04,0.04,9.41,0.3,1.6,9.56,0.13,0.18,0.67,0.66,0.66,0.48,0.17,0.17
XQR30-PSO-J065-01_mazzucchelli23,PSO J065+01,PSOJ065+01,5.79,False,True,True,True,False,2389.0,878.0,878.0,5569.0,849.0,849.0,2682.0,368.0,368.0,46.4,0.05,0.05,46.49,0.08,0.1,47.2,0.08,0.1,8.27,0.25,0.67,9.6,0.12,0.17,6.63,5.37,5.37,0.31,0.12,0.12
XQR30-PSO-J089-15_mazzucchelli23,PSO J089-15,PSOJ089-15,5.957,False,True,False,False,False,3345.0,707.0,707.0,4365.0,425.0,425.0,1385.0,164.0,164.0,46.6,0.04,0.05,46.86,0.05,0.06,47.57,0.05,0.06,8.99,0.17,0.29,9.57,0.08,0.1,2.94,1.48,1.48,0.77,0.18,0.18
XQR30-PSO-J108-08_mazzucchelli23,PSO J108+08,PSOJ108+08,5.9485,False,False,False,False,False,8164.0,628.0,628.0,4247.0,346.0,346.0,3109.0,281.0,281.0,46.84,0.04,0.04,46.75,0.1,0.13,47.46,0.1,0.13,9.48,0.09,0.12,9.49,0.08,0.1,0.74,0.26,0.26,0.72,0.24,0.24
XQR30-SDSS-J0842-1218_mazzucchelli23,SDSS J0842+1218,SDSSJ0842+1218,6.0754,True,True,False,False,False,6041.0,270.0,270.0,3854.0,337.0,337.0,2078.0,37.0,37.0,46.58,0.02,0.02,46.54,0.05,0.05,47.25,0.05,0.05,9.3,0.04,0.05,9.3,0.07,0.09,0.68,0.11,0.11,0.68,0.15,0.15
XQR30-DELS-J0923-0402_mazzucchelli23,DELS J0923+0402,J0923+0402,6.633,True,True,False,False,False,5940.0,327.0,327.0,3793.0,799.0,799.0,2682.0,135.0,135.0,46.5,0.06,0.07,46.79,0.07,0.08,47.51,0.07,0.08,9.11,0.07,0.08,9.42,0.16,0.24,1.92,0.45,0.45,0.95,0.44,0.44
XQR30-PSO-J158-14_mazzucchelli23,PSO J158-14,PSOJ158-14,6.0685,True,False,False,False,False,6323.0,1538.0,1538.0,3258.0,212.0,212.0,1767.0,1138.0,1138.0,46.77,0.06,0.06,46.85,0.1,0.13,47.56,0.1,0.13,9.52,0.38,0.38,9.31,0.07,0.09,0.85,1.19,1.19,1.37,0.42,0.42
XQR30-PSO-J183-05_mazzucchelli23,PSO J183+05,PSOJ183+05,6.4386,True,False,False,False,False,7075.0,2010.0,2010.0,4476.0,1282.0,1282.0,3035.0,348.0,348.0,46.69,0.05,0.06,46.49,0.16,0.25,47.2,0.16,0.25,9.29,0.21,0.42,9.41,0.21,0.41,0.62,0.47,0.47,0.48,0.36,0.36
XQR30-PSO-J183-12_mazzucchelli23,PSO J183-12,PSOJ183-12,5.86,False,True,True,False,False,6196.0,517.0,517.0,3203.0,517.0,517.0,3031.0,194.0,194.0,46.81,0.02,0.02,46.7,0.06,0.07,47.41,0.06,0.07,9.24,0.08,0.1,9.22,0.12,0.17,1.13,0.29,0.29,1.19,0.43,0.43
XQR30-PSO-J217-16_mazzucchelli23,PSO J217-16,PSOJ217-16,6.1498,True,False,False,False,False,10292.0,909.0,909.0,2772.0,741.0,741.0,3243.0,1394.0,1394.0,46.6,0.04,0.04,46.55,0.08,0.1,47.26,0.08,0.1,9.54,0.27,0.92,9.02,0.19,0.34,0.41,0.37,0.37,1.34,0.79,0.79
XQR30-PSO-J217-07_mazzucchelli23,PSO J217-07,PSOJ217-07,6.1663,False,True,False,False,False,9174.0,2402.0,2402.0,2607.0,533.0,533.0,3260.0,2169.0,2169.0,46.46,0.07,0.08,46.42,0.15,0.23,47.13,0.15,0.23,9.35,0.39,0.39,8.9,0.16,0.27,0.46,0.69,0.69,1.3,0.8,0.8
XQR30-PSO-J231-20_mazzucchelli23,PSO J231-20,PSOJ231-20,6.5869,True,True,False,False,False,6470.0,241.0,241.0,4644.0,179.0,179.0,2528.0,116.0,116.0,46.74,0.01,0.01,46.65,0.04,0.04,47.36,0.04,0.04,9.34,0.05,0.06,9.52,0.04,0.04,0.79,0.12,0.12,0.53,0.07,0.07
XQR30-DELS-J1535-1943_mazzucchelli23,DELS J1535+1943,J1535+1943,6.37,True,False,False,False,False,6268.0,654.0,654.0,5640.0,236.0,236.0,2353.0,271.0,271.0,46.51,0.11,0.15,46.88,0.1,0.13,47.6,0.1,0.13,9.23,0.13,0.18,9.8,0.06,0.07,1.78,0.77,0.77,0.48,0.15,0.15
XQR30-PSO-J239-07_mazzucchelli23,PSO J239-07,PSOJ239-07,6.1102,True,True,False,False,False,4863.0,185.0,185.0,3947.0,79.0,79.0,537.0,63.0,63.0,46.72,0.05,0.06,46.74,0.1,0.13,47.46,0.1,0.13,9.68,0.1,0.13,9.42,0.05,0.06,0.46,0.17,0.17,0.83,0.24,0.24
XQR30-PSO-J242-12_mazzucchelli23,PSO J242-12,PSOJ242-12,5.83,False,False,True,False,False,6791.0,1672.0,1672.0,4892.0,495.0,495.0,1152.0,439.0,439.0,46.48,0.07,0.08,46.55,0.12,0.17,47.26,0.12,0.17,9.61,0.28,1.05,9.51,0.1,0.13,0.34,0.33,0.33,0.43,0.18,0.18
XQR30-PSO-J308-27_mazzucchelli23,PSO J308-27,PSOJ308-27,5.7985,False,False,False,False,False,5284.0,148.0,148.0,2852.0,131.0,131.0,535.0,115.0,115.0,46.7,0.02,0.02,46.64,0.06,0.07,47.35,0.06,0.07,9.74,0.16,0.25,9.09,0.05,0.05,0.32,0.14,0.14,1.4,0.26,0.26
XQR30-PSO-J323-12_mazzucchelli23,PSO J323+12,PSOJ323+12,6.5872,True,False,False,False,False,2828.0,140.0,140.0,2450.0,284.0,284.0,326.0,27.0,27.0,46.65,0.02,0.02,46.56,0.06,0.07,47.27,0.06,0.07,9.26,0.08,0.09,8.92,0.09,0.12,0.78,0.19,0.19,1.73,0.5,0.5
XQR30-VDES-J2211-3206_mazzucchelli23,VDES J2211-3206,VIK J2211-3206,6.3394,True,True,False,False,False,5114.0,224.0,224.0,3448.0,729.0,729.0,1811.0,97.0,97.0,46.66,0.02,0.02,46.73,0.04,0.05,47.44,0.04,0.05,9.27,0.06,0.07,9.3,0.15,0.24,1.15,0.2,0.2,1.06,0.47,0.47
XQR30-VDES-J2250-5015_mazzucchelli23,VDES J2250-5015,VDES J2250-5051,5.9767,False,True,False,False,False,16618.0,11883.0,11883.0,5212.0,4022.0,4022.0,3001.0,9685.0,9685.0,46.58,0.04,0.05,46.73,0.07,0.08,47.44,0.07,0.08,9.99,0.88,0.88,9.66,0.41,0.41,0.22,1.45,1.45,0.46,0.72,0.72
XQR30-SDSS-J2310-1855_mazzucchelli23,SDSS J2310+1855,SDSSJ2310+18,6.0031,True,True,False,False,False,8576.0,2362.0,2362.0,5156.0,252.0,252.0,3224.0,1504.0,1504.0,46.92,0.03,0.04,46.78,0.1,0.13,47.49,0.1,0.13,9.55,0.32,0.32,9.67,0.06,0.08,0.67,0.75,0.75,0.51,0.15,0.15
XQR30-PSO-J359-06_mazzucchelli23,PSO J359-06,PSOJ359-06,6.1722,True,False,False,False,False,3257.0,142.0,142.0,2653.0,213.0,213.0,554.0,39.0,39.0,46.55,0.07,0.08,46.59,0.13,0.19,47.3,0.13,0.19,9.23,0.07,0.09,9.0,0.09,0.12,0.9,0.36,0.36,1.53,0.65,0.65
XQR30-SDSS-J0100-2802_mazzucchelli23,SDSS J0100+2802,SDSSJ0100+28,6.3268,True,False,False,False,False,6647.0,1971.0,1971.0,5742.0,1705.0,1705.0,2496.0,316.0,316.0,47.58,0.01,0.01,47.44,0.04,0.04,48.15,0.04,0.04,9.82,0.22,0.45,10.1,0.2,0.1,2.94,1.48,1.48,0.77,0.52,0.52
XQR30-VST-ATLAS-J025-33_mazzucchelli23,VST-ATLAS J025-33,ATLASJ025-33,6.3373,True,False,False,False,False,6408.0,962.0,962.0,3302.0,768.0,768.0,2461.0,251.0,251.0,47.03,0.01,0.01,46.95,0.02,0.02,47.66,0.02,0.02,9.51,0.13,0.2,9.37,0.17,0.1,0.88,0.73,0.73,0.21,0.7,0.7
XQR30-ULAS-J0148-0600_mazzucchelli23,ULAS J0148+0600,ULASJ0148+06,5.977,False,False,False,False,False,5811.0,368.0,368.0,4741.0,473.0,473.0,2906.0,129.0,129.0,46.85,0.01,0.01,46.74,0.04,0.04,47.46,0.04,0.04,9.23,0.06,0.07,9.58,0.08,0.06,0.7,0.26,0.26,0.68,0.13,0.13
XQR30-PSO-J036-03_mazzucchelli23,PSO J036+03,PSOJ036+03,6.5405,True,False,False,False,False,10131.0,329.0,329.0,3872.0,367.0,367.0,3727.0,135.0,135.0,46.82,0.02,0.02,46.79,0.04,0.05,47.5,0.04,0.05,9.55,0.04,0.05,9.43,0.08,0.07,0.51,0.32,0.32,0.66,0.2,0.2
XQR30-WISEA-J0439-1634_mazzucchelli23,WISEA J0439+1634,QSOJ0439+1634,6.5188,True,False,False,False,True,5352.0,110.0,110.0,3329.0,295.0,295.0,1773.0,58.0,58.0,47.51,0.02,0.02,47.62,0.03,0.03,48.33,0.03,0.03,9.77,0.03,0.04,9.72,0.07,0.09,0.63,0.3,0.3,1.1,0.62,0.62
XQR30-SDSS-J0818-1722_mazzucchelli23,SDSS J0818+1722,SDSSJ0818+17,5.96,False,False,False,False,False,9869.0,805.0,805.0,5477.0,334.0,334.0,3727.0,329.0,329.0,46.86,0.04,0.04,46.85,0.08,0.1,47.56,0.08,0.1,9.55,0.1,0.12,9.76,0.06,0.07,0.4,0.26,0.26,0.6,0.13,0.13
XQR30-SDSS-J0836-0054_mazzucchelli23,SDSS J0836+0054,SDSSJ0836+00,5.773,False,False,False,False,False,6908.0,196.0,196.0,3793.0,691.0,691.0,573.0,77.0,77.0,47.06,0.0,0.0,47.14,0.0,0.0,47.85,0.0,0.0,10.15,0.11,0.14,9.59,0.13,0.08,1.36,0.23,0.23,1.72,0.51,0.51
XQR30-SDSS-J0927-2001_mazzucchelli23,SDSS J0927+2001,SDSSJ0927+20,5.7722,True,False,False,False,False,5480.0,732.0,732.0,3405.0,243.0,243.0,1785.0,166.0,166.0,46.55,0.05,0.06,46.37,0.15,0.24,47.08,0.15,0.24,9.28,0.12,0.18,9.11,0.1,0.09,0.48,0.52,0.52,1.01,0.36,0.36
XQR30-SDSS-J1030-0524_mazzucchelli23,SDSS J1030+0524,SDSSJ1030+05,6.304,False,False,False,False,False,5002.0,391.0,391.0,3578.0,336.0,336.0,1092.0,92.0,92.0,46.64,0.05,0.05,46.61,0.11,0.14,47.32,0.11,0.14,9.45,0.09,0.12,9.27,0.09,0.09,0.55,0.15,0.15,0.57,0.31,0.31
XQR30-SDSS-J1306-0356_mazzucchelli23,SDSS J1306+0356,SDSSJ1306+03,6.033,True,False,False,False,False,4567.0,688.0,688.0,3825.0,449.0,449.0,769.0,189.0,189.0,46.66,0.02,0.02,46.53,0.05,0.06,47.24,0.05,0.06,9.5,0.2,0.37,9.29,0.09,0.18,0.67,0.66,0.66,0.48,0.19,0.19
