measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,redshift_err_plus,redshift_err_minus,redshift_kind,source_table,object_class,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,selection_criteria,source_caveat_tags,published_aliases,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_statistical_uncertainty_kind,log_mbh_systematic_dex,mbh_systematic_kind,broad_line_species,broad_fwhm_km_s,broad_fwhm_err_plus,broad_fwhm_err_minus,log_line_luminosity,line_luminosity_1e42,line_luminosity_err_plus,line_luminosity_err_minus,f444w_mag,f444w_err,muv,muv_err_plus,muv_err_minus,muv_censoring,beta_opt,beta_opt_err,beta_uv,beta_uv_err,lrd_flag,lensing_status,lensing_mu,lensing_provenance,notes
NX21958_zhuang25,NX21958,zhuang25_nexus_wfss,268.426066,65.26783,4.044,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,lrd;compact;red,NEXUS NIRCam/WFSS BLAGN selection flag 1; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,6.94,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,1190.0,285.0,285.0,42.45,,,,25.47,0.03,,,,,,,,,True,unlensed,,,BLAGN (LRD)
NX5732_zhuang25,NX5732,zhuang25_nexus_wfss,268.541898,65.138808,4.423,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,lrd;compact;red,NEXUS NIRCam/WFSS BLAGN selection flag 12; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,8.03,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,2751.0,256.0,256.0,43.17,,,,23.67,0.01,,,,,,,,,True,unlensed,,,BLAGN (LRD)
NX21246_zhuang25,NX21246,zhuang25_nexus_wfss,268.511349,65.270607,4.465,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,lrd;compact;red,NEXUS NIRCam/WFSS BLAGN selection flag 12; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,8.07,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,2999.0,354.0,354.0,43.09,,,,22.49,0.01,,,,,,,,,True,unlensed,,,BLAGN (LRD)
NX15499_zhuang25,NX15499,zhuang25_nexus_wfss,268.486881,65.187833,4.513,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,lrd;compact;red,NEXUS NIRCam/WFSS BLAGN selection flag 2; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,7.13,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,791.0,54.0,54.0,43.64,,,,22.21,0.01,,,,,,,,,True,unlensed,,,BLAGN (LRD)
NX23770_zhuang25,NX23770,zhuang25_nexus_wfss,268.542071,65.260276,4.516,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,,NEXUS NIRCam/WFSS BLAGN selection flag 12; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,7.44,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,1793.0,296.0,296.0,42.74,,,,23.83,0.01,,,,,,,,,False,unlensed,,,BLAGN
NX23192_zhuang25,NX23192,zhuang25_nexus_wfss,268.522548,65.262645,4.522,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,lrd;compact;red,NEXUS NIRCam/WFSS BLAGN selection flag 12; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,8.37,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,3447.0,158.0,158.0,43.48,,,,23.43,0.01,,,,,,,,,True,unlensed,,,BLAGN (LRD)
NX26913_zhuang25,NX26913,zhuang25_nexus_wfss,268.666877,65.243642,4.595,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,,NEXUS NIRCam/WFSS BLAGN selection flag 12; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,8.8,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,3105.0,35.0,35.0,44.58,,,,19.67,0.01,,,,,,,,,False,unlensed,,,BLAGN (QSO)
NX10835_zhuang25,NX10835,zhuang25_nexus_wfss,268.437675,65.167485,4.649,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,lrd;compact;red,NEXUS NIRCam/WFSS BLAGN selection flag 1; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,nexus-obs3_5105_10835,7.78,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,2250.0,472.0,472.0,43.03,,,,25.08,0.02,,,,,,,,,True,unlensed,,,BLAGN (LRD)
NX26545_zhuang25,NX26545,zhuang25_nexus_wfss,268.520329,65.24647,4.823,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,,NEXUS NIRCam/WFSS BLAGN selection flag 12; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,6.94,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,1099.0,190.0,190.0,42.61,,,,25.33,0.03,,,,,,,,,False,unlensed,,,BLAGN
NX32030_zhuang25,NX32030,zhuang25_nexus_wfss,268.639098,65.216381,5.063,,,spec,"Table 1, z>=4 subset",broad_line_agn,secure,source-classified JWST/NIRCam WFSS broad-line AGN,type1_broad_line,broad_halpha,,NEXUS NIRCam/WFSS BLAGN selection flag 1; atlas z>=4 cut,single_epoch_virial_mass;source_reports_typical_0.5_dex_systematic,,6.28,,,not_published,0.5,source-stated typical single-epoch virial mass uncertainty,Halpha,652.0,122.0,122.0,42.19,,,,25.76,0.05,,,,,,,,,False,unlensed,,,BLAGN
