batch_id,evidence_family,source_key,status,admission_module,object_class,object_classes,notes
v3-ren,host_selected_broad_halpha_candidates,ren25_alpine_cristal_jwst_blagn_candidates,v3_dataset_layer,src.internal.compatibility.v7_ren,broad_line_agn,broad_line_agn,Seven nuclei in six host systems; one probable primary row.
v3-uhz1-xray,xray_agn_candidate,uhz1_xray_evidence_history,v3_dataset_layer,src.internal.compatibility.v7_uhz1,xray_agn_candidate,xray_agn_candidate,Two measurement versions of one UHZ1 object retain the original candidate claim and current disputed reanalysis; no canonical numeric mass inferred.
v3-jades-narrow-line,narrow_line_and_high_ionization_agn_candidates,scholtz25_jades_narrow_line_agn,v3_dataset_layer,src.internal.compatibility.v7_scholtz,narrow_line_agn_candidate,broad_line_agn;narrow_line_agn_candidate,All 21 tabulated z>=4 candidates; three source-tentative; seven high-ionization fluxes; JADES 8083 linked to the existing Type-1 object; no numeric BH masses.
v2-uncover-blagn,broad_balmer_line,greene24_uncover_blagn,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,Nine unique lensed broad-line AGN with canonical numerical virial masses; the three A2744-QSO1 images count as one physical object.
v2-kocevski-lrd,broad_balmer_line,kocevski25_lrd_blagn,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,Six z>=4 canonical-mass BLAGN absent from the existing Taylor ingestion.
v2-skyfire,broad_balmer_line,skyfire26_ceers_blagn,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,Twenty-two z>=4 Table 3 sources with published numerical black-hole masses.
v2-ceers1019,broad_balmer_line,larson23_ceers1019,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,Individual JWST broad-Hbeta AGN at z=8.679.
v2-j0647,broad_balmer_line,killi24_j0647_lrd_blagn,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,Individual JWST broad-Halpha LRD at z=4.5319.
v2-zs7,broad_balmer_line,ubler24_zs7_offset_blagn,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,Spatially offset Type-1 nucleus in the merging ZS7 system; only the directly mass-measured BLR nucleus is admitted.
v3-gnz11,high_ionization_and_broad_uv_lines,maiolino24_gnz11_agn,v3_dataset_layer,src.internal.canonical_mass_additions,high_ionization_line_candidate,high_ionization_line_candidate,GN-z11 expands v3 beyond the Balmer-BLAGN object type and is excluded from v2.
v3-gn42437,very_high_ionization_line,chisholm24_gn42437_nev,v3_dataset_layer,src.internal.heterogeneous_v3_additions,high_ionization_line_candidate,high_ionization_line_candidate,One new JWST [Ne V] narrow-line object; indirect mass range is observable-only.
v3-tang-highion,high_ionization_line_candidates,tang25_high_ionization,v3_dataset_layer,src.internal.heterogeneous_v3_additions,high_ionization_line_candidate,high_ionization_line_candidate,Three new JWST N V/[Ne IV]/[Ne V] candidates after excluding existing catalogue objects.
