provenance_id,source_key,source_role,publication_status,evidence_status,source_paper_version,source_url,source_doi,dataset_doi,source_archive_url,source_archive_sha256,catalogue_extraction_date,provenance_verification_date,status_review_due,data_use,catalogue_value_policy,notes
juodzbalis25_primary,juodzbalis25_jades_blagn,primary_measurement,peer_reviewed,mixed,"MNRAS 546 stag086 (2026); arXiv:2504.03551v2",https://doi.org/10.1093/mnras/stag086,10.1093/mnras/stag086,not_available,https://arxiv.org/e-print/2504.03551v2,0347b4942f1a3cb417d626bd5ba76ab0af25e59ab8013b3ed4ac0a61a04e0efd,not_recorded_in_frozen_v1_source_layer,2026-08-27,not_applicable,black-hole and host measurements,supplement_only_frozen_rows_unchanged,Current exact source record verified after the frozen v1 extraction; four tentative H-beta rows remain explicitly tentative
taylor24_primary,taylor24_ceers_rubies_blagn,primary_measurement,peer_reviewed,secure,"ApJ 986 165 (2025); arXiv:2409.06772v2",https://doi.org/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,not_available,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,2026-08-27,not_applicable,broad-line AGN measurements,frozen_catalogue_values_unchanged,Published primary measurement source
matthee23_primary,matthee23_eiger_fresco_blagn,primary_measurement,peer_reviewed,secure,"ApJ 963 129 (2024); arXiv:2306.05448v3",https://doi.org/10.3847/1538-4357/ad2345,10.3847/1538-4357/ad2345,not_available,https://arxiv.org/e-print/2306.05448v3,b3e6f5385e694d92a7456f81eb123a305468baf743cebc7aeea820befb9b1190,2026-08-22,2026-08-27,not_applicable,broad-line AGN measurements,frozen_catalogue_values_unchanged,Published primary measurement source
lin24_primary,lin24_aspire_blagn,primary_measurement,peer_reviewed,secure,"ApJ 974 147 (2024); arXiv:2407.17570v1",https://doi.org/10.3847/1538-4357/ad6565,10.3847/1538-4357/ad6565,not_available,https://arxiv.org/e-print/2407.17570v1,fc1c4d96e4a568b09b3caefa0fdde1c7fabe8decad71fb6423ff37c912b024cd,2026-08-22,2026-08-27,not_applicable,broad-line AGN measurements,frozen_catalogue_values_unchanged,Published primary measurement source
harikane23_primary,harikane23_nirspec_blagn,primary_measurement,peer_reviewed,secure,"ApJ 959 39 (2023); arXiv:2303.11946v3",https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,not_available,https://arxiv.org/e-print/2303.11946v3,02c2951b4594234f8cc015fc811f1ed438d35997249138af4d756d02d44ca4b4,2026-08-23,2026-08-27,not_applicable,broad-line AGN measurements,frozen_catalogue_values_unchanged,Published primary measurement source
davis26_primary,davis26_thrils_blagn,primary_measurement,preprint,secure,arXiv:2602.23310v1 submitted to ApJ,https://arxiv.org/abs/2602.23310v1,10.48550/arXiv.2602.23310,not_available,https://arxiv.org/e-print/2602.23310v1,13274268d718138119dbbb818d58e3f5255ce0a34f80f9d8a7a0d0013f16153b,2026-08-25,2026-08-27,2026-11-27,broad-line AGN measurements,frozen_catalogue_values_unchanged,Publication status rechecked against the official arXiv record
hutchison25_coordinates,davis26_thrils_blagn,coordinate_source,preprint,not_applicable,arXiv:2512.12509v1 submitted to ApJ,https://arxiv.org/abs/2512.12509v1,10.48550/arXiv.2512.12509,not_available,https://arxiv.org/e-print/2512.12509v1,584a56f5867e816c6220ea52f55fc0411f2fc745544ecccfb6ea4ad42c445fdc,2026-08-25,2026-08-27,2026-11-27,THRILS coordinates and programme redshifts,frozen_catalogue_values_unchanged,Supporting coordinate source only; not the black-hole measurement source
ren25_primary,ren25_alpine_cristal_jwst_blagn_candidates,primary_measurement,peer_reviewed,mixed,"MNRAS 544 211-233 (2025); arXiv:2509.02027v2",https://doi.org/10.1093/mnras/staf1709,10.1093/mnras/staf1709,not_available,https://arxiv.org/e-print/2509.02027v2,c528c375fda9362433184cb35775a5f4ca107014f4b1c2f6536d7f15d4f85cca,2026-08-25,2026-08-27,not_applicable,Type-1 AGN candidate measurements,frozen_catalogue_values_unchanged,One probable and six candidate nuclei retain their evidence tiers
mazzucchelli23_primary,xqr30_mazzucchelli23,primary_measurement,peer_reviewed,secure,"A&A 676 A71 (2023); arXiv:2306.16474v1",https://doi.org/10.1051/0004-6361/202346317,10.1051/0004-6361/202346317,not_available,https://arxiv.org/e-print/2306.16474v1,412055cec92c368f711605822d806c949816695a451efee867904d2171fee53f,2026-08-26,2026-08-27,not_applicable,XQR-30 black-hole measurements,frozen_catalogue_values_unchanged,Published primary measurement source
dodorico23_coordinates,xqr30_mazzucchelli23,coordinate_source,peer_reviewed,not_applicable,"MNRAS 523 1399-1420 (2023); arXiv:2305.05053v1",https://doi.org/10.1093/mnras/stad1468,10.1093/mnras/stad1468,not_available,https://arxiv.org/e-print/2305.05053v1,1cf315f5fd4cd9f0edebb840c254dcd6bee26e2a061ce9fc9ff5bc8f344d7c42,2026-08-26,2026-08-27,not_applicable,XQR-30 coordinates and canonical aliases,frozen_catalogue_values_unchanged,Supporting coordinate source only
shen19_primary,shen19_gnirs50,primary_measurement,peer_reviewed,secure,"ApJ 873 35 (2019); arXiv:1809.05584v1",https://doi.org/10.3847/1538-4357/ab03d9,10.3847/1538-4357/ab03d9,10.26093/cds/vizier.18730035,https://arxiv.org/e-print/1809.05584v1,2b4376dc136873c4b8db0e5016568b9b1d4692042f6bb035e61fa8bd76b980ef,2026-08-26,2026-08-27,not_applicable,GNIRS quasar measurements,frozen_catalogue_values_unchanged,Paper DOI and CDS VizieR dataset DOI are recorded separately
bogdan23_primary,uhz1_xray_evidence_history,primary_measurement,peer_reviewed,candidate,"Nature Astronomy 8 126-133 (2024); arXiv:2305.15458v2",https://doi.org/10.1038/s41550-023-02111-9,10.1038/s41550-023-02111-9,not_available,https://arxiv.org/e-print/2305.15458v2,d1446d873c81c0ee83f7cc1c0648d85f8a93b0967eb5d14ef7b46d0564ab2e6c,2026-08-27,2026-08-27,not_applicable,original UHZ1 X-ray interpretation,frozen_catalogue_values_unchanged,Original candidate analysis retained as evidence history
zou26_reanalysis,uhz1_xray_evidence_history,reanalysis,preprint,disputed,arXiv:2603.24893v1 submitted,https://arxiv.org/abs/2603.24893v1,10.48550/arXiv.2603.24893,not_available,https://arxiv.org/e-print/2603.24893v1,2690ce8d6345a097ebc642232205d0337eabe76f582c661db815bff4912f77d4,2026-08-27,2026-08-27,2026-11-27,full-data UHZ1 X-ray reanalysis,frozen_catalogue_values_unchanged,Publication status rechecked; disputed evidence is retained and preferred by current policy
goulding23_context,uhz1_xray_evidence_history,context_source,peer_reviewed,not_applicable,"ApJL 955 L24 (2023); arXiv:2308.02750v3",https://doi.org/10.3847/2041-8213/acf7c5,10.3847/2041-8213/acf7c5,not_available,https://arxiv.org/e-print/2308.02750v3,73628a4c4632871e6b3888b61f2e6cedf28ead1d1af7f45a20cac20f8988b729,2026-08-27,2026-08-27,not_applicable,UHZ1 spectroscopic redshift and host context,frozen_catalogue_values_unchanged,Supporting context source only
scholtz25_primary,scholtz25_jades_narrow_line_agn,primary_measurement,peer_reviewed,candidate,"A&A 697 A175 (2025); arXiv:2311.18731v4",https://doi.org/10.1051/0004-6361/202348804,10.1051/0004-6361/202348804,not_available,https://arxiv.org/e-print/2311.18731v4,1754f005be9e77cc619e52c42b9d47f27fa66fd4d0e80cfd0406afdeca463624,2026-08-27,2026-08-27,not_applicable,narrow-line and high-ionization candidate measurements,frozen_catalogue_values_unchanged,Source-native 41-row table and 21-row z>=4 subset are audited
jades_dr3_coordinates,scholtz25_jades_narrow_line_agn,coordinate_source,data_release,not_applicable,JADES DR3 GOODS-S prism catalogue v3.1.3,https://archive.stsci.edu/hlsp/jades,not_applicable,not_available,https://archive.stsci.edu/hlsp/jades,e30d7cc9be5c997e73b47023b03df79658e8f797407ea9361295dd7d488b56ba,2026-08-27,2026-08-27,not_applicable,JADES target coordinates,frozen_catalogue_values_unchanged,Official MAST high-level science product; checksum identifies the downloaded v3.1.3 catalogue used for coordinates
