scope,sample,scenario,n_objects,above_unity,q25,median,q75,p16_above_unity,probability_ge_095,top_five
catalogue,primary,reference,223,8,0.4843957462147544,0.5713816353784642,0.6735871475011471,6.0,5.0,UNCOVER-20466;COSMOS3D-13852;RUBIES-EGS-55604;CEERS-1019;GN-38509
catalogue,primary,seed_1e3,223,3,0.3877974034674445,0.4652621091108416,0.5450568743324562,,,UNCOVER-20466;COSMOS3D-13852;RUBIES-EGS-55604;CEERS-1019;GN-38509
catalogue,primary,seed_1e5,223,0,0.17841845992723174,0.24078198844702547,0.29918213825232476,,,RUBIES-EGS-55604;UNCOVER-20466;COSMOS3D-13852;GN-38509;J0910_2028_12910
catalogue,primary,seed_z20,223,18,0.519771667056126,0.6193032774165126,0.7363754295607532,,,UNCOVER-20466;COSMOS3D-13852;CEERS-1019;RUBIES-EGS-55604;GN-38509
catalogue,primary,nonspinning,223,0,0.2644517625732155,0.31194097338503574,0.3677392086848946,,,UNCOVER-20466;COSMOS3D-13852;RUBIES-EGS-55604;CEERS-1019;GN-38509
catalogue,exploratory,reference,237,14,0.48758132134723814,0.5741524309450758,0.6796812159467045,10.0,8.0,UNCOVER-20466;GN-z11;GS-20057765;COSMOS3D-13852;RUBIES-EGS-55604
catalogue,exploratory,seed_1e3,237,5,0.3890735726393427,0.46622904166968565,0.5558314743447605,,,UNCOVER-20466;COSMOS3D-13852;GS-20057765;GN-z11;RUBIES-EGS-55604
catalogue,exploratory,seed_1e5,237,0,0.17767476734110793,0.23956314988664762,0.303145654999855,,,RUBIES-EGS-55604;UNCOVER-20466;COSMOS3D-13852;GS-20057765;GN-38509
catalogue,exploratory,seed_z20,237,24,0.5217974669462924,0.6202848565659748,0.7472856778742435,,,GN-z11;UNCOVER-20466;GS-20057765;COSMOS3D-13852;CEERS-1019
catalogue,exploratory,nonspinning,237,0,0.2661909003860014,0.3134536658003726,0.3710662138336041,,,UNCOVER-20466;GN-z11;GS-20057765;COSMOS3D-13852;RUBIES-EGS-55604
publication,primary,reference,220,8,0.4853794250271827,0.57276703316177,0.6726774260643609,6.0,5.0,UNCOVER-20466;COSMOS3D-13852;RUBIES-EGS-55604;CEERS-1019;GN-38509
publication,primary,seed_1e3,220,3,0.3884354880533936,0.4657455753902636,0.5447817829829739,,,UNCOVER-20466;COSMOS3D-13852;RUBIES-EGS-55604;CEERS-1019;GN-38509
publication,primary,seed_1e5,220,0,0.17879030622029363,0.2418360294784559,0.2985471138676715,,,RUBIES-EGS-55604;UNCOVER-20466;COSMOS3D-13852;GN-38509;J0910_2028_12910
publication,primary,seed_z20,220,18,0.5203283744325221,0.6197940669912436,0.735595954204103,,,UNCOVER-20466;COSMOS3D-13852;CEERS-1019;RUBIES-EGS-55604;GN-38509
publication,primary,nonspinning,220,0,0.2649887937048581,0.3126973195927042,0.3672425539572495,,,UNCOVER-20466;COSMOS3D-13852;RUBIES-EGS-55604;CEERS-1019;GN-38509
publication,exploratory,reference,234,14,0.4877661633670427,0.5742022433064524,0.6791240804314784,10.0,8.0,UNCOVER-20466;GN-z11;GS-20057765;COSMOS3D-13852;RUBIES-EGS-55604
publication,exploratory,seed_1e3,234,5,0.3894822856874167,0.46658658804498343,0.5557312930928621,,,UNCOVER-20466;COSMOS3D-13852;GS-20057765;GN-z11;RUBIES-EGS-55604
publication,exploratory,seed_1e5,234,0,0.17774524168318448,0.24017256916683655,0.30257920556438167,,,RUBIES-EGS-55604;UNCOVER-20466;COSMOS3D-13852;GS-20057765;GN-38509
publication,exploratory,seed_z20,234,24,0.521840759684437,0.6211907526847233,0.7471987162200815,,,GN-z11;UNCOVER-20466;GS-20057765;COSMOS3D-13852;CEERS-1019
publication,exploratory,nonspinning,234,0,0.26629181332406265,0.3134808604379534,0.3707620504090799,,,UNCOVER-20466;GN-z11;GS-20057765;COSMOS3D-13852;RUBIES-EGS-55604
