source_key,label,citation,mass_summary,channel_summary,caveat_summary,n_measurements,n_growth_eligible_measurements,selection_channels,source_caveat_tags,source_url,n_publication_primary_preferred
baccus26_nirspec_blagn,Baccus,baccus2026,Balmer,NIRSpec broad lines,Frozen preprint masses; calibration,49,49,broad_halpha,canonical_numeric_mass_only,https://doi.org/10.3847/1538-4357/ae7de7,48
chavezortiz26_ghz2,Chavez Ortiz,chavezortiz2026,Context,UV/optical diagnostics,Model-dependent mass,1,0,high_ionization_line;narrow_line_diagnostics;photometric_sed,approximately_one_dex_systematic;bh_mass_assumes_eddington_ratio;model_dependent_agn_fraction,https://arxiv.org/abs/2511.03035v2,0
chisholm24_gn42437_nev,Chisholm,chisholm2024,None,High-ionization lines,No canonical mass,1,0,high_ionization_line;narrow_line_diagnostics,mass_estimates_are_indirect_model_dependent_context_only;no_broad_line,https://doi.org/10.1093/mnras/stae2199,0
davis26_thrils_blagn,Davis / THRILS,davis2026,Balmer,EELG-selected spectroscopy,Virial calibration,6,6,deep_g395m_broad_halpha;photometric_eelg_parent,catastrophic_photometric_redshift;first_spectroscopic_targeting_reported;formal_mbh_errors_exclude_virial_systematic;fwhm_not_tabulated;narrow_halpha_dominated;previous_ceers_spectrum_no_reported_broad_detection;previous_rubies_spectrum_no_reported_broad_detection;source_extreme_eelg_row_assignments_internally_inconsistent,https://arxiv.org/abs/2602.23310v1,6
fei26_glimpse_blagn,Fei / GLIMPSE,fei2026,Balmer,Lensed broad lines,Lensing corrections,10,10,broad_halpha,canonical_numeric_mass_only,https://doi.org/10.3847/1538-4357/ae6248,8
greene24_uncover_blagn,Greene / UNCOVER,greene2024,Balmer,Lensed broad lines,Lens model; BLR interpretation,9,9,broad_halpha;broad_hbeta,canonical_numeric_mass_only,https://doi.org/10.3847/1538-4357/ad1e5f,9
harikane23_nirspec_blagn,Harikane,harikane2023,Balmer,NIRSpec broad lines,Local virial calibration,10,10,broad_halpha,broad_civ_and_tentative_heii;compact_source;dual_agn_candidate;dust_extinction_corrected;host_mass_upper_limit;narrow_oiii_outflow_component;red_agn;source_does_not_state_numeric_virial_systematic;virial_calibration_at_z0,https://doi.org/10.3847/1538-4357/ad029e,5
juodzbalis25_jades_blagn,Juodzbalis / JADES,juodzbalis2026,Balmer,Broad Balmer lines,Extinction; calibration,23,23,broad_balmer_line,,https://arxiv.org/abs/2504.03551,17
killi24_j0647_lrd_blagn,Killi,killi2024,Balmer,Broad Halpha,Linear mass-error conversion,1,1,broad_halpha,canonical_numeric_mass_only,https://doi.org/10.1051/0004-6361/202348857,1
kocevski25_lrd_blagn,Kocevski / LRDs,kocevski2025,Balmer,Broad Balmer lines,Dust correction; calibration,6,6,broad_halpha;broad_hbeta,canonical_numeric_mass_only,https://doi.org/10.3847/1538-4357/adbc7d,6
larson23_ceers1019,Larson / CEERS-1019,larson2023,Balmer,Broad Hbeta,Broad-component significance,1,1,broad_hbeta,canonical_numeric_mass_only,https://doi.org/10.3847/2041-8213/ace619,1
lin24_aspire_blagn,Lin / ASPIRE,lin2024,Balmer,Broad Halpha,Virial calibration,16,16,broad_halpha,absorption_interpretation_uncertain;blueshifted_halpha_absorption_266_km_s;blueshifted_halpha_absorption_357_km_s;blueshifted_halpha_absorption_586_km_s;broad_fwhm_near_1000_km_s_selection_boundary;formal_mbh_errors_exclude_virial_systematic;narrow_halpha_unresolved;nearby_companions_and_overdensity;nominal_mass_and_lbol_uncorrected_for_dust;total_luminosity_reported_without_absorption;two_broad_components_total_profile_used_for_mass,https://doi.org/10.3847/1538-4357/ad6565,16
lin25_cosmos3d_blagn,Lin / COSMOS-3D,lin2025,Balmer,NIRCam grism broad lines,Possible scattering bias,13,13,broad_halpha;broad_hbeta,possible_1_to_2_dex_scattering_bias_not_applied;single_epoch_virial_mass,https://doi.org/10.3847/1538-4357/ae1b9b,13
lyu24_smiles_miri_agn,Lyu / SMILES,lyu2024,None,MIRI SED selection,SED-dependent AGN identification,19,0,photometric_sed,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,https://doi.org/10.3847/1538-4357/ad3643,0
maiolino24_gnz11_agn,Maiolino / GN-z11,maiolino2024,UV,UV lines,UV estimator outside primary,1,1,broad_uv_line;high_ionization_line,canonical_numeric_mass_only,https://doi.org/10.1038/s41586-024-07052-5,0
mascia26_compact_blue_ble,Mascia,mascia2026,None,Compact blue broad emitters,No canonical mass,8,0,broad_halpha,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,https://arxiv.org/abs/2608.25021v1,0
matthee23_eiger_fresco_blagn,Matthee / EIGER-FRESCO,matthee2024,Balmer,Broad Halpha,Dust; virial calibration,20,20,broad_halpha,blueshifted_absorption_340_km_s;complex_morphology_five_exponential_components;crossmatch_GS-204851;flat_optical_continuum_exception_to_sample_trend;foreground_trace_contamination_red_wing_excluded;formal_mbh_errors_exclude_virial_systematic;halpha_absorption_fit;narrow_flux_absorption_degenerate;nominal_mass_uncorrected_for_dust;redshifted_absorption_50_km_s,https://doi.org/10.3847/1538-4357/ad2345,19
mazzolari24_ceers_nlagn,Mazzolari,mazzolari2024,None,Narrow-line diagnostics,Star-formation overlap,25,0,high_ionization_line;narrow_line_diagnostics,coordinates_not_in_source_table;diagnostic_boundaries_overlap_extreme_star_formation;no_canonical_bh_mass;source_tentative,https://arxiv.org/abs/2408.15615v3,0
meow26_miri_agn,Leung / MEOW,leung2026,None,MIRI SED selection,SED-dependent AGN fraction,12,0,photometric_sed,no_canonical_bh_mass;sed_decomposition_candidate;some_fagn_values_are_composite,https://arxiv.org/abs/2607.02666v1,0
naidu26_mom_bhstar1,Naidu / MoM-BH*-1,naidu2026,Context,Broad Hbeta / SED,Scattering; stellar alternative,1,0,broad_hbeta;photometric_sed,alternative_supermassive_star_interpretation;mass_may_be_overestimated_orders_of_magnitude;no_canonical_bh_mass;scattering_dominated_line_profile,https://doi.org/10.1038/s41586-026-10846-4,0
napolitano25_ghz9,Napolitano / GHZ9,napolitano2025,Context,UV lines / X-ray evidence,Mass assumes Eddington rate,1,0,high_ionization_line;narrow_line_diagnostics;xray,agn_and_star_formation_both_contribute;bh_mass_assumes_eddington_accretion;not_canonical,https://doi.org/10.3847/1538-4357/ade706,0
napolitano25_seven_wonders,"Napolitano / GHZ4,7",napolitano2024,None,Narrow / high-ionization lines,Tentative diagnostics,2,0,high_ionization_line;narrow_line_diagnostics,line_diagnostic_candidate;no_canonical_bh_mass;tentative_spectroscopic_redshift,https://doi.org/10.1051/0004-6361/202452090,0
ren25_alpine_cristal_jwst_blagn_candidates,Ren / ALPINE-CRISTAL,ren2025,Balmer,Host-selected broad Halpha,Conditional BLR interpretations,7,7,broad_halpha;host_selected,barely_above_4sigma;bpt_agn_region;complex_gas_kinematics_may_mimic_blr;complex_merger_system;distinct_broad_halpha_and_outflow_kinematics;flux_ratio_and_kinematics_favor_blr;formal_mbh_errors_exclude_0p4dex_virial_systematic;heii_detected_gt3sigma;instrument_corrected_fwhm_below_600_km_s;intermediate_width_component;local_bpt_composite_region;merger_system;minor_merger_or_tidal_feature;most_robust_candidate;no_oiii_outflow;no_oiii_outflow_at_peak;no_oiii_outflow_at_peak_b;oiii_outflow_detected;oiii_outflow_rejected;psf_like_broad_component;shared_integrated_host_mass;stable_narrow_broad_outflow_fit;system_outflow_centered_at_peak_d;table1_flux_is_dust_corrected,https://academic.oup.com/mnras/article/544/1/211/8301219,1
scholtz25_jades_narrow_line_agn,Scholtz / JADES,scholtz2025,None,Narrow / high-ionization lines,Tentative classifications,21,0,high_ionization_line;narrow_line_diagnostics,paper_abstract_reports_42_but_table_contains_41;tentative_within_0p1dex_of_s2_demarcation,https://arxiv.org/abs/2311.18731,0
skyfire26_ceers_blagn,Skyfire / CEERS,skyfire2026,Balmer,Broad Halpha,Virial calibration,22,22,broad_halpha,canonical_numeric_mass_only,https://arxiv.org/abs/2609.00112v1,22
