physical_object_id,measurement_id,object_id,publication_primary_flag,mass_offset_dex,n_samples,random_seed,reported_mass_errors_sampled,required_fedd,p16,probability_gt_1,source_key,redshift,mbh_method,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,log_mbh_systematic_dex,lensing_status,f_minus05,p_minus05,caveat,proposed_observation,f_minus1dex,f_minus2dex
HZA-UNCOVER-20466,UNCOVER20466_greene24,UNCOVER-20466,True,0.0,10000,20260808,True,1.452204136497696,1.3544982767343978,1.0,greene24_uncover_blagn,8.5,single-epoch-virial-hbeta,8.17,0.42,0.42,,lensed,1.334521467413604,0.9997,Hbeta; mass depends on lens model and BLR interpretation.,Independent lens model and broad-line profile constraints.,1.2168387983295117,0.9814734601613279
HZA-GS-20057765,GS20057765_juodzbalis25,GS-20057765,True,0.0,10000,20260808,True,1.3553650821669596,1.1773841261281204,0.9797,juodzbalis25_jades_blagn,8.913,single-epoch-virial-hbeta,7.33,0.62,0.7,,not_reported,1.2282201401250312,0.9009,Hbeta; extinction and calibration uncertainties are incompletely quantified.,Deeper line profiles and an extinction constraint.,1.1010751980831024,0.8467853139992451
HZA-COSMOS3D-13852,COSMOS3D13852_lin25,COSMOS3D-13852,True,0.0,10000,20260808,True,1.3135654376367318,1.2474298247754527,1.0,lin25_cosmos3d_blagn,7.646,single-epoch-virial-hbeta-greene2005,8.6,0.35,0.33,,unlensed,1.214052904482434,1.0,Hbeta; source warns of possible 1--2 dex scattering bias.,Separate scattering wings from virial broadening.,1.1145403713281359,0.9155153050195405
HZA-RUBIES-EGS-55604,RUBIESEGS55604_kocevski25,RUBIES-EGS-55604,True,0.0,10000,20260808,True,1.2671353783012442,1.249804823900041,1.0,kocevski25_lrd_blagn,6.986,single-epoch-virial-hbeta,9.31,0.1,0.1,0.5,not_reported,1.1804640117963714,1.0,Hbeta; dust-corrected mass; separate 0.5 dex calibration scale.,Test dust correction and broad-line kinematics.,1.0937926452914981,0.9204499122817521
HZA-CEERS-1019,CEERS1019_larson23,CEERS-1019,True,0.0,10000,20260808,True,1.2051026925538062,1.115177475951217,0.9883,larson23_ceers1019,8.679,single-epoch-virial-hbeta,6.95,0.37,0.37,,not_reported,1.0833751478514018,0.8215,Hbeta; broad component has comparatively low significance.,Confirm the broad component with deeper spectroscopy.,0.961647603148997,0.7181925137441877
HZA-GS-20030333,GS20030333_juodzbalis25,GS-20030333,True,0.0,10000,20260808,True,1.1332146730828314,1.0328987525735214,0.9072,juodzbalis25_jades_blagn,7.891,single-epoch-virial-hbeta,7.42,0.65,0.48,,not_reported,1.0286745740899503,0.6132,Hbeta; large quoted errors and uncertain extinction and calibration.,Improve line profile and extinction constraints.,0.9241344750970693,0.7150542771113069
HZA-GS-164055,GS164055_juodzbalis25,GS-164055,True,0.0,10000,20260808,True,1.064628309775132,0.94090670157404,0.6959,juodzbalis25_jades_blagn,7.397,single-epoch-virial-hbeta,7.63,0.59,0.66,,not_reported,0.9700787263137525,0.3953,Hbeta; reported interval straddles the reference threshold.,Reduce mass uncertainty with deeper spectroscopy.,0.8755291428523732,0.6864299759296144
HZA-GN-38509,GN38509_juodzbalis25,GN-38509,True,0.0,10000,20260808,True,1.064544199368414,1.0051768597729878,0.8596,juodzbalis25_jades_blagn,6.678,single-epoch-virial-halpha,8.57,0.37,0.38,0.3,not_reported,0.9835286590816243,0.3918,Halpha; separate 0.3 dex calibration scale.,Independent estimator or calibration constraint.,0.9025131187948349,0.7404820382212559
HZA-J0910-2028-12910,J0910202812910_baccus26,J0910_2028_12910,True,0.0,10000,20260808,True,1.0527834773194107,1.0511878546493318,1.0,baccus26_nirspec_blagn,6.6214,single-epoch-virial-halpha,8.58,0.01,0.01,0.5,not_reported,0.9727847328422519,0.0,Halpha; 0.01 dex formal error excludes 0.5 dex mass scale.,Measure the mass with an independent calibration.,0.8927859883650928,0.7327884994107752
HZA-CEERS-00717,CEERS00717_harikane23,CEERS-00717,True,0.0,10000,20260808,True,1.0273631809780568,0.998048900260025,0.8208,harikane23_nirspec_blagn,6.936,single-epoch-virial-halpha-greeneho2005,7.99122608,0.16106227,0.17168214,,not_reported,0.9416242047434913,0.0183,Halpha; local calibration; no numeric systematic supplied.,Cross-check the virial estimator and line decomposition.,0.8558852285089259,0.6844072760397951
HZA-ZS7,ZS7_ubler24,ZS7,True,0.0,10000,20260808,True,1.0233657049844471,0.953555566973486,0.6249,ubler24_zs7_offset_blagn,7.15,single-epoch-virial-hbeta,7.7,0.4,0.4,,not_reported,0.9335967834945832,0.1729,Hbeta; quoted 0.4 dex already includes calibration scatter.,Spatially separate nuclear kinematics and interacting components.,0.8438278620047197,0.6642900190249921
HZA-GN-4685,GN4685_juodzbalis25,GN-4685,True,0.0,10000,20260808,True,1.0173652371980322,0.938434213927488,0.5846,juodzbalis25_jades_blagn,7.415,single-epoch-virial-hbeta,7.36,0.45,0.42,,not_reported,0.9224617635788126,0.1809,Hbeta; reported interval straddles the reference threshold.,Improve line profile and extinction constraints.,0.8275582899595932,0.6377513427211544
