log_seed,epsilon,rate,nearby_primary,median_distance_dex,selected_full
2,0.1,0.1,0,4.0093006,False
2,0.1,0.2,0,3.1003386,False
2,0.1,0.3,13,2.2176066,False
2,0.1,0.4,42,1.3146882,False
2,0.1,0.5,79,0.82844466,True
2,0.1,0.6,85,0.7800446,True
2,0.1,0.7,50,1.3400368,False
2,0.1,0.8,26,2.0986772,False
2,0.1,0.9,16,2.9355517,False
2,0.1,1,14,3.9271083,False
2,0.1,1.1,8,4.8014629,False
2,0.1,1.2,5,5.7175091,False
2,0.1,1.3,5,6.6257546,False
2,0.1,1.4,3,7.5292037,False
2,0.1,1.5,1,8.4616375,False
2,0.1,1.6,0,9.3827234,False
2,0.1,1.7,0,10.302894,False
2,0.1,1.8,0,11.210561,False
2,0.1,1.9,0,12.118092,False
2,0.1,2,0,13.025624,False
2,0.037749551,0.1,7,2.366434,False
2,0.037749551,0.2,91,0.72544626,True
2,0.037749551,0.3,20,2.4774182,True
2,0.037749551,0.4,5,5.1058369,False
2,0.037749551,0.5,2,7.6809907,False
2,0.037749551,0.6,0,10.296993,False
2,0.037749551,0.7,0,12.867579,False
2,0.037749551,0.8,0,15.42646,False
2,0.037749551,0.9,0,18.00135,False
2,0.037749551,1,0,20.536233,False
2,0.037749551,1.1,0,23.121036,False
2,0.037749551,1.2,0,25.674767,False
2,0.037749551,1.3,0,28.269088,False
2,0.037749551,1.4,0,30.86466,False
2,0.037749551,1.5,0,33.458208,False
2,0.037749551,1.6,0,36.036529,False
2,0.037749551,1.7,0,38.624749,False
2,0.037749551,1.8,0,41.197122,False
2,0.037749551,1.9,0,43.763582,False
2,0.037749551,2,0,46.356139,False
2,0.057190958,0.1,0,3.2466054,False
2,0.057190958,0.2,34,1.6095788,False
2,0.057190958,0.3,85,0.7221099,True
2,0.057190958,0.4,38,1.5773808,True
2,0.057190958,0.5,16,3.0859504,False
2,0.057190958,0.6,8,4.7931969,False
2,0.057190958,0.7,5,6.4670169,False
2,0.057190958,0.8,2,8.136661,False
2,0.057190958,0.9,0,9.8292649,False
2,0.057190958,1,0,11.49823,False
2,0.057190958,1.1,0,13.160553,False
2,0.057190958,1.2,0,14.805002,False
