catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,redshift,cosmic_time_gyr,survey,field,object_class,quality_flag,detection_evidence,source_key,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,lrd_status,halpha_absorption_fit_flag,source_caveat_tags,notes,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,reported_statistical_errors_applied,systematic_combined_with_statistical_error,z_seed,epsilon,merger_boost,delta_t_z30_gyr,log_mbh_eval,log_mbh_err_plus_reported,log_mbh_err_minus_reported,mstar_diagnostic_status,lbol_diagnostic_status,edd_ratio_diagnostic_status,log_mstar_msun,log_lbol_erg_s,edd_ratio_reported,log_mbh_mstar_ratio,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,required_fedd_seed1e2,required_fedd_seed1e4,required_fedd_seed1e5,required_log_mseed_fedd0p3,required_log_mseed_fedd1
expanded-blagn-v1,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,8.913,0.5527336017822919,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.45274807161316744,7.33,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.3553650821669596,0.8467853139992451,0.5924954299153876,6.150244064836379,3.397480216121263
expanded-blagn-v1,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,8.913,0.5527336017822919,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.45274807161316744,7.03,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.2790781169418026,0.7704983487740878,0.5162084646902305,5.850244064836379,3.097480216121263
expanded-blagn-v1,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,8.913,0.5527336017822919,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.45274807161316744,7.63,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.4316520473921168,0.9230722792244023,0.6687823951405449,6.450244064836379,3.6974802161212628
expanded-blagn-v1,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,1,GS20030333_juodzbalis25,True,only catalogue measurement in this release,7.891,0.6506319125565291,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.5506463823874046,7.42,0.65,0.48,available,available,available,8.61,44.44,0.08,-1.1899999999999995,consistent,-0.016539467890489,1.1332146730828314,0.7150542771113069,0.5059740791255446,5.985143887894973,2.6371462929832443
expanded-blagn-v1,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,1,GS20030333_juodzbalis25,True,only catalogue measurement in this release,7.891,0.6506319125565291,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.5506463823874046,7.12,0.65,0.48,available,available,available,8.61,44.44,0.08,-1.1899999999999995,consistent,-0.016539467890489,1.0704906136871029,0.6523302177155782,0.443250019729816,5.685143887894974,2.3371462929832445
expanded-blagn-v1,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,1,GS20030333_juodzbalis25,True,only catalogue measurement in this release,7.891,0.6506319125565291,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.5506463823874046,7.72,0.65,0.48,available,available,available,8.61,44.44,0.08,-1.1899999999999995,consistent,-0.016539467890489,1.19593873247856,0.7777783365070355,0.5686981385212734,6.285143887894973,2.937146292983244
expanded-blagn-v1,physical_object,HZA-GN-4685,GN4685_juodzbalis25,HZA-GN-4685,GN-4685,1,GN4685_juodzbalis25,True,only catalogue measurement in this release,7.415,0.7065452811411209,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6065597509719964,7.36,0.45,0.42,available,available,available,9.91,44.13,0.045,-2.55,consistent,-0.016416941107096,1.0173652371980322,0.6377513427211544,0.44794439548271564,5.779446683249509,2.091488944165028
expanded-blagn-v1,physical_object,HZA-GN-4685,GN4685_juodzbalis25,HZA-GN-4685,GN-4685,1,GN4685_juodzbalis25,True,only catalogue measurement in this release,7.415,0.7065452811411209,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.6065597509719964,7.0600000000000005,0.45,0.42,available,available,available,9.91,44.13,0.045,-2.55,consistent,-0.016416941107096,0.9604231530265004,0.5808092585496228,0.39100231131118407,5.479446683249509,1.7914889441650281
expanded-blagn-v1,physical_object,HZA-GN-4685,GN4685_juodzbalis25,HZA-GN-4685,GN-4685,1,GN4685_juodzbalis25,True,only catalogue measurement in this release,7.415,0.7065452811411209,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.6065597509719964,7.66,0.45,0.42,available,available,available,9.91,44.13,0.045,-2.55,consistent,-0.016416941107096,1.0743073213695635,0.694693426892686,0.5048864796542473,6.079446683249508,2.3914889441650278
expanded-blagn-v1,physical_object,HZA-GS-164055,GS164055_juodzbalis25,HZA-GS-164055,GS-164055,1,GS164055_juodzbalis25,True,only catalogue measurement in this release,7.397,0.7088155769811714,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because the host is significantly extended.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6088300468120469,7.63,0.59,0.66,available,available,available,7.99,44.21,0.03,-0.3600000000000003,consistent,-0.0025082001627724,1.064628309775132,0.6864299759296144,0.49733080900685567,6.043530821515778,2.341769405052591
