physical_object_id,measurement_id,object_id,growth_ranking_eligible_flag,primary_growth_ranking_flag,open_identity_group,excluded_identity_flag,exploratory_only_evidence_flag,evidence_selection_reason,publication_primary_flag,publication_exploratory_flag
HZA-A2744-QSO1,UNCOVER13123_greene24,A2744-QSO1,True,True,,False,False,,True,True
HZA-ABELL2744-GREENE-8204-69688,abell2744greene820469688_mascia26,abell2744-greene_8204_69688,False,False,,False,False,,False,False
HZA-AURORA-1914-100182,AURORA1914100182_baccus26,AURORA_1914_100182,True,True,,False,False,,True,True
HZA-AURORA-1914-8769,AURORA19148769_baccus26,AURORA_1914_8769,True,True,,False,False,,True,True
HZA-AURORA-1914-927605,AURORA1914927605_baccus26,AURORA_1914_927605,True,True,,False,False,,True,True
HZA-AURORA-1914-928583,AURORA1914928583_baccus26,AURORA_1914_928583,True,True,,False,False,,True,True
HZA-BLUEJAY-1810-19945,BLUEJAY181019945_baccus26,BLUEJAY_1810_19945,True,True,,False,False,,True,True
HZA-CAPERS-COS07-6368-35805,caperscos07636835805_mascia26,capers-cos07_6368_35805,False,False,,False,False,,False,False
HZA-CEERS-00717,CEERS00717_harikane23,CEERS-00717,True,True,,False,False,,True,True
HZA-CEERS-01236,CEERS01236_harikane23,CEERS-01236,True,True,,False,False,,True,True
HZA-CEERS-01665,CEERS01665_harikane23,CEERS-01665,True,True,,False,False,,True,True
HZA-CEERS-1019,CEERS1019_larson23,CEERS-1019,True,True,,False,False,,True,True
HZA-CEERS-1025,CEERS1025_tang25,CEERS-1025,False,False,,False,False,,False,False
HZA-CEERS-1029,CEERS1029_mazzolari24,CEERS-1029,False,False,,False,False,,False,False
HZA-CEERS-1064,CEERS1064_mazzolari24,CEERS-1064,False,False,,False,False,,False,False
HZA-CEERS-1173,CEERS1173_mazzolari24,CEERS-1173,False,False,,False,False,,False,False
HZA-CEERS-1212,CEERS1212_mazzolari24,CEERS-1212,False,False,,False,False,,False,False
HZA-CEERS-1244,CEERS1244_taylor24,CEERS-1244,True,True,,False,False,,True,True
HZA-CEERS-1400,CEERS1400_mazzolari24,CEERS-1400,False,False,,False,False,,False,False
HZA-CEERS-1477,CEERS1477_mazzolari24,CEERS-1477,False,False,,False,False,,False,False
HZA-CEERS-1536,CEERS1536_mazzolari24,CEERS-1536,False,False,,False,False,,False,False
HZA-CEERS-1539,CEERS1539_mazzolari24,CEERS-1539,False,False,,False,False,,False,False
