interpretation_variant,growth_config,seed_model,n_rows,n_objects,median_required_fedd,max_required_fedd,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,feasible_seed_model_fraction,mean_feasibility_score,median_feasibility_score
baseline,fedd0p3_eps0p1_merger_boost_x2,heavy_dcbh,23,23,0.23374402365965033,0.5296747421651823,4.447044039948954,2.4529007371473903,6.417473372097189,0.5652173913043478,0.8390792170853273,1.0
baseline,fedd0p3_eps0p1_merger_boost_x2,intermediate_cluster,23,23,0.4187801028187303,0.8973813733380157,4.447044039948954,2.4529007371473903,6.417473372097189,0.30434782608695654,0.6134377335505002,0.4
baseline,fedd0p3_eps0p1_merger_boost_x2,light_popiii,23,23,0.6696239871752226,1.4059611415057305,4.447044039948954,2.4529007371473903,6.417473372097189,0.0,0.3951969656722072,0.4
baseline,fedd0p3_eps0p1_merger_boost_x2,pbh,23,23,0.3560691317296073,0.7702364312960872,4.447044039948954,2.4529007371473903,6.417473372097189,0.9565217391304348,0.9782187805862337,1.0
baseline,fedd0p3_eps0p1_no_merger_boost,heavy_dcbh,23,23,0.26840295626144667,0.5924954299153876,4.748074035612936,2.7539307328113716,6.71850336776117,0.6521739130434783,0.8913493892199632,1.0
baseline,fedd0p3_eps0p1_no_merger_boost,intermediate_cluster,23,23,0.45653586952881586,0.9739302560411736,4.748074035612936,2.7539307328113716,6.71850336776117,0.17391304347826086,0.588016557898882,0.4
baseline,fedd0p3_eps0p1_no_merger_boost,light_popiii,23,23,0.7073797538853083,1.4825100242088882,4.748074035612936,2.7539307328113716,6.71850336776117,0.0,0.3899125437465037,0.4
baseline,fedd0p3_eps0p1_no_merger_boost,pbh,23,23,0.3938248984396928,0.8467853139992451,4.748074035612936,2.7539307328113716,6.71850336776117,0.8695652173913043,0.9638030494077136,1.0
baseline,fedd0p3_spin_0_eps0p057_merger_boost_x2,heavy_dcbh,23,23,0.12761057364930903,0.28917144762455255,2.457684165528497,-0.2967502303670084,4.877587454790216,0.2608695652173913,0.5565217391304348,0.4
baseline,fedd0p3_spin_0_eps0p057_merger_boost_x2,intermediate_cluster,23,23,0.22862945677459867,0.4899177743282639,2.457684165528497,-0.2967502303670084,4.877587454790216,0.08695652173913043,0.5383975013669202,0.4
baseline,fedd0p3_spin_0_eps0p057_merger_boost_x2,light_popiii,23,23,0.3655755548094407,0.7675725992354213,2.457684165528497,-0.2967502303670084,4.877587454790216,0.30434782608695654,0.6273618720691411,0.4
baseline,fedd0p3_spin_0_eps0p057_merger_boost_x2,pbh,23,23,0.1943929322658882,0.42050406810147456,2.457684165528497,-0.2967502303670084,4.877587454790216,0.5652173913043478,0.7568161878096682,1.0
baseline,fedd0p3_spin_0_eps0p057_no_merger_boost,heavy_dcbh,23,23,0.146532324897281,0.3234678710168384,2.7587141611924784,0.004279765296972826,5.1786174504541975,0.2608695652173913,0.5679976186633875,0.4
baseline,fedd0p3_spin_0_eps0p057_no_merger_boost,intermediate_cluster,23,23,0.2492418984234125,0.5317089896972064,2.7587141611924784,0.004279765296972826,5.1786174504541975,0.17391304347826086,0.5500895991573718,0.4
baseline,fedd0p3_spin_0_eps0p057_no_merger_boost,light_popiii,23,23,0.3861879964582546,0.8093638146043638,2.7587141611924784,0.004279765296972826,5.1786174504541975,0.30434782608695654,0.6054641189649855,0.4
baseline,fedd0p3_spin_0_eps0p057_no_merger_boost,pbh,23,23,0.21500537391470198,0.4622952834704171,2.7587141611924784,0.004279765296972826,5.1786174504541975,0.6086956521739131,0.8005028063248353,1.0
baseline,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,heavy_dcbh,23,23,0.08252902176126609,0.18701457105998,0.0644028608026721,-3.6046928201865525,3.687589077524608,0.0,0.40978725621867523,0.4
baseline,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,intermediate_cluster,23,23,0.1478605171486075,0.3168423548497015,0.0644028608026721,-3.6046928201865525,3.687589077524608,0.13043478260869565,0.5000744919371813,0.4
baseline,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,light_popiii,23,23,0.23642706129641025,0.49640883144791564,0.0644028608026721,-3.6046928201865525,3.687589077524608,0.043478260869565216,0.4630655052828156,0.4
baseline,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,pbh,23,23,0.12571888111165683,0.27195073570014805,0.0644028608026721,-3.6046928201865525,3.687589077524608,0.2608695652173913,0.5565217391304348,0.4
