science_release,input_catalogue_release,object_class,n_objects,z_seed,spin,spin_case,thin_disk_epsilon,effective_epsilon,merger_boost,merger_case,f_edd_avg,seed_model,seed_log_mass_min,seed_log_mass_max,n_compatible,compatible_object_fraction,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,comparison_scope,demographic_inference_allowed
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.1,heavy_dcbh,4.0,6.0,81,0.7232142857142857,4.669152778003187,2.838175262931837,6.822023900700453,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.1,intermediate_cluster,3.0,4.0,22,0.19642857142857142,4.669152778003187,2.838175262931837,6.822023900700453,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.1,light_popiii,1.0,2.0,0,0.0,4.669152778003187,2.838175262931837,6.822023900700453,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.1,pbh,2.0,6.0,105,0.9375,4.669152778003187,2.838175262931837,6.822023900700453,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.3,heavy_dcbh,4.0,6.0,0,0.0,-0.623665499963518,-4.208929891204491,3.9886190731885893,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.3,intermediate_cluster,3.0,4.0,6,0.05357142857142857,-0.623665499963518,-4.208929891204491,3.9886190731885893,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.3,light_popiii,1.0,2.0,8,0.07142857142857142,-0.623665499963518,-4.208929891204491,3.9886190731885893,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.3,pbh,2.0,6.0,9,0.08035714285714286,-0.623665499963518,-4.208929891204491,3.9886190731885893,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.5,heavy_dcbh,4.0,6.0,0,0.0,-5.775654361667327,-11.256035045340816,1.7610317886476485,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.5,intermediate_cluster,3.0,4.0,0,0.0,-5.775654361667327,-11.256035045340816,1.7610317886476485,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.5,light_popiii,1.0,2.0,1,0.008928571428571428,-5.775654361667327,-11.256035045340816,1.7610317886476485,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,0.5,pbh,2.0,6.0,0,0.0,-5.775654361667327,-11.256035045340816,1.7610317886476485,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,1.0,heavy_dcbh,4.0,6.0,0,0.0,-18.98314489414945,-28.873797930681633,-3.807936422704703,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,1.0,intermediate_cluster,3.0,4.0,0,0.0,-18.98314489414945,-28.873797930681633,-3.807936422704703,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,1.0,light_popiii,1.0,2.0,0,0.0,-18.98314489414945,-28.873797930681633,-3.807936422704703,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,1.0,no_merger_boost,1.0,pbh,2.0,6.0,0,0.0,-18.98314489414945,-28.873797930681633,-3.807936422704703,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,1.0,no_merger_boost,2.0,heavy_dcbh,4.0,6.0,0,0.0,-65.15077300730789,-90.4965389349006,-23.259901017794313,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,1.0,no_merger_boost,2.0,intermediate_cluster,3.0,4.0,0,0.0,-65.15077300730789,-90.4965389349006,-23.259901017794313,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,1.0,no_merger_boost,2.0,light_popiii,1.0,2.0,0,0.0,-65.15077300730789,-90.4965389349006,-23.259901017794313,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,1.0,no_merger_boost,2.0,pbh,2.0,6.0,0,0.0,-65.15077300730789,-90.4965389349006,-23.259901017794313,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,1.0,no_merger_boost,3.0,heavy_dcbh,4.0,6.0,0,0.0,-191.98596119793845,-260.96052906787185,-76.88662038053228,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,1.0,no_merger_boost,3.0,intermediate_cluster,3.0,4.0,0,0.0,-191.98596119793845,-260.96052906787185,-76.88662038053228,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,1.0,no_merger_boost,3.0,light_popiii,1.0,2.0,0,0.0,-191.98596119793845,-260.96052906787185,-76.88662038053228,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,1.0,no_merger_boost,3.0,pbh,2.0,6.0,0,0.0,-191.98596119793845,-260.96052906787185,-76.88662038053228,within_object_class_descriptive_only,False
