science_release,input_catalogue_release,physical_object_id,object_id,object_class,source_key,growth_ranking_eligible_flag,primary_growth_ranking_flag,growth_product_status,growth_product_status_reason,parameter_map_path,seed_redshift_map_path,growth_track_path,compatibility_scope,demographic_inference_allowed
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-00717,CEERS-00717,broad_line_agn,harikane23_nirspec_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-00717.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-00717.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-00717.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-01236,CEERS-01236,broad_line_agn,harikane23_nirspec_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-01236.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-01236.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-01236.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-01665,CEERS-01665,broad_line_agn,harikane23_nirspec_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-01665.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-01665.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-01665.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-1244,CEERS-1244,broad_line_agn,taylor24_ceers_rubies_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-1244.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-1244.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-1244.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-2782,RUBIES-EGS-50052,broad_line_agn,taylor24_ceers_rubies_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-2782.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-2782.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-2782.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-397,CEERS-397,broad_line_agn,taylor24_ceers_rubies_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-397.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-397.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-397.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-672,CEERS-672,broad_line_agn,taylor24_ceers_rubies_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-672.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-672.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-672.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-CEERS-746,CEERS-746,broad_line_agn,taylor24_ceers_rubies_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-746.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-746.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-746.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-DC-417567,DC_417567,broad_line_agn,ren25_alpine_cristal_jwst_blagn_candidates,True,False,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-417567.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-417567.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-417567.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-DC-519281,DC_519281,broad_line_agn,ren25_alpine_cristal_jwst_blagn_candidates,True,False,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-519281.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-519281.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-519281.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-DC-536534,DC_536534,broad_line_agn,ren25_alpine_cristal_jwst_blagn_candidates,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-536534.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-536534.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-536534.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-DC-683613,DC_683613,broad_line_agn,ren25_alpine_cristal_jwst_blagn_candidates,True,False,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-683613.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-683613.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-683613.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-DC-848185-A,DC_848185_a,broad_line_agn,ren25_alpine_cristal_jwst_blagn_candidates,True,False,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-848185-a.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-848185-a.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-848185-a.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-DC-848185-B,DC_848185_b,broad_line_agn,ren25_alpine_cristal_jwst_blagn_candidates,True,False,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-848185-b.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-848185-b.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-848185-b.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-DC-873321,DC_873321,broad_line_agn,ren25_alpine_cristal_jwst_blagn_candidates,True,False,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-873321.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-873321.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-873321.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GLASS-150029,GLASS-150029,broad_line_agn,harikane23_nirspec_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-glass-150029.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-glass-150029.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-glass-150029.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GLASS-160133,GLASS-160133,broad_line_agn,harikane23_nirspec_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-glass-160133.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-glass-160133.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-glass-160133.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-1093,GN-1093,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-1093.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-1093.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-1093.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-11836,GN-11836,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-11836.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-11836.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-11836.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-20621,GN-20621,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-20621.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-20621.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-20621.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-38509,GN-38509,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-38509.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-38509.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-38509.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-4685,GN-4685,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-4685.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-4685.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-4685.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-53757,GN-53757,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-53757.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-53757.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-53757.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-61888,GN-61888,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-61888.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-61888.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-61888.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-62309,GN-62309,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-62309.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-62309.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-62309.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-73488,GN-73488,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-73488.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-73488.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-73488.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-77652,GN-77652,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-77652.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-77652.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-77652.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GN-954,GN-954,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gn-954.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gn-954.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gn-954.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GOODS-N-12839,GOODS-N-12839,broad_line_agn,matthee23_eiger_fresco_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-goods-n-12839.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-goods-n-12839.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-goods-n-12839.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GOODS-N-13733,GOODS-N-13733,broad_line_agn,matthee23_eiger_fresco_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-goods-n-13733.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-goods-n-13733.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-goods-n-13733.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GOODS-N-14409,GOODS-N-14409,broad_line_agn,matthee23_eiger_fresco_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-goods-n-14409.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-goods-n-14409.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-goods-n-14409.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GOODS-N-15498,GOODS-N-15498,broad_line_agn,matthee23_eiger_fresco_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-goods-n-15498.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-goods-n-15498.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-goods-n-15498.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GOODS-N-16813,GOODS-N-16813,broad_line_agn,matthee23_eiger_fresco_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-goods-n-16813.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-goods-n-16813.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-goods-n-16813.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GOODS-N-4014,GOODS-N-4014,broad_line_agn,matthee23_eiger_fresco_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-goods-n-4014.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-goods-n-4014.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-goods-n-4014.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GOODS-N-9771,GOODS-N-9771,broad_line_agn,matthee23_eiger_fresco_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-goods-n-9771.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-goods-n-9771.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-goods-n-9771.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GS-10013704,GS-10013704,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gs-10013704.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gs-10013704.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gs-10013704.png,object_class=broad_line_agn,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GS-159717,GS-159717,broad_line_agn,juodzbalis25_jades_blagn,True,True,complete,eligible_canonical_numeric_mbh,results/releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-gs-159717.png,results/releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-gs-159717.png,results/releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-gs-159717.png,object_class=broad_line_agn,False
