science_release,input_catalogue_release,physical_object_id,object_id,object_class,source_key,redshift,log_mbh_msun_std,growth_ranking_eligibility_reason,conditional_mass_flag,conditional_mass_reason,lensing_status,lensing_mass_correction_status,parameter_map_status,seed_redshift_map_status,growth_track_status,compatibility_status,retained_in_catalogue_flag,review_requirement
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-GNIRS50-J0055-0146,J0055+0146,luminous_quasar_comparison,shen19_gnirs50,5.95421,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-XQR30-WISEA-J0439-1634,WISEA J0439+1634,luminous_quasar_comparison,xqr30_mazzucchelli23,6.5188,9.72,lensing_correction_not_applied,False,,lensed,not_applied,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,apply_source_supported_lensing_correction_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00004902,JADES-NS-GS00004902,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,5.123,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00007762,JADES-NS-GS00007762,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,4.146,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00009422,JADES-NS-GS00009422,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,5.942,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00009452,JADES-NS-GS00009452,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,5.135,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00016745,JADES-NS-GS00016745,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,5.574,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00017072,JADES-NS-GS00017072,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,4.707,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00021842,JADES-NS-GS00021842,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,7.981,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00022251,JADES-NS-GS00022251,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,5.804,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,HZA-JADES-NS-GS00095256,JADES-NS-GS00095256,narrow_line_agn_candidate,scholtz25_jades_narrow_line_agn,4.159,,missing_numeric_mbh,False,,not_reported,not_required,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,unavailable_not_inferred,True,obtain_source_supported_canonical_numeric_mbh_before_growth_products
