science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,survey,field,object_class,mass_comparability_group,evidence_status,evidence_status_basis,primary_growth_ranking_flag,redshift,mbh_method,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,log_mbh_systematic_dex,mbh_systematic_kind,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,systematic_combined_with_statistical_error,required_fedd_seed1e2_p5,required_fedd_seed1e2_p16,required_fedd_seed1e2_p50,required_fedd_seed1e2_p84,required_fedd_seed1e2_p95,prob_required_fedd_seed1e2_gt_1,required_log_mseed_fedd0p3_p5,required_log_mseed_fedd0p3_p16,required_log_mseed_fedd0p3_p50,required_log_mseed_fedd0p3_p84,required_log_mseed_fedd0p3_p95,prob_required_log_mseed_fedd0p3_gt_1e5,prob_required_log_mseed_fedd0p3_gt_1e6,uncertainty_pressure_score_0_100,uncertainty_pressure_tier,required_fedd_seed1e2,rank_uncertainty_global_navigation,rank_uncertainty_within_object_class,rank_uncertainty_within_mass_group,rank_uncertainty_within_class_mass_group,rank_uncertainty_primary_within_class_mass_group
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-GNIRS50-J1148-5251,GNIRS50-J1148-5251_shen19,HZA-GNIRS50-J1148-5251,J1148+5251,shen19_gnirs50,Gemini-GNIRS LLP-7,all_sky_optically_selected_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_gnirs_type1_quasar_spectrum,True,6.42201,single-epoch-virial-mgii-shen2011,9.9412,0.0189,0.0189,0.4,source_stated_single_epoch_virial_systematic,10000,20260808,True,split_normal_in_log_mbh,0.0189,0.0189,symmetric_reported,False,1.2097586044586872,1.211633285069541,1.2144767037057502,1.2173581491191672,1.2192461311487641,1.0,7.948341041622065,7.960598402599826,7.979189734068837,7.998029698788951,8.010374029403092,1.0,1.0,100.0,likely_high_pressure,1.2144767037057502,1,1,1,1,1
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-XQR30-SDSS-J0100-2802,XQR30-SDSS-J0100-2802_mazzucchelli23,HZA-XQR30-SDSS-J0100-2802,SDSS J0100+2802,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.3268,single-epoch-virial-mgii-vestergaard-osmer2009,10.1,0.2,0.1,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.2,0.1,asymmetric,False,1.1869278888828612,1.1971655403964943,1.2119461194442307,1.2423765169448255,1.2615331558512095,1.0,7.92729713669384,7.995714877599091,8.094492788370026,8.297857695748142,8.42588060760122,1.0,1.0,100.0,likely_high_pressure,1.2119461194442307,2,2,2,2,2
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-XQR30-PSO-J231-20,XQR30-PSO-J231-20_mazzucchelli23,HZA-XQR30-PSO-J231-20,PSO J231-20,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.5869,single-epoch-virial-mgii-vestergaard-osmer2009,9.52,0.04,0.04,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.04,0.04,symmetric_reported,False,1.1833761409146724,1.1876192223820867,1.19392733317098,1.2001999123994898,1.20443998666775,1.0,7.564058228196835,7.5907838224915025,7.630516269536063,7.670024916478086,7.696731569542149,1.0,1.0,100.0,likely_high_pressure,1.19392733317098,3,3,3,3,3
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-XQR30-DELS-J0923-0402,XQR30-DELS-J0923-0402_mazzucchelli23,HZA-XQR30-DELS-J0923-0402,DELS J0923+0402,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.633,single-epoch-virial-mgii-vestergaard-osmer2009,9.42,0.16,0.24,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.16,0.24,asymmetric,False,1.1275660044174103,1.1518272631165116,1.1896560330509633,1.2159908431860844,1.2326467208129213,1.0,7.158966473054784,7.310208814517185,7.546029709487522,7.710198370157669,7.814029501206421,1.0,1.0,100.0,likely_high_pressure,1.1896560330509633,4,4,4,4,4
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-XQR30-DELS-J1535-1943,XQR30-DELS-J1535-1943_mazzucchelli23,HZA-XQR30-DELS-J1535-1943,DELS J1535+1943,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.37,single-epoch-virial-mgii-vestergaard-osmer2009,9.8,0.06,0.07,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.06,0.07,asymmetric,False,1.1613943370906268,1.1683853338254748,1.1788926544505114,1.187789307021306,1.193681679888842,1.0,7.6996526133357746,7.745910466555684,7.8154350441863185,7.874302193518107,7.913290699672713,1.0,1.0,100.0,likely_high_pressure,1.1788926544505114,5,5,5,5,5
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-XQR30-PSO-J036-03,XQR30-PSO-J036-03_mazzucchelli23,HZA-XQR30-PSO-J036-03,PSO J036+03,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.5405,single-epoch-virial-mgii-vestergaard-osmer2009,9.43,0.08,0.07,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.08,0.07,asymmetric,False,1.149157961410843,1.1562846648370237,1.1673097678860214,1.1803302232512503,1.188458926573879,1.0,7.404697290690665,7.450057137090787,7.520229410432605,7.603101647441478,7.654838995286214,1.0,1.0,100.0,likely_high_pressure,1.1673097678860214,6,6,6,6,6
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-GNIRS50-J0050-3445,GNIRS50-J0050-3445_shen19,HZA-GNIRS50-J0050-3445,J0050+3445,shen19_gnirs50,Gemini-GNIRS LLP-7,all_sky_optically_selected_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_gnirs_type1_quasar_spectrum,True,6.24598,single-epoch-virial-mgii-shen2011,9.8542,0.0727,0.0727,0.4,source_stated_single_epoch_virial_systematic,10000,20260808,True,split_normal_in_log_mbh,0.0727,0.0727,symmetric_reported,False,1.135866507108708,1.1427938965511673,1.1533298251882411,1.1640803180123276,1.1711882896509898,1.0,7.691754477295896,7.738925885098173,7.810669301639609,7.88387377286108,7.932274838168496,1.0,1.0,100.0,likely_high_pressure,1.1533298251882411,7,7,7,7,7
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-GNIRS50-J0203-0012,GNIRS50-J0203-0012_shen19,HZA-GNIRS50-J0203-0012,J0203+0012,shen19_gnirs50,Gemini-GNIRS LLP-7,all_sky_optically_selected_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_gnirs_type1_quasar_spectrum,False,5.77689,single-epoch-virial-civ-vestergaard-peterson2006,10.7248,0.2579,0.2579,0.4,source_stated_single_epoch_virial_systematic,10000,20260808,True,split_normal_in_log_mbh,0.2579,0.2579,symmetric_reported,False,1.0898813522603747,1.111336244067405,1.14473834808005,1.1789056741463422,1.2008312399687273,1.0,8.017662680031505,8.181115458555537,8.43558734116958,8.69588902110824,8.862927600776402,1.0,1.0,100.0,likely_high_pressure,1.14473834808005,8,8,8,8,
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-XQR30-PSO-J183-05,XQR30-PSO-J183-05_mazzucchelli23,HZA-XQR30-PSO-J183-05,PSO J183+05,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.4386,single-epoch-virial-mgii-vestergaard-osmer2009,9.41,0.21,0.41,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.21,0.41,asymmetric,False,1.0340872032881532,1.074438250169767,1.1368015480524674,1.1692136498839139,1.1894863803688518,0.9871,6.781588243050708,7.044420901758935,7.450633693125001,7.6617548301719465,7.793804332338875,1.0,1.0,100.0,likely_high_pressure,1.1368015480524674,9,9,9,9,8
v7.5-class-aware-science,v7.5-accreting-atlas-catalogue,physical_object,HZA-XQR30-VDES-J0224-4711,XQR30-VDES-J0224-4711_mazzucchelli23,HZA-XQR30-VDES-J0224-4711,VDES J0224-4711,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.526,single-epoch-virial-mgii-vestergaard-osmer2009,9.19,0.06,0.08,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.06,0.08,asymmetric,False,1.1052102204323484,1.1135034343601067,1.1260382414025392,1.1354655444438286,1.1416707251892524,1.0,7.141791578895288,7.194749150040905,7.274792055183428,7.334991523793462,7.3746156434242485,1.0,1.0,100.0,likely_high_pressure,1.1260382414025392,10,10,10,10,9
