science_release,input_catalogue_release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,growth_product_status,growth_product_status_reason,parameter_map_path,seed_redshift_map_path,growth_track_path
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-00717.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-00717.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-00717.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-01236,CEERS-01236,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-01236.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-01236.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-01236.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-01665,CEERS-01665,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-01665.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-01665.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-01665.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-1244,CEERS-1244,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-1244.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-1244.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-1244.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-2782,RUBIES-EGS-50052,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-2782.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-2782.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-2782.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-397,CEERS-397,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-397.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-397.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-397.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-672,CEERS-672,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-672.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-672.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-672.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-CEERS-746,CEERS-746,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-ceers-746.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-ceers-746.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-ceers-746.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-DC-417567,DC_417567,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-417567.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-417567.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-417567.png
v7.5-figures-and-gallery,v7.5-accreting-atlas-catalogue,HZA-DC-519281,DC_519281,broad_line_agn,True,complete_inherited_v7_4,eligible_values_unchanged_from_v7_4,results/past_releases/v7_4/galleries/per_object/parameter_maps/broad_line_agn/v7_4_parameter_map_hza-dc-519281.png,results/past_releases/v7_4/galleries/per_object/seed_redshift_maps/broad_line_agn/v7_4_seed_redshift_map_hza-dc-519281.png,results/past_releases/v7_4/galleries/per_object/growth_tracks/broad_line_agn/v7_4_growth_track_hza-dc-519281.png
