science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,survey,field,object_class,mass_comparability_group,evidence_status,evidence_status_basis,primary_growth_ranking_flag,redshift,mbh_method,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,log_mbh_systematic_dex,mbh_systematic_kind,n_samples,random_seed,reported_mass_errors_sampled,reported_mass_error_scope,reported_mass_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,additional_systematic_scatter_added,required_fedd_seed1e2_p5,required_fedd_seed1e2_p16,required_fedd_seed1e2_p50,required_fedd_seed1e2_p84,required_fedd_seed1e2_p95,prob_required_fedd_seed1e2_gt_1,required_log_mseed_fedd0p3_p5,required_log_mseed_fedd0p3_p16,required_log_mseed_fedd0p3_p50,required_log_mseed_fedd0p3_p84,required_log_mseed_fedd0p3_p95,prob_required_log_mseed_fedd0p3_gt_1e5,prob_required_log_mseed_fedd0p3_gt_1e6,uncertainty_pressure_score_0_100,uncertainty_pressure_tier,required_fedd_seed1e2,rank_uncertainty_global_navigation,rank_uncertainty_within_object_class,rank_uncertainty_within_mass_group,rank_uncertainty_within_class_mass_group,rank_uncertainty_primary_within_class_mass_group
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,8.913,single-epoch-virial-hbeta,7.33,0.62,0.7,,,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.62,0.7,asymmetric,False,1.0674496374907705,1.1773841261281204,1.3554576697324894,1.5128604451061813,1.6146977973224,0.9797,5.018010882563021,5.450330434059992,6.150608167269565,6.76959769546403,7.170075097792137,0.9522,0.5823,97.97,likely_high_pressure,1.3554576697324894,1,1,1,1,1
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GN-38509,GN38509_juodzbalis25,HZA-GN-38509,GN-38509,juodzbalis25_jades_blagn,JADES,GOODS-N,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,6.678,single-epoch-virial-halpha,8.57,0.37,0.38,0.3,source_stated_single_epoch_virial_calibration_uncertainty,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.37,0.38,asymmetric,False,0.9652966994902614,1.0051768597729878,1.065384970119578,1.1239951030176132,1.1637104540824574,0.8596,6.105981995152761,6.352108603341469,6.7236923151420545,7.085413860727997,7.33052332321047,1.0,0.9727,97.27,likely_high_pressure,1.065384970119578,2,2,2,2,2
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,7.891,single-epoch-virial-hbeta,7.42,0.65,0.48,,,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.65,0.48,asymmetric,False,0.9667503975063989,1.0328987525735214,1.134731937770417,1.2709233292519844,1.3569644379481591,0.9072,5.188969610368375,5.505347515614221,5.992400742930517,6.643784244541902,7.055306280225232,0.9799,0.4951,90.72,likely_high_pressure,1.134731937770417,3,3,3,3,3
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GS-164055,GS164055_juodzbalis25,HZA-GS-164055,GS-164055,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,7.397,single-epoch-virial-hbeta,7.63,0.59,0.66,,,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.59,0.66,asymmetric,False,0.8611452339610903,0.94090670157404,1.0656469150399959,1.1759158706569128,1.2446018221576303,0.6959,4.967465394441961,5.389262427770666,6.048917441041605,6.632045105807883,6.995272255977051,0.9428,0.5278,69.59,likely_high_pressure,1.0656469150399959,4,4,4,4,4
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GN-4685,GN4685_juodzbalis25,HZA-GN-4685,GN-4685,juodzbalis25_jades_blagn,JADES,GOODS-N,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,7.415,single-epoch-virial-hbeta,7.36,0.45,0.42,,,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.45,0.42,asymmetric,False,0.8881346490638391,0.938434213927488,1.0176554097005428,1.1021587215435031,1.1588146759045637,0.5846,5.098593900912457,5.36359771450028,5.780975460287086,6.226182092986393,6.524674614916521,0.9699,0.3176,58.46,likely_high_pressure,1.0176554097005428,5,5,5,5,5
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GN-954,GN954_juodzbalis25,HZA-GN-954,GN-954,juodzbalis25_jades_blagn,JADES,GOODS-N,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,6.759,single-epoch-virial-halpha,7.7,0.31,0.32,0.3,source_stated_single_epoch_virial_calibration_uncertainty,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.31,0.32,asymmetric,False,0.854198172526471,0.8878452607631242,0.9406416328460998,0.9912452894181422,1.0251439869478516,0.1197,5.359478487057091,5.563442835347591,5.883487694750203,6.190240592987306,6.395730164652891,0.9962,0.3584,49.81,possible_high_pressure,0.9406416328460998,6,6,6,6,6
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GS-210600,GS210600_juodzbalis25,HZA-GS-210600,GS-210600,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,6.306,single-epoch-virial-halpha,7.41,0.33,0.34,0.3,source_stated_single_epoch_virial_calibration_uncertainty,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.33,0.34,asymmetric,False,0.72355480653094,0.7563167859022751,0.8053579572577703,0.8552116666631381,0.8876845512866763,0.0,4.8442400210725856,5.064242088008635,5.393561600144519,5.728337438603365,5.946398186874423,0.8821,0.0371,44.105,possible_high_pressure,0.8053579572577703,7,7,7,7,7
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GS-10013704,GS10013704_juodzbalis25,HZA-GS-10013704,GS-10013704,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,5.919,single-epoch-virial-halpha,7.44,0.31,0.31,0.3,source_stated_single_epoch_virial_calibration_uncertainty,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.31,0.31,symmetric_reported,False,0.6699068638081068,0.6976245320854032,0.7386085352087532,0.7796273280034962,0.8063960134044016,0.0,4.722104449102786,4.926075760582759,5.227672589837563,5.529525432506952,5.726513282032873,0.7705,0.0059,38.525,possible_high_pressure,0.7386085352087532,8,8,8,8,8
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GS-204851,GS204851_juodzbalis25,HZA-GS-204851,GS-204851,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,5.48,single-epoch-virial-halpha,7.68,0.32,0.31,0.3,source_stated_single_epoch_virial_calibration_uncertainty,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.32,0.31,asymmetric,False,0.6293561602448674,0.654175935655368,0.6918409583517862,0.7307496802803001,0.7566687110745064,0.0,4.702965305542617,4.90665662795804,5.215766527421291,5.535083237263875,5.747795946016443,0.7604,0.0067,38.019999999999996,possible_high_pressure,0.6918409583517862,9,9,9,9,9
v1-shared-science,v1-dataset-catalogue,physical_object,HZA-GS-30148179,GS30148179_juodzbalis25,HZA-GS-30148179,GS-30148179,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,5.922,single-epoch-virial-halpha,7.12,0.34,0.35,0.3,source_stated_single_epoch_virial_calibration_uncertainty,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.34,0.35,asymmetric,False,0.6195447674370613,0.6490286561868241,0.6964000895486866,0.7429081226663987,0.7707684909725581,0.0,4.349790032208962,4.566601430657527,4.914949872780212,5.256949253693778,5.461822005216389,0.3973,0.0007,19.865,possible_high_pressure,0.6964000895486866,10,10,10,10,10
