physical_object_id,object_id,object_class,redshift,fedd_assumption,required_log_mseed
HZA-GN-38509,GN-38509,broad_line_agn,6.678,0p3,6.71850336776117
HZA-GS-20057765,GS-20057765,broad_line_agn,8.913,0p3,6.150244064836379
HZA-GS-164055,GS-164055,broad_line_agn,7.397,0p3,6.043530821515778
HZA-GS-20030333,GS-20030333,broad_line_agn,7.891,0p3,5.985143887894973
HZA-GN-954,GN-954,broad_line_agn,6.759,0p3,5.881438344477782
HZA-GN-4685,GN-4685,broad_line_agn,7.415,0p3,5.779446683249509
HZA-GS-210600,GS-210600,broad_line_agn,6.306,0p3,5.395450777172458
HZA-GS-10013704,GS-10013704,broad_line_agn,5.919,0p3,5.232332571707911
HZA-GS-204851,GS-204851,broad_line_agn,5.48,0p3,5.217955291135558
HZA-GS-30148179,GS-30148179,broad_line_agn,5.922,0p3,4.913933490707102
HZA-GN-61888,GN-61888,broad_line_agn,5.874,0p3,4.808109776100934
HZA-GN-1093,GN-1093,broad_line_agn,5.594,0p3,4.748074035612936
HZA-GS-159717,GS-159717,broad_line_agn,5.077,0p3,4.703531712163887
HZA-GS-38562,GS-38562,broad_line_agn,4.822,0p3,4.57519350646901
HZA-GN-77652,GN-77652,broad_line_agn,5.229,0p3,3.992228239684468
HZA-GS-172975,GS-172975,broad_line_agn,4.741,0p3,4.247585802746482
HZA-GS-8083,GS-8083,broad_line_agn,4.753,0p3,4.107751030186363
HZA-GN-20621,GN-20621,broad_line_agn,4.682,0p3,3.9968300607825813
HZA-GN-53757,GN-53757,broad_line_agn,4.447,0p3,4.06102191055146
HZA-GN-73488,GN-73488,broad_line_agn,4.133,0p3,4.233921296265163
HZA-GN-62309,GN-62309,broad_line_agn,5.172,0p3,3.6222465459344035
HZA-GS-200679,GS-200679,broad_line_agn,4.547,0p3,3.015629155969124
HZA-GN-11836,GN-11836,broad_line_agn,4.409,0p3,2.7539307328113716
HZA-GN-38509,GN-38509,broad_line_agn,6.678,1,2.398344559203899
HZA-GS-20057765,GS-20057765,broad_line_agn,8.913,1,3.397480216121263
HZA-GS-164055,GS-164055,broad_line_agn,7.397,1,2.341769405052591
HZA-GS-20030333,GS-20030333,broad_line_agn,7.891,1,2.6371462929832443
HZA-GN-954,GN-954,broad_line_agn,6.759,1,1.6381278149259382
HZA-GN-4685,GN-4685,broad_line_agn,7.415,1,2.091488944165028
HZA-GS-210600,GS-210600,broad_line_agn,6.306,1,0.6948359239081929
HZA-GS-10013704,GS-10013704,broad_line_agn,5.919,1,0.08110857235970048
HZA-GS-204851,GS-204851,broad_line_agn,5.48,1,-0.5268156962148058
HZA-GS-30148179,GS-30148179,broad_line_agn,5.922,1,-0.23355503097632635
HZA-GN-61888,GN-61888,broad_line_agn,5.874,1,-0.3996340796635547
HZA-GN-1093,GN-1093,broad_line_agn,5.594,1,-0.8330865479568805
HZA-GS-159717,GS-159717,broad_line_agn,5.077,1,-1.681560959453713
HZA-GS-38562,GS-38562,broad_line_agn,4.822,1,-2.2726883117699668
HZA-GN-77652,GN-77652,broad_line_agn,5.229,1,-2.139239201051775
HZA-GS-172975,GS-172975,broad_line_agn,4.741,1,-2.7580473241783974
HZA-GS-8083,GS-8083,broad_line_agn,4.753,1,-2.8741632327121227
HZA-GN-20621,GN-20621,broad_line_agn,4.682,1,-3.1272331307247283
HZA-GN-53757,GN-53757,broad_line_agn,4.447,1,-3.5665936314951363
HZA-GN-73488,GN-73488,broad_line_agn,4.133,1,-4.156929012449458
HZA-GN-62309,GN-62309,broad_line_agn,5.172,1,-2.602511513551989
HZA-GS-200679,GS-200679,broad_line_agn,4.547,1,-4.391236146769587
HZA-GN-11836,GN-11836,broad_line_agn,4.409,1,-4.96023089062876
