index,interpretation_variant,growth_config,seed_model,mean,median,min,max
27,mbh_minus_0p3dex,subeddington_eps0p1,pbh,0.976726265003263,1.0,0.4647040950750505,1.0
11,baseline,subeddington_eps0p1,pbh,0.9613183823687713,1.0,0.4,1.0
59,mstar_agn_20pct,subeddington_eps0p1,pbh,0.9613183823687713,1.0,0.4,1.0
43,mbh_plus_0p3dex,subeddington_eps0p1,pbh,0.8981104421021676,1.0,0.4,1.0
8,baseline,subeddington_eps0p1,heavy_dcbh,0.8915163873095358,1.0,0.4,1.0
56,mstar_agn_20pct,subeddington_eps0p1,heavy_dcbh,0.8915163873095358,1.0,0.4,1.0
24,mbh_minus_0p3dex,subeddington_eps0p1,heavy_dcbh,0.8524080661790864,1.0,0.4,1.0
40,mbh_plus_0p3dex,subeddington_eps0p1,heavy_dcbh,0.8439606209559755,1.0,0.4,1.0
25,mbh_minus_0p3dex,subeddington_eps0p1,intermediate_cluster,0.6097071656932076,0.40424448699195037,0.4,1.0
9,baseline,subeddington_eps0p1,intermediate_cluster,0.5766766547803486,0.4,0.4,1.0
57,mstar_agn_20pct,subeddington_eps0p1,intermediate_cluster,0.5766766547803486,0.4,0.4,1.0
35,mbh_plus_0p3dex,eddington_eps0p1,pbh,0.5565217391304348,0.4,0.4,1.0
3,baseline,eddington_eps0p1,pbh,0.5423514670869237,0.4,0.4,1.0
51,mstar_agn_20pct,eddington_eps0p1,pbh,0.5423514670869237,0.4,0.4,1.0
39,mbh_plus_0p3dex,merger_boost_x2,pbh,0.5422977281827159,0.4,0.4,1.0
19,mbh_minus_0p3dex,eddington_eps0p1,pbh,0.5236460149611757,0.4,0.4,1.0
7,baseline,merger_boost_x2,pbh,0.523592276056968,0.4,0.4,1.0
55,mstar_agn_20pct,merger_boost_x2,pbh,0.523592276056968,0.4,0.4,1.0
22,mbh_minus_0p3dex,merger_boost_x2,light_popiii,0.5194720789845535,0.4,0.330053409917516,1.0
