rank_physical_pressure,rank_followup_priority,measurement_id,physical_object_id,object_id,redshift,cosmic_time_gyr,delta_t_z30_gyr,survey,object_class,quality_flag,detection_evidence,source_key,source_table,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_method,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,mstar_method,edd_ratio_reported,log_mbh_mstar_ratio,mbh_mstar_ratio,mbh_mstar_tension_label,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,agn_contam_flag,req_fedd_seed1e2_z30_eps0p1_b1,req_fedd_seed1e4_z30_eps0p1_b1,req_fedd_seed1e5_z30_eps0p1_b1,req_fedd_seed1e2_label,req_fedd_seed1e4_label,req_fedd_seed1e5_label,req_log_mseed_fedd0p3_z30_eps0p1_b1,req_mseed_fedd0p3_msun,req_mseed_fedd0p3_label,req_log_mseed_fedd1_z30_eps0p1_b1,req_mseed_fedd1_msun,req_mseed_fedd1_label,req_fedd_seed1e2_mbh_minus0p3,req_fedd_seed1e2_mbh_plus0p3,req_log_mseed_fedd0p3_mbh_minus0p3,req_log_mseed_fedd0p3_mbh_plus0p3,light_seed_superedd_robust_mbh_minus0p3,gentle_growth_above_heavy_robust_mbh_minus0p3,physical_growth_pressure_tier,growth_pressure_robustness_label,measurement_confidence_tier,caveat_tags,primary_caveat,most_needed_followup,followup_priority_category,followup_priority_reason,physical_pressure_score_0_100,measurement_confidence_score_0_100,followup_value_score_0_100,ranking_note,notes
1,1,GN38509_juodzbalis25,GN-38509,GN-38509,6.678,0.8105236210227595,0.7105380908536351,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",8.57,0.37,0.38,single-epoch-virial-halpha,9.19,0.4,0.4,beagle-spectral-decomposition,0.015,-0.6199999999999992,0.23988329190194949,extreme,False,False,False,True,1,1.064544199368414,0.7404820382212559,0.578450957647677,super_eddington,eddington_like,eddington_like,6.71850336776117,5230020.218152459,above_heavy_seed_scale,2.398344559203899,250.23298650402452,intermediate_seed_scale,1.0159348751963402,1.1131535235404877,6.418503367761169,7.018503367761171,True,True,high,robust_high,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,improved AGN-host decomposition and independent host mass,A_robust_high_pressure,"GN-38509 is robust and high growth pressure under baseline assumptions: light-seed required lifetime-average f_Edd=1.065, gentle-growth required log M_seed=6.719.",98.44540599147037,90,100.0,high growth pressure; high measurement confidence; extreme MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
2,2,GS20057765_juodzbalis25,GS-20057765,GS-20057765,8.913,0.5527336017822919,0.4527480716131674,JADES,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.33,0.62,0.7,single-epoch-virial-hbeta,7.4,0.78,0.97,beagle-spectral-decomposition,0.051,-0.0700000000000002,0.8511380382023761,extreme,False,False,False,True,1,1.3553650821669596,0.8467853139992451,0.5924954299153876,super_eddington,eddington_like,eddington_like,6.150244064836379,1413331.585645026,above_heavy_seed_scale,3.397480216121263,2497.3546219099526,intermediate_seed_scale,1.2790781169418026,1.4316520473921168,5.850244064836379,6.450244064836379,True,False,high,robust_high,low,single_source_measurement;tentative;tentative_hbeta;individual_detection_not_formally_significant;stack_supported;missing_lensing;agn_contam_mstar,tentative broad-Hbeta; individual detection not formally significant,confirm individual broad-Hbeta detection and refine virial mass,B_tentative_high_pressure,"GS-20057765 is high growth pressure but measurement-sensitive (tentative broad-Hbeta; individual detection not formally significant): light-seed required lifetime-average f_Edd=1.355, gentle-growth required log M_seed=6.150.",93.77309018057997,35,96.68865450902899,high growth pressure; low measurement confidence; extreme MBH/Mstar tension.,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.
3,3,GS164055_juodzbalis25,GS-164055,GS-164055,7.397,0.7088155769811714,0.6088300468120469,JADES,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.63,0.59,0.66,single-epoch-virial-hbeta,,,,,0.03,,,not_available,True,False,False,True,1,1.064628309775132,0.6864299759296144,0.4973308090068556,super_eddington,eddington_like,eddington_like,6.043530821515778,1105428.9179639083,above_heavy_seed_scale,2.341769405052591,219.66931970009583,intermediate_seed_scale,1.0078985596983043,1.1213580598519597,5.743530821515778,6.3435308215157775,True,False,high,robust_high,low,single_source_measurement;tentative;tentative_hbeta;individual_detection_not_formally_significant;stack_supported;missing_mstar;missing_lensing;agn_contam_mstar,tentative broad-Hbeta; individual detection not formally significant,confirm individual broad-Hbeta detection and refine virial mass,B_tentative_high_pressure,"GS-164055 is high growth pressure but measurement-sensitive (tentative broad-Hbeta; individual detection not formally significant): light-seed required lifetime-average f_Edd=1.065, gentle-growth required log M_seed=6.044.",75.7772436255635,35,95.78886218127818,high growth pressure; low measurement confidence; not_available MBH/Mstar tension.,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; BEAGLE Mstar unavailable in Table 5.
4,4,GS20030333_juodzbalis25,GS-20030333,GS-20030333,7.891,0.6506319125565291,0.5506463823874046,JADES,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.42,0.65,0.48,single-epoch-virial-hbeta,,,,,0.08,,,not_available,True,False,False,True,1,1.1332146730828314,0.7150542771113069,0.5059740791255446,super_eddington,eddington_like,eddington_like,5.985143887894973,966370.9983157188,heavy_seed_scale,2.6371462929832443,433.656932010178,intermediate_seed_scale,1.0704906136871029,1.19593873247856,5.685143887894974,6.285143887894973,True,False,high,robust_high,low,single_source_measurement;tentative;tentative_hbeta;individual_detection_not_formally_significant;stack_supported;missing_mstar;missing_lensing;agn_contam_mstar,tentative broad-Hbeta; individual detection not formally significant,confirm individual broad-Hbeta detection and refine virial mass,B_tentative_high_pressure,"GS-20030333 is high growth pressure but measurement-sensitive (tentative broad-Hbeta; individual detection not formally significant): light-seed required lifetime-average f_Edd=1.133, gentle-growth required log M_seed=5.985.",74.67999599624905,35,95.73399979981245,high growth pressure; low measurement confidence; not_available MBH/Mstar tension.,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; BEAGLE Mstar unavailable in Table 5.
5,7,GN954_juodzbalis25,GN-954,GN-954,6.759,0.7978843566184635,0.697898826449339,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.7,0.31,0.32,single-epoch-virial-halpha,10.93,0.11,0.11,beagle-spectral-decomposition,0.23,-3.2299999999999995,0.0005888436553555896,low_or_typical,False,False,False,True,1,0.9403035606779888,0.6103724867558875,0.4454069497948368,eddington_like,eddington_like,eddington_like,5.881438344477782,761094.0810264318,heavy_seed_scale,1.6381278149259382,43.46381214109415,light_seed_scale,0.8908138995896736,0.989793221766304,5.581438344477782,6.181438344477781,False,False,medium,systematics_sensitive,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,D_systematics_leverage,GN-954 changes ranking tier under +/-0.3 dex BH-mass systematics.,68.7122265884922,90,73.4356113294246,medium growth pressure; high measurement confidence; low_or_typical MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
6,5,GN4685_juodzbalis25,GN-4685,GN-4685,7.415,0.7065452811411209,0.6065597509719964,JADES,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.36,0.45,0.42,single-epoch-virial-hbeta,9.91,0.22,0.21,beagle-spectral-decomposition,0.045,-2.55,0.002818382931264455,low_or_typical,False,False,False,True,1,1.0173652371980322,0.6377513427211544,0.4479443954827156,super_eddington,eddington_like,eddington_like,5.779446683249509,601792.3785076987,heavy_seed_scale,2.091488944165028,123.44938882587766,intermediate_seed_scale,0.9604231530265004,1.0743073213695635,5.479446683249509,6.079446683249508,False,False,high,baseline_high_only,low,single_source_measurement;tentative;tentative_hbeta;individual_detection_not_formally_significant;stack_supported;missing_lensing;agn_contam_mstar,tentative broad-Hbeta; individual detection not formally significant,confirm individual broad-Hbeta detection and refine virial mass,B_tentative_high_pressure,"GN-4685 is high growth pressure but measurement-sensitive (tentative broad-Hbeta; individual detection not formally significant): light-seed required lifetime-average f_Edd=1.017, gentle-growth required log M_seed=5.779.",66.38166725891102,35,95.31908336294555,high growth pressure; low measurement confidence; low_or_typical MBH/Mstar tension.,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.
7,6,GS210600_juodzbalis25,GS-210600,GS-210600,6.306,0.8730973651000311,0.7731118349309064,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.41,0.33,0.34,single-epoch-virial-halpha,8.4,0.61,0.61,beagle-spectral-decomposition,0.057,-0.9900000000000002,0.10232929922807536,extreme,False,False,False,True,1,0.8056392872456208,0.5078059093359644,0.3588892203811361,eddington_like,eddington_like,eddington_like,5.395450777172458,248571.1818308616,heavy_seed_scale,0.6948359239081938,4.9526304549123905,below_light_seed_scale,0.7609642805591724,0.8503142939320691,5.095450777172459,5.695450777172459,False,False,medium,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,improved AGN-host decomposition and independent host mass,C_host_ratio_tension,GS-210600 has extreme M_BH/Mstar tension (log ratio=-0.99) and merits host-mass follow-up.,50.44952775615923,90,80.52247638780796,medium growth pressure; high measurement confidence; extreme MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
8,8,GS10013704_juodzbalis25,GS-10013704,GS-10013704,5.919,0.947209215281436,0.8472236851123114,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.44,0.31,0.31,single-epoch-virial-halpha,8.9,0.9,0.9,beagle-spectral-decomposition,0.055,-1.46,0.034673685045253165,elevated,False,False,False,True,1,0.7392417802995619,0.4674617140129583,0.3315716808696565,eddington_like,eddington_like,eddington_like,5.232332571707911,170738.93640196577,heavy_seed_scale,0.0811085723597004,1.2053372335182566,below_light_seed_scale,0.6984747703565715,0.7800087902425527,4.932332571707911,5.532332571707911,False,False,medium,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,E_comparison_anchor,GS-10013704 is a robust medium-pressure comparison anchor for the high-leverage cases.,44.011877560996815,90,60.200593878049844,medium growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
9,9,GS204851_juodzbalis25,GS-204851,GS-204851,5.48,1.044830104321813,0.9448445741526882,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.68,0.32,0.31,single-epoch-virial-halpha,10.74,0.09,0.09,beagle-spectral-decomposition,0.16,-3.0600000000000005,0.0008709635899560796,low_or_typical,False,False,False,True,1,0.6921076590789973,0.4484077791216038,0.3265578391429071,eddington_like,eddington_like,eddington_like,5.217955291135558,165179.1744181242,heavy_seed_scale,-0.5268156962148058,0.2972927400579016,below_light_seed_scale,0.6555526770853881,0.7286626410726061,4.917955291135558,5.517955291135558,False,False,medium,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,E_comparison_anchor,GS-204851 is a robust medium-pressure comparison anchor for the high-leverage cases.,43.498403254841364,90,60.17492016274207,medium growth pressure; high measurement confidence; low_or_typical MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
10,10,GS30148179_juodzbalis25,GS-30148179,GS-30148179,5.922,0.9465948399109976,0.846609309741873,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.12,0.34,0.35,single-epoch-virial-halpha,8.95,0.58,0.58,beagle-spectral-decomposition,0.11,-1.8299999999999992,0.014791083881682102,elevated,False,False,False,True,1,0.696261873125633,0.4242845789359326,0.2882959318410824,eddington_like,eddington_like,sub_eddington,4.913933490707102,82022.59226012402,heavy_seed_scale,-0.2335550309763263,0.5840431962429417,below_light_seed_scale,0.655465278997178,0.7370584672540882,4.613933490707103,5.213933490707102,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GS-30148179 is retained for atlas completeness; v1 growth-pressure tier is low.,33.02182276046942,90,31.65109113802347,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
11,11,GN61888_juodzbalis25,GN-61888,GN-61888,5.874,0.9565050566273134,0.856519526458189,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.04,0.33,0.32,single-epoch-virial-halpha,8.53,1.73,1.73,beagle-spectral-decomposition,0.18,-1.489999999999999,0.032359365692962896,elevated,False,False,False,True,1,0.6774526738858004,0.4086222477406415,0.274207034668062,eddington_like,eddington_like,sub_eddington,4.808109776100934,64285.01892618817,heavy_seed_scale,-0.3996340796635547,0.3984427421609641,below_light_seed_scale,0.6371281099640266,0.7177772378075741,4.508109776100934,5.1081097761009335,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-61888 is retained for atlas completeness; v1 growth-pressure tier is low.,31.45438949048337,90,31.57271947452417,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
12,12,GN1093_juodzbalis25,GN-1093,GN-1093,5.594,1.017921041692968,0.9179355115238436,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.14,0.34,0.33,single-epoch-virial-halpha,8.43,0.63,0.63,beagle-spectral-decomposition,0.12,-1.29,0.05128613839913648,elevated,False,False,False,True,1,0.6446687827961851,0.3938248984396928,0.2684029562614466,eddington_like,eddington_like,sub_eddington,4.748074035612936,55985.30333539681,heavy_seed_scale,-0.8330865479568805,0.1468633573254262,below_light_seed_scale,0.6070422001427113,0.682295365449659,4.448074035612937,5.048074035612936,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-1093 is retained for atlas completeness; v1 growth-pressure tier is low.,28.72239856634876,90,31.43611992831744,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
13,13,GS159717_juodzbalis25,GS-159717,GS-159717,5.077,1.1501440446728537,1.050158514503729,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.44,0.3,0.3,single-epoch-virial-halpha,,,,,0.38,,,not_available,True,False,False,True,1,0.5963891513943026,0.3771284339699267,0.2674980752577387,eddington_like,eddington_like,sub_eddington,4.703531712163887,50527.953908276235,heavy_seed_scale,-1.681560959453711,0.020818001742258,below_light_seed_scale,0.5635000437806463,0.6292782590079592,4.403531712163888,5.003531712163888,False,False,low,low,high,single_source_measurement;missing_mstar;missing_lensing;agn_contam_mstar,host stellar mass unavailable,deeper host SED decomposition for stellar mass,F_context,GS-159717 is retained for atlas completeness; v1 growth-pressure tier is low.,25.126132577281673,90,31.256306628864085,low growth pressure; high measurement confidence; not_available MBH/Mstar tension.,Robust sample; BEAGLE Mstar unavailable in Table 5.
