measurement_id,object_id,redshift,redshift_kind,survey,object_class,quality_flag,detection_evidence,source_key,source_table,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,edd_ratio_from_mbh_lbol,edd_ratio_log_residual_dex,edd_ratio_consistency_flag,z_seed,delta_t_gyr,interpretation_variant,mbh_delta_dex,mstar_agn_fraction,log_mbh_eval,log_mstar_eval,log_mbh_mstar_ratio_eval,fedd_requirement_config,epsilon,merger_boost,seed_mass_assumption,log_mseed_assumption,mseed_assumption_msun,required_fedd,required_fedd_label
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,eps0p1_no_merger_boost,0.1,1.0,seed_1e2_msun,2.0,100.0,0.696261873125633,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,eps0p1_no_merger_boost,0.1,1.0,seed_1e4_msun,4.0,10000.0,0.42428457893593263,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,eps0p1_no_merger_boost,0.1,1.0,seed_1e5_msun,5.0,100000.0,0.28829593184108243,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,eps0p1_merger_boost_x2,0.1,2.0,seed_1e2_msun,2.0,100.0,0.6553252112803196,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,eps0p1_merger_boost_x2,0.1,2.0,seed_1e4_msun,4.0,10000.0,0.38334791709061916,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,eps0p1_merger_boost_x2,0.1,2.0,seed_1e5_msun,5.0,100000.0,0.24735926999576902,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_minus1_eps0p038_no_merger_boost,0.037749551350623745,1.0,seed_1e2_msun,2.0,100.0,0.24583221585333095,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_minus1_eps0p038_no_merger_boost,0.037749551350623745,1.0,seed_1e4_msun,4.0,10000.0,0.1498040065356236,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_minus1_eps0p038_no_merger_boost,0.037749551350623745,1.0,seed_1e5_msun,5.0,100000.0,0.10178990187676985,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_minus1_eps0p038_merger_boost_x2,0.037749551350623745,2.0,seed_1e2_msun,2.0,100.0,0.2313785301360663,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_minus1_eps0p038_merger_boost_x2,0.037749551350623745,2.0,seed_1e4_msun,4.0,10000.0,0.13535032081835888,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_minus1_eps0p038_merger_boost_x2,0.037749551350623745,2.0,seed_1e5_msun,5.0,100000.0,0.0873362161595052,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_0_eps0p057_no_merger_boost,0.057190958417936644,1.0,seed_1e2_msun,2.0,100.0,0.38011828344786935,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_0_eps0p057_no_merger_boost,0.057190958417936644,1.0,seed_1e4_msun,4.0,10000.0,0.23163457897604542,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_0_eps0p057_no_merger_boost,0.057190958417936644,1.0,seed_1e5_msun,5.0,100000.0,0.1573927267401334,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_0_eps0p057_merger_boost_x2,0.057190958417936644,2.0,seed_1e2_msun,2.0,100.0,0.3577692589912069,eddington_or_below
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,spin_0_eps0p057_merger_boost_x2,0.057190958417936644,2.0,seed_1e4_msun,4.0,10000.0,0.20928555451938285,eddington_or_below
