measurement_id,object_id,redshift,quality_flag,interpretation_variant,growth_config,seed_model,delta_t_gyr,log_mbh_eval,log_mstar_eval,log_mbh_mstar_ratio_eval,required_fedd,model_name,required_log_mseed,model_log_mseed_min,model_log_mseed_max,is_feasible
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,eddington_eps0p1,light_popiii,0.833981118354858,7.12,8.95,-1.8299999999999992,0.7758286091748399,light_popiii,-0.12386795426035135,1.0,2.0,False
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,eddington_eps0p1,intermediate_cluster,0.833981118354858,7.12,8.95,-1.8299999999999992,0.49973301872116016,intermediate_cluster,-0.12386795426035135,3.0,4.0,False
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,eddington_eps0p1,heavy_dcbh,0.833981118354858,7.12,8.95,-1.8299999999999992,0.29266132588090044,heavy_dcbh,-0.12386795426035135,4.0,6.0,False
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,eddington_eps0p1,pbh,0.833981118354858,7.12,8.95,-1.8299999999999992,0.4307091211077403,pbh,-0.12386795426035135,2.0,6.0,False
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,subeddington_eps0p1,light_popiii,0.833981118354858,7.12,8.95,-1.8299999999999992,0.7758286091748399,light_popiii,4.946839613721895,1.0,2.0,False
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,subeddington_eps0p1,intermediate_cluster,0.833981118354858,7.12,8.95,-1.8299999999999992,0.49973301872116016,intermediate_cluster,4.946839613721895,3.0,4.0,False
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,subeddington_eps0p1,heavy_dcbh,0.833981118354858,7.12,8.95,-1.8299999999999992,0.29266132588090044,heavy_dcbh,4.946839613721895,4.0,6.0,True
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,subeddington_eps0p1,pbh,0.833981118354858,7.12,8.95,-1.8299999999999992,0.4307091211077403,pbh,4.946839613721895,2.0,6.0,True
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,supercritical_eps0p05,light_popiii,0.833981118354858,7.12,8.95,-1.8299999999999992,0.3674977622407136,light_popiii,-23.465220251321483,1.0,2.0,False
GS30148179_juodzbalis25,GS-30148179,5.922,robust,baseline,supercritical_eps0p05,intermediate_cluster,0.833981118354858,7.12,8.95,-1.8299999999999992,0.23671564044686533,intermediate_cluster,-23.465220251321483,3.0,4.0,False
