interpretation_variant,growth_config,seed_model,n_rows,n_objects,median_required_fedd,max_required_fedd,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,feasible_seed_model_fraction,mean_feasibility_score,median_feasibility_score
baseline,eddington_eps0p1,heavy_dcbh,23,23,0.2724706715828116,0.6014335082919029,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.0,0.4,0.4
baseline,eddington_eps0p1,intermediate_cluster,23,23,0.46345478717824024,0.9886224621278917,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.043478260869565216,0.43695368427145354,0.4
baseline,eddington_eps0p1,light_popiii,23,23,0.718100274638812,1.504874400575877,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.043478260869565216,0.4523276103959127,0.4
baseline,eddington_eps0p1,pbh,23,23,0.3997934153130973,0.8595594775158956,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.21739130434782608,0.5423514670869237,0.4
baseline,merger_boost_x2,heavy_dcbh,23,23,0.23728380545918518,0.537683099423549,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.0,0.4,0.4
baseline,merger_boost_x2,intermediate_cluster,23,23,0.42512682218518605,0.9109188027316323,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.043478260869565216,0.42608695652173917,0.4
baseline,merger_boost_x2,light_popiii,23,23,0.6797723096457577,1.4271707411796175,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.08695652173913043,0.48505621095707613,0.4
baseline,merger_boost_x2,pbh,23,23,0.36146545032004324,0.7818558181196361,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.17391304347826086,0.523592276056968,0.4
baseline,subeddington_eps0p1,heavy_dcbh,23,23,0.2724706715828116,0.6014335082919029,4.783783104175754,2.8035370724932918,6.746079920770792,0.6956521739130435,0.8915163873095358,1.0
baseline,subeddington_eps0p1,intermediate_cluster,23,23,0.46345478717824024,0.9886224621278917,4.783783104175754,2.8035370724932918,6.746079920770792,0.08695652173913043,0.5766766547803486,0.4
baseline,subeddington_eps0p1,light_popiii,23,23,0.718100274638812,1.504874400575877,4.783783104175754,2.8035370724932918,6.746079920770792,0.0,0.38897218098415837,0.4
baseline,subeddington_eps0p1,pbh,23,23,0.3997934153130973,0.8595594775158956,4.783783104175754,2.8035370724932918,6.746079920770792,0.8260869565217391,0.9613183823687713,1.0
baseline,supercritical_eps0p05,heavy_dcbh,23,23,0.12906505496027915,0.28488955655932247,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
baseline,supercritical_eps0p05,intermediate_cluster,23,23,0.21953121497916642,0.46829485048163294,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
baseline,supercritical_eps0p05,light_popiii,23,23,0.3401527616710162,0.7128352423780471,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
baseline,supercritical_eps0p05,pbh,23,23,0.189375828306204,0.4071597525075295,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
mbh_minus_0p3dex,eddington_eps0p1,heavy_dcbh,23,23,0.23742434916617647,0.5378525140282309,-1.0140563194141547,-5.0948764250223615,3.1559225369446064,0.0,0.4,0.4
mbh_minus_0p3dex,eddington_eps0p1,intermediate_cluster,23,23,0.42525796405915456,0.9111846713606941,-1.0140563194141547,-5.0948764250223615,3.1559225369446064,0.043478260869565216,0.42608695652173917,0.4
mbh_minus_0p3dex,eddington_eps0p1,light_popiii,23,23,0.6799034515197261,1.4274366098086795,-1.0140563194141547,-5.0948764250223615,3.1559225369446064,0.08695652173913043,0.4848858633524977,0.4
mbh_minus_0p3dex,eddington_eps0p1,pbh,23,23,0.36159659219401163,0.7821216867486979,-1.0140563194141547,-5.0948764250223615,3.1559225369446064,0.17391304347826086,0.5236460149611757,0.4
mbh_minus_0p3dex,merger_boost_x2,heavy_dcbh,23,23,0.19810345197554557,0.4883388320815093,-1.315086315078136,-5.395906420686343,2.854892541280625,0.0,0.4,0.4
mbh_minus_0p3dex,merger_boost_x2,intermediate_cluster,23,23,0.38692999906610037,0.8334810119644346,-1.315086315078136,-5.395906420686343,2.854892541280625,0.0,0.4185161325885544,0.4
mbh_minus_0p3dex,merger_boost_x2,light_popiii,23,23,0.641575486526672,1.34973295041242,-1.315086315078136,-5.395906420686343,2.854892541280625,0.17391304347826086,0.5194720789845535,0.4
mbh_minus_0p3dex,merger_boost_x2,pbh,23,23,0.3232686272009575,0.7044180273524383,-1.315086315078136,-5.395906420686343,2.854892541280625,0.08695652173913043,0.492739954142773,0.4
mbh_minus_0p3dex,subeddington_eps0p1,heavy_dcbh,23,23,0.23742434916617647,0.5378525140282309,4.483783104175753,2.503537072493292,6.446079920770791,0.5652173913043478,0.8524080661790864,1.0
mbh_minus_0p3dex,subeddington_eps0p1,intermediate_cluster,23,23,0.42525796405915456,0.9111846713606941,4.483783104175753,2.503537072493292,6.446079920770791,0.30434782608695654,0.6097071656932077,0.40424448699195037
mbh_minus_0p3dex,subeddington_eps0p1,light_popiii,23,23,0.6799034515197261,1.4274366098086795,4.483783104175753,2.503537072493292,6.446079920770791,0.0,0.391964268735563,0.4
mbh_minus_0p3dex,subeddington_eps0p1,pbh,23,23,0.36159659219401163,0.7821216867486979,4.483783104175753,2.503537072493292,6.446079920770791,0.9565217391304348,0.976726265003263,1.0
mbh_minus_0p3dex,supercritical_eps0p05,heavy_dcbh,23,23,0.11246416539450466,0.25477224348705674,-26.753519493025134,-42.32063699193672,-9.327215955122767,0.0,0.4,0.4
mbh_minus_0p3dex,supercritical_eps0p05,intermediate_cluster,23,23,0.201437982975389,0.43161379169717096,-26.753519493025134,-42.32063699193672,-9.327215955122767,0.0,0.4,0.4
mbh_minus_0p3dex,supercritical_eps0p05,light_popiii,23,23,0.32205952966723866,0.676154183593585,-26.753519493025134,-42.32063699193672,-9.327215955122767,0.0,0.4,0.4
mbh_minus_0p3dex,supercritical_eps0p05,pbh,23,23,0.17128259630242657,0.3704786937230674,-26.753519493025134,-42.32063699193672,-9.327215955122767,0.0,0.4,0.4
mbh_plus_0p3dex,eddington_eps0p1,heavy_dcbh,23,23,0.3106674947018973,0.6788712990591007,-0.4140563194141551,-4.494876425022362,3.755922536944606,0.0,0.41335248018841425,0.4
mbh_plus_0p3dex,eddington_eps0p1,intermediate_cluster,23,23,0.501651610297326,1.0660602528950898,-0.4140563194141551,-4.494876425022362,3.755922536944606,0.08695652173913043,0.47824593630382845,0.4
mbh_plus_0p3dex,eddington_eps0p1,light_popiii,23,23,0.7562970977578976,1.582312191343075,-0.4140563194141551,-4.494876425022362,3.755922536944606,0.043478260869565216,0.4381392236164964,0.4
mbh_plus_0p3dex,eddington_eps0p1,pbh,23,23,0.4379902384321831,0.9369972682830934,-0.4140563194141551,-4.494876425022362,3.755922536944606,0.2608695652173913,0.5565217391304348,0.4
mbh_plus_0p3dex,merger_boost_x2,heavy_dcbh,23,23,0.2723395297088431,0.6011676396628413,-0.7150863150781364,-4.795906420686343,3.454892541280625,0.0,0.4,0.4
mbh_plus_0p3dex,merger_boost_x2,intermediate_cluster,23,23,0.46332364530427184,0.9883565934988302,-0.7150863150781364,-4.795906420686343,3.454892541280625,0.043478260869565216,0.4368999453672458,0.4
mbh_plus_0p3dex,merger_boost_x2,light_popiii,23,23,0.7179691327648433,1.5046085319468154,-0.7150863150781364,-4.795906420686343,3.454892541280625,0.043478260869565216,0.4524457189436798,0.4
mbh_plus_0p3dex,merger_boost_x2,pbh,23,23,0.39966227343912897,0.8592936088868338,-0.7150863150781364,-4.795906420686343,3.454892541280625,0.21739130434782608,0.5422977281827159,0.4
mbh_plus_0p3dex,subeddington_eps0p1,heavy_dcbh,23,23,0.3106674947018973,0.6788712990591007,5.083783104175753,3.1035370724932916,7.046079920770793,0.6086956521739131,0.8439606209559755,1.0
