measurement_id,object_id,redshift,quality_flag,detection_evidence,mbh_method,scenario,scenario_label,mbh_delta_dex,n_samples,random_seed,z_seed,epsilon,merger_boost,growth_history,f_edd_avg,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,log_mbh_sample_p5,log_mbh_sample_p16,log_mbh_sample_p50,log_mbh_sample_p84,log_mbh_sample_p95,required_log_mseed_p5,required_log_mseed_p16,required_log_mseed_p50,required_log_mseed_p84,required_log_mseed_p95,required_mseed_msun_p5,required_mseed_msun_p16,required_mseed_msun_p50,required_mseed_msun_p84,required_mseed_msun_p95,p_required_mseed_gt1e5,p_required_mseed_gt1e6,prob_required_mseed_gt_1e5,prob_required_mseed_gt_1e6
GS30148179_juodzbalis25,GS-30148179,5.922,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.34,0.35,0.34,0.35,asymmetric,6.525151881636549,6.7651989370993215,7.12403382373407,7.464072973408358,7.691732214842706,4.319085372343651,4.559132427806424,4.917967314441173,5.25800646411546,5.485665705549808,20849.006913342604,36235.34849388715,82787.98541582644,181136.70593537326,305960.7430880643,0.4077,0.0012,0.4077,0.0012
GS30148179_juodzbalis25,GS-30148179,5.922,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.34,0.35,0.34,0.35,asymmetric,6.525151881636549,6.7651989370993215,7.12403382373407,7.464072973408358,7.691732214842706,-0.8284031493397779,-0.5883560938770046,-0.22952120724225633,0.11051794243203139,0.3381771838663795,0.14845569129957373,0.2580143856491506,0.5894931906008514,1.2897868474567182,2.1785984250694344,0.0,0.0,0.0,0.0
GS30148179_juodzbalis25,GS-30148179,5.922,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.34,0.35,0.34,0.35,asymmetric,6.225151881636549,6.465198937099322,6.82403382373407,7.164072973408358,7.3917322148427065,4.019085372343651,4.259132427806424,4.617967314441172,4.95800646411546,5.185665705549809,10449.256098774038,18160.69407117143,41492.28138813295,90783.4045561066,153343.61842685187,0.1305,0.0,0.1305,0.0
GS30148179_juodzbalis25,GS-30148179,5.922,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.34,0.35,0.34,0.35,asymmetric,6.225151881636549,6.465198937099322,6.82403382373407,7.164072973408358,7.3917322148427065,-1.1284031493397777,-0.8883560938770044,-0.5295212072422562,-0.18948205756796843,0.03817718386637969,0.07440409723865771,0.129313516179538,0.2954464614393552,0.6464247020456735,1.0918857178452825,0.0,0.0,0.0,0.0
GS30148179_juodzbalis25,GS-30148179,5.922,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.34,0.35,0.34,0.35,asymmetric,6.825151881636549,7.065198937099321,7.42403382373407,7.764072973408358,7.991732214842706,4.61908537234365,4.859132427806424,5.217967314441172,5.55800646411546,5.785665705549809,41599.237798718044,72299.02531961724,165183.7474323913,361415.2432104504,610471.9405434907,0.7313,0.0124,0.7313,0.0124
GS30148179_juodzbalis25,GS-30148179,5.922,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.34,0.35,0.34,0.35,asymmetric,6.825151881636549,7.065198937099321,7.42403382373407,7.764072973408358,7.991732214842706,-0.528403149339778,-0.2883560938770047,0.07047879275774349,0.4105179424320312,0.6381771838663793,0.2962080462926927,0.5148063804055972,1.1761935481366455,2.5734630910729037,4.346875336991593,0.0,0.0,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.31,0.31,0.31,0.31,symmetric_reported,6.934033716485371,7.136812459864628,7.441030422789781,7.743165183668975,7.94499014736705,4.72636628819328,4.9291450315725385,5.233362994497692,5.535497755376886,5.73732271907496,53255.72697718795,84946.41311238531,171144.51874850466,343160.8689605314,546163.5593608391,0.7746,0.0074,0.7746,0.0074
GS10013704_juodzbalis25,GS-10013704,5.919,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.31,0.31,0.31,0.31,symmetric_reported,6.934033716485371,7.136812459864628,7.441030422789781,7.743165183668975,7.94499014736705,-0.4248577111549294,-0.22207896777567193,0.08213899514948153,0.3842737560286752,0.58609871972675,0.3759605862400604,0.5996820452080702,1.2082004556622095,2.422555634707853,3.855659918945698,0.0,0.0,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.31,0.31,0.31,0.31,symmetric_reported,6.634033716485371,6.836812459864628,7.141030422789782,7.443165183668976,7.64499014736705,4.4263662881932815,4.629145031572538,4.933362994497691,5.235497755376885,5.43732271907496,26691.090478506187,42574.05779435577,85775.44790203375,171987.84660345936,273730.20342408307,0.4114,0.0001,0.4114,0.0001
GS10013704_juodzbalis25,GS-10013704,5.919,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.31,0.31,0.31,0.31,symmetric_reported,6.634033716485371,6.836812459864628,7.141030422789782,7.443165183668976,7.64499014736705,-0.7248577111549293,-0.5220789677756718,-0.2178610048505183,0.0842737560286754,0.28609871972675016,0.1884266461705435,0.3005529852937777,0.6055346440405529,1.2141539568673902,1.9324075285839482,0.0,0.0,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.31,0.31,0.31,0.31,symmetric_reported,7.234033716485371,7.436812459864628,7.741030422789781,8.043165183668975,8.24499014736705,5.026366288193281,5.229145031572537,5.533362994497691,5.835497755376885,6.037322719074959,106259.14509385481,169490.37687492027,341478.2086723754,684695.9498089205,1089739.5678019482,0.9583,0.0647,0.9583,0.0647
GS10013704_juodzbalis25,GS-10013704,5.919,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.31,0.31,0.31,0.31,symmetric_reported,7.234033716485371,7.436812459864628,7.741030422789781,8.043165183668975,8.24499014736705,-0.12485771115492958,0.0779210322243279,0.38213899514948135,0.684273756028675,0.8860987197267498,0.7501399896383998,1.196522985767126,2.4106768381110344,4.833633963848092,7.693052935608313,0.0,0.0,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.33,0.34,0.33,0.34,asymmetric,6.84319137201632,7.071784770283726,7.410327131384717,7.743220472876818,7.955319097983196,4.828642149188778,5.057235547456184,5.395777908557175,5.728671250049276,5.940769875155654,67397.25011003978,114086.83914662847,248758.49324455013,535391.3020584028,872508.9432179887,0.8781,0.0343,0.8781,0.0343
GS210600_juodzbalis25,GS-210600,6.306,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.33,0.34,0.33,0.34,asymmetric,6.84319137201632,7.071784770283726,7.410327131384717,7.743220472876818,7.955319097983196,0.12802729592451237,0.3566206941919182,0.6951630552929102,1.02805639678501,1.2401550218913886,1.342849444628932,2.273111266963974,4.956362521538743,10.66734787331018,17.38421297487802,0.0,0.0,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.33,0.34,0.33,0.34,asymmetric,6.54319137201632,6.771784770283726,7.110327131384718,7.443220472876818,7.655319097983196,4.528642149188778,4.757235547456184,5.095777908557176,5.428671250049276,5.640769875155654,33778.64133673622,57178.86730517833,124674.58107052463,268331.2855867544,437290.34356647875,0.6112,0.0039,0.6112,0.0039
GS210600_juodzbalis25,GS-210600,6.306,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.33,0.34,0.33,0.34,asymmetric,6.54319137201632,6.771784770283726,7.110327131384718,7.443220472876818,7.655319097983196,-0.17197270407548745,0.05662069419191838,0.3951630552929104,0.7280563967850103,0.9401550218913889,0.6730189983314937,1.1392543476166586,2.4840656210238956,5.346338570764098,8.712745609666452,0.0,0.0,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.33,0.34,0.33,0.34,asymmetric,7.14319137201632,7.371784770283726,7.710327131384718,8.043220472876818,8.255319097983197,5.128642149188778,5.357235547456184,5.695777908557176,6.028671250049276,6.240769875155655,134475.19327709448,227633.17078318403,496338.44709929125,1068246.0887592528,1740884.2138761778,0.9787,0.1835,0.9787,0.1835
GS210600_juodzbalis25,GS-210600,6.306,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.33,0.34,0.33,0.34,asymmetric,7.14319137201632,7.371784770283726,7.710327131384718,8.043220472876818,8.255319097983197,0.4280272959245122,0.656620694191918,0.99516305529291,1.3280563967850108,1.5401550218913893,2.6793368915449967,4.53545324870438,9.889243358550384,21.28415721227925,34.68606502416721,0.0,0.0,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.32,0.31,0.32,0.31,asymmetric,7.156196680256945,7.366119415523755,7.67861977811892,8.002716351309939,8.213329356064044,4.694151971392504,4.904074706659314,5.216575069254478,5.540671642445497,5.751284647199602,49448.36983483454,80181.59791644136,164655.05790962506,347273.49879096635,564007.2047463644,0.756,0.0073,0.756,0.0073
GS204851_juodzbalis25,GS-204851,5.48,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.32,0.31,0.32,0.31,asymmetric,7.156196680256945,7.366119415523755,7.67861977811892,8.002716351309939,8.213329356064044,-1.0506190159578597,-0.8406962806910503,-0.5281959180958853,-0.20409934490486634,0.006513659849238496,0.08899815252970189,0.14431242334738442,0.29634942481570975,0.6250297010428247,1.0151113050547282,0.0,0.0,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.32,0.31,0.32,0.31,asymmetric,6.856196680256946,7.066119415523755,7.378619778118921,7.702716351309939,7.913329356064044,4.394151971392504,4.604074706659314,4.916575069254479,5.2406716424454975,5.451284647199603,24782.891684898994,40185.99324755552,82523.01297646333,174049.04417110837,282673.210692681,0.3984,0.0005,0.3984,0.0005
GS204851_juodzbalis25,GS-204851,5.48,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.32,0.31,0.32,0.31,asymmetric,6.856196680256946,7.066119415523755,7.378619778118921,7.702716351309939,7.913329356064044,-1.3506190159578595,-1.1406962806910501,-0.8281959180958851,-0.5040993449048662,-0.2934863401507613,0.04460473786429933,0.0723275442355234,0.14852654841041896,0.31325690680053453,0.5087608268041496,0.0,0.0,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.32,0.31,0.32,0.31,asymmetric,7.456196680256945,7.666119415523755,7.9786197781189205,8.30271635130994,8.513329356064045,4.994151971392504,5.204074706659314,5.516575069254479,5.840671642445498,6.051284647199603,98662.46886808924,159983.3206766626,328530.0320160933,692901.7251250071,1125342.3210013597,0.9476,0.067,0.9476,0.067
GS204851_juodzbalis25,GS-204851,5.48,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.32,0.31,0.32,0.31,asymmetric,7.456196680256945,7.666119415523755,7.9786197781189205,8.30271635130994,8.513329356064045,-0.75061901595786,-0.5406962806910505,-0.22819591809588546,0.09590065509513436,0.30651365984923923,0.17757465984436638,0.2879411398868711,0.5912948393974888,1.2470982082270154,2.0254133324745807,0.0,0.0,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.32,0.32,0.32,0.32,symmetric_reported,6.712401111738263,6.922383442310792,7.252346193824838,7.574150513196184,7.7813973669373935,3.7099869144847437,3.919969245057274,4.249931996571319,4.571736315942665,4.778983169683874,5128.459317882847,8317.048711188168,17780.00985532013,37302.36070033765,60115.044171238595,0.0097,0.0,0.0097,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.32,0.32,0.32,0.32,symmetric_reported,6.712401111738263,6.922383442310792,7.252346193824838,7.574150513196184,7.7813973669373935,-3.295646212440135,-3.0856638818676045,-2.7557011303535597,-2.433896810982214,-2.2266499572410035,0.0005062368881228371,0.0008209866934571113,0.0017550878932713122,0.0036821645313100055,0.005934034181473825,0.0,0.0,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.32,0.32,0.32,0.32,symmetric_reported,6.412401111738263,6.622383442310793,6.952346193824837,7.274150513196184,7.481397366937394,3.409986914484744,3.6199692450572742,3.949931996571319,4.271736315942665,4.478983169683875,2570.318338299713,4168.39863550367,8911.113953253538,18695.466967168875,30128.892687564425,0.0006,0.0,0.0006,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.32,0.32,0.32,0.32,symmetric_reported,6.412401111738263,6.622383442310793,6.952346193824837,7.274150513196184,7.481397366937394,-3.5956462124401347,-3.3856638818676044,-3.0557011303535595,-2.733896810982214,-2.5266499572410033,0.0002537194655183637,0.0004114680497385712,0.0008796276460013666,0.001845453855207724,0.0029740621756625426,0.0,0.0,0.0,0.0
