science_release,input_catalogue_release,physical_object_id,object_id,object_class,source_key,redshift,quality_flag,evidence_status,mass_comparability_group,growth_ranking_eligible_flag,primary_growth_ranking_flag,growth_ranking_eligibility_reason,source_caveat_tags,rank_global_navigation,rank_within_object_class,growth_pressure_tier,growth_pressure_score_0_100,required_fedd_seed1e2,required_log_mseed_fedd0p3,systematic_envelope_available_flag,required_fedd_seed1e2_systematic_low,required_fedd_seed1e2_systematic_high,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,uncertainty_pressure_tier,prob_required_fedd_seed1e2_gt_1,required_fedd_seed1e2_p16,required_fedd_seed1e2_p50,required_fedd_seed1e2_p84,followup_priority_category,most_needed_followup,followup_value_score_0_100,rank_followup_global_navigation,rank_followup_within_object_class,global_rank_policy
v2-shared-science,v2-dataset-catalogue,HZA-UNCOVER-20466,UNCOVER-20466,broad_line_agn,greene24_uncover_blagn,8.5,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,1,1,high,100.0,1.452204136497696,6.895385809419269,False,,,,,likely_high_pressure,1.0,1.3544982767343978,1.4525211315611513,1.549243339816533,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,98.0,1,1,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-RUBIES-EGS-55604,RUBIES-EGS-55604,broad_line_agn,kocevski25_lrd_blagn,6.986,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,2,2,high,100.0,1.2671353783012442,7.579324621856905,True,1.1804640117963714,1.3538067448061175,,,likely_high_pressure,1.0,1.249804823900041,1.2673198752382198,1.284154291838668,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,98.0,2,2,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-J0910-2028-12910,J0910_2028_12910,broad_line_agn,baccus26_nirspec_blagn,6.6214,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,4,4,high,97.84889190077094,1.0527834773194107,6.704970573221586,True,0.9727847328422519,1.1327822217965695,,,likely_high_pressure,1.0,1.0511878546493318,1.0527970576210994,1.0543919905977515,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,97.87093351404626,3,3,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GN-38509,GN-38509,broad_line_agn,juodzbalis25_jades_blagn,6.678,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,3,3,high,98.44540599147037,1.064544199368414,6.71850336776117,True,1.0159348751963402,1.1131535235404875,consistent,0.0064618041732414,likely_high_pressure,0.8596,1.0051768597729878,1.065384970119578,1.1239951030176132,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,97.62592435948822,4,4,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-CEERS-1019,CEERS-1019,broad_line_agn,larson23_ceers1019,8.679,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,9,9,high,80.78322437948385,1.2051026925538062,5.717739870489339,False,,,,,likely_high_pressure,0.9883,1.115177475951217,1.2057919443419598,1.2929409043815228,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,96.82359346276904,5,5,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-CEERS-00717,CEERS-00717,broad_line_agn,harikane23_nirspec_blagn,6.936,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,8,8,high,81.93378689127388,1.0273631809780568,6.241730032955669,False,,,consistent,0.018489525501202,likely_high_pressure,0.8208,0.998048900260025,1.0275987680254794,1.0550756170605327,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,96.55762721347644,6,6,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-ZS7,ZS7,broad_line_agn,ubler24_zs7_offset_blagn,7.15,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,13,13,high,74.76582451026886,1.0233657049844471,6.029043086287528,False,,,,,likely_high_pressure,0.6249,0.953555566973486,1.0220268994417852,1.0931447567939125,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,95.73574947061613,7,7,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-J0226-3325-6699,J0226_3325_6699,broad_line_agn,baccus26_nirspec_blagn,6.5405,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,7,7,high,86.45843687231681,0.989823272082769,6.3905682324248705,True,0.9112658695365174,1.0683806746290203,,,likely_high_pressure,0.0,0.9882214219961798,0.9898081737123765,0.9913906860171949,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,95.187506212339,8,8,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GOODS-N-9771,GOODS-N-9771,broad_line_agn,matthee23_eiger_fresco_blagn,5.538,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,halpha_absorption_fit;blueshifted_absorption_340_km_s;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,10,10,high,75.85749677304578,0.8099785765046903,6.124009909645282,True,0.7481481508173095,0.8718090021920714,not_evaluable,,likely_high_pressure,0.0,0.8061988529649174,0.8099278028859704,0.8136036995032938,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,94.55144980638275,9,9,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-UNCOVER-13821,UNCOVER-13821,broad_line_agn,greene24_uncover_blagn,6.34,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,12,12,high,75.72326299642503,0.9155545348559576,6.101211363899901,False,,,,,likely_high_pressure,0.0013,0.8859482480442412,0.9152855284915844,0.9457404049545555,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,94.5459957797855,10,10,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GS-20057765,GS-20057765,broad_line_agn,juodzbalis25_jades_blagn,8.913,tentative,probable,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,5,5,high,93.77309018057997,1.3553650821669596,6.150244064836379,False,,,consistent,-0.0220592787844985,likely_high_pressure,0.9797,1.1773841261281204,1.3554576697324894,1.5128604451061813,B_caveated_high_pressure,"resolve measurement or comparability caveats, then re-evaluate growth pressure",87.5857854108348,11,11,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,broad_line_agn,taylor24_ceers_rubies_blagn,6.685,robust,candidate,virial_balmer_single_epoch,True,False,eligible_numeric_mass_with_resolved_identity_and_lensing,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit;alternative_non_agn_compact_galaxy_broadening,6,6,high,87.49084949824412,1.0158950168929186,6.411383785950835,True,0.9347532423807046,1.0970367914051327,not_evaluable,,likely_high_pressure,1.0,1.014311578216197,1.0159942964755455,1.0191941291597106,B_caveated_high_pressure,"resolve measurement or comparability caveats, then re-evaluate growth pressure",87.24945096989465,12,12,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GS-20030333,GS-20030333,broad_line_agn,juodzbalis25_jades_blagn,7.891,tentative,probable,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,14,14,high,74.67999599624905,1.1332146730828314,5.985143887894973,False,,,consistent,-0.016539467890489,likely_high_pressure,0.9072,1.0328987525735214,1.134731937770417,1.2709233292519844,B_caveated_high_pressure,"resolve measurement or comparability caveats, then re-evaluate growth pressure",86.29519975977495,13,13,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GS-164055,GS-164055,broad_line_agn,juodzbalis25_jades_blagn,7.397,tentative,probable,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,11,11,high,75.7772436255635,1.064628309775132,6.043530821515778,False,,,consistent,-0.0025082001627724,likely_high_pressure,0.6959,0.94090670157404,1.0656469150399959,1.1759158706569128,B_caveated_high_pressure,"resolve measurement or comparability caveats, then re-evaluate growth pressure",85.93843461753382,14,14,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GN-4685,GN-4685,broad_line_agn,juodzbalis25_jades_blagn,7.415,tentative,probable,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,18,18,high,66.38166725891102,1.0173652371980322,5.779446683249509,False,,,consistent,-0.016416941107096,likely_high_pressure,0.5846,0.938434213927488,1.0176554097005428,1.1021587215435031,B_caveated_high_pressure,"resolve measurement or comparability caveats, then re-evaluate growth pressure",85.15210003553466,15,15,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GN-11836,GN-11836,broad_line_agn,juodzbalis25_jades_blagn,4.409,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,198,198,low,5.701111137430049,0.36841333364916057,2.7539307328113716,True,0.3411906735273014,0.3956359937710197,inconsistent,-0.9082367697242087,lower_pressure,0.0,0.3393665448649372,0.3686237273428136,0.39749221271102747,C_source_consistency,resolve the published mass/luminosity/Eddington-ratio inconsistency,70.3420666682458,16,16,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-UNCOVER-41225,UNCOVER-41225,broad_line_agn,greene24_uncover_blagn,6.76,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,16,16,medium,68.72855707867718,0.940511078290928,5.881839598202961,False,,,,,possible_high_pressure,0.1846,0.8756578764087026,0.9407889835629629,1.006079814492192,D_uncertainty_leverage,reduce black-hole mass uncertainty near the high-pressure boundary,64.49291342472064,17,17,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-GN-954,GN-954,broad_line_agn,juodzbalis25_jades_blagn,6.759,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,17,17,medium,68.7122265884922,0.9403035606779888,5.881438344477782,True,0.8908138995896736,0.9897932217663039,consistent,-0.0079016188648425,possible_high_pressure,0.1197,0.8878452607631242,0.9406416328460998,0.9912452894181422,D_uncertainty_leverage,reduce black-hole mass uncertainty near the high-pressure boundary,64.36213359530953,18,18,navigation_only_no_cross_class_demographic_inference
v2-shared-science,v2-dataset-catalogue,HZA-UNCOVER-4286,UNCOVER-4286,broad_line_agn,greene24_uncover_blagn,5.84,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,22,22,medium,62.483735110062135,0.799838106753029,5.7495445830817395,False,,,,,possible_high_pressure,0.0,0.760103208127291,0.7999486051016134,0.8385968583097946,D_uncertainty_leverage,reduce black-hole mass uncertainty near the high-pressure boundary,63.74902410660373,19,19,navigation_only_no_cross_class_demographic_inference
