science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,object_class,redshift,log_mseed_assumption,z_seed,epsilon,merger_boost,burst_scenario,burst_fedd,quiescent_fedd,required_lifetime_average_fedd_point,required_duty_cycle_point,required_duty_cycle_p5,required_duty_cycle_p16,required_duty_cycle_p50,required_duty_cycle_p84,required_duty_cycle_p95,prob_required_duty_cycle_gt_1,fixed_burst_scenario_feasible_point,reported_current_fedd,current_fedd_comparison_eligible_flag,current_to_required_fedd_ratio,current_fedd_is_instantaneous_not_history,n_samples,random_seed,reported_mass_errors_sampled,reported_mass_error_scope,reported_mass_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,additional_systematic_scatter_added
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-A2744-QSO1,UNCOVER13123_greene24,HZA-A2744-QSO1,A2744-QSO1,greene24_uncover_blagn,broad_line_agn,7.04,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.9294569388960372,0.9294569388960372,0.8712540846343952,0.8942003338651119,0.9288231484328373,0.963610824991611,0.9874341874057984,0.0225,True,,False,,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.2,0.2,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-A2744-QSO1,UNCOVER13123_greene24,HZA-A2744-QSO1,A2744-QSO1,greene24_uncover_blagn,broad_line_agn,7.04,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.9294569388960372,0.4647284694480186,0.4356270423171976,0.44710016693255594,0.46441157421641865,0.4818054124958055,0.4937170937028992,0.0,True,,False,,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.2,0.2,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-A2744-QSO1,UNCOVER13123_greene24,HZA-A2744-QSO1,A2744-QSO1,greene24_uncover_blagn,broad_line_agn,7.04,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.9294569388960372,0.3098189796320124,0.29041802821146506,0.2980667779550373,0.3096077161442791,0.321203608330537,0.3291447291352661,0.0,True,,False,,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.2,0.2,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-100182,AURORA1914100182_baccus26,HZA-AURORA-1914-100182,AURORA_1914_100182,baccus26_nirspec_blagn,broad_line_agn,6.7325,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.7216103543326075,0.7216103543326075,0.7048207992982918,0.711368759222588,0.7214019758621776,0.7283927400812374,0.732791621872315,0.0,True,0.8687,True,1.2038352758995965,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0415,0.0622,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-100182,AURORA1914100182_baccus26,HZA-AURORA-1914-100182,AURORA_1914_100182,baccus26_nirspec_blagn,broad_line_agn,6.7325,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.7216103543326075,0.3608051771663037,0.3524103996491459,0.355684379611294,0.3607009879310888,0.3641963700406187,0.3663958109361575,0.0,True,0.8687,True,1.2038352758995965,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0415,0.0622,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-100182,AURORA1914100182_baccus26,HZA-AURORA-1914-100182,AURORA_1914_100182,baccus26_nirspec_blagn,broad_line_agn,6.7325,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.7216103543326075,0.24053678477753582,0.23494026643276394,0.23712291974086266,0.2404673252873925,0.24279758002707916,0.24426387395743832,0.0,True,0.8687,True,1.2038352758995965,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0415,0.0622,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-8769,AURORA19148769_baccus26,HZA-AURORA-1914-8769,AURORA_1914_8769,baccus26_nirspec_blagn,broad_line_agn,4.5302,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.41285673434944525,0.41285673434944525,0.4113049217102671,0.41192428147932175,0.4128445473650034,0.4137749302584009,0.41438491751877304,0.0,True,0.5263,True,1.274776347851784,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.01,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-8769,AURORA19148769_baccus26,HZA-AURORA-1914-8769,AURORA_1914_8769,baccus26_nirspec_blagn,broad_line_agn,4.5302,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.41285673434944525,0.20642836717472263,0.20565246085513356,0.20596214073966088,0.2064222736825017,0.20688746512920045,0.20719245875938652,0.0,True,0.5263,True,1.274776347851784,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.01,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-8769,AURORA19148769_baccus26,HZA-AURORA-1914-8769,AURORA_1914_8769,baccus26_nirspec_blagn,broad_line_agn,4.5302,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.41285673434944525,0.13761891144981508,0.13710164057008906,0.13730809382644057,0.13761484912166783,0.1379249767528003,0.13812830583959104,0.0,True,0.5263,True,1.274776347851784,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.01,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-927605,AURORA1914927605_baccus26,HZA-AURORA-1914-927605,AURORA_1914_927605,baccus26_nirspec_blagn,broad_line_agn,4.0472,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.35081135017779325,0.35081135017779325,0.34863628934820845,0.34951123196601164,0.35084536452138343,0.35186480886990007,0.35256056242516404,0.0,True,0.6152,True,1.7536490757445933,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0131,0.0162,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-927605,AURORA1914927605_baccus26,HZA-AURORA-1914-927605,AURORA_1914_927605,baccus26_nirspec_blagn,broad_line_agn,4.0472,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.35081135017779325,0.17540567508889662,0.17431814467410423,0.17475561598300582,0.17542268226069171,0.17593240443495003,0.17628028121258202,0.0,True,0.6152,True,1.7536490757445933,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0131,0.0162,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-927605,AURORA1914927605_baccus26,HZA-AURORA-1914-927605,AURORA_1914_927605,baccus26_nirspec_blagn,broad_line_agn,4.0472,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.35081135017779325,0.11693711672593109,0.11621209644940282,0.11650374398867056,0.11694845484046115,0.11728826962330004,0.11752018747505467,0.0,True,0.6152,True,1.7536490757445933,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0131,0.0162,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-928583,AURORA1914928583_baccus26,HZA-AURORA-1914-928583,AURORA_1914_928583,baccus26_nirspec_blagn,broad_line_agn,4.3807,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.4372974497315941,0.4372974497315941,0.435624303210096,0.4362723966045028,0.4372849706710158,0.4381760488409686,0.4387581116019026,0.0,True,0.2463,True,0.5632321893282818,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.0113,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-928583,AURORA1914928583_baccus26,HZA-AURORA-1914-928583,AURORA_1914_928583,baccus26_nirspec_blagn,broad_line_agn,4.3807,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.4372974497315941,0.21864872486579706,0.217812151605048,0.2181361983022514,0.2186424853355079,0.2190880244204843,0.2193790558009513,0.0,True,0.2463,True,0.5632321893282818,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.0113,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-AURORA-1914-928583,AURORA1914928583_baccus26,HZA-AURORA-1914-928583,AURORA_1914_928583,baccus26_nirspec_blagn,broad_line_agn,4.3807,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.4372974497315941,0.14576581657719803,0.145208101070032,0.14542413220150094,0.1457616568903386,0.1460586829469895,0.14625270386730085,0.0,True,0.2463,True,0.5632321893282818,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.0113,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-BLUEJAY-1810-19945,BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,BLUEJAY_1810_19945,baccus26_nirspec_blagn,broad_line_agn,6.9894,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.8586762166931999,0.8586762166931999,0.8483224386768804,0.8524494052290418,0.8587293849713464,0.8637719460972558,0.8672280377607278,0.0,True,0.3739,True,0.43543770367823326,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0294,0.0357,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-BLUEJAY-1810-19945,BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,BLUEJAY_1810_19945,baccus26_nirspec_blagn,broad_line_agn,6.9894,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.8586762166931999,0.42933810834659997,0.4241612193384402,0.4262247026145209,0.4293646924856732,0.4318859730486279,0.4336140188803639,0.0,True,0.3739,True,0.43543770367823326,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0294,0.0357,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-BLUEJAY-1810-19945,BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,BLUEJAY_1810_19945,baccus26_nirspec_blagn,broad_line_agn,6.9894,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.8586762166931999,0.28622540556439996,0.2827741462256268,0.2841498017430139,0.2862431283237821,0.2879239820324186,0.2890760125869093,0.0,True,0.3739,True,0.43543770367823326,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0294,0.0357,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,eddington,1.0,0.0,1.0273631809780568,1.0273631809780568,0.9782494480807369,0.9974381152271707,1.0277079500215456,1.0551491000790882,1.0727523602668834,0.8212,False,0.06,True,0.05840193722231664,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.16106227,0.17168214,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,1.0273631809780568,0.5136815904890284,0.48912472404036844,0.49871905761358537,0.5138539750107728,0.5275745500395441,0.5363761801334417,0.0,True,0.06,True,0.05840193722231664,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.16106227,0.17168214,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,1.0273631809780568,0.34245439365935226,0.3260831493602456,0.3324793717423903,0.34256931667384855,0.35171636669302936,0.3575841200889611,0.0,True,0.06,True,0.05840193722231664,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.16106227,0.17168214,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-CEERS-01236,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,broad_line_agn,4.484,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.48758132134723814,0.48758132134723814,0.4607117140055722,0.4715473715650915,0.4877193262695505,0.5051528436889142,0.5167017817427533,0.0,True,0.08,True,0.1640751942239125,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.19188553,0.17609126,False
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-CEERS-01236,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,broad_line_agn,4.484,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.48758132134723814,0.24379066067361907,0.2303558570027861,0.23577368578254576,0.24385966313477525,0.2525764218444571,0.25835089087137664,0.0,True,0.08,True,0.1640751942239125,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.19188553,0.17609126,False
