science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,survey,field,object_class,mass_comparability_group,evidence_status,evidence_status_basis,primary_growth_ranking_flag,redshift,mbh_method,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,log_mbh_systematic_dex,mbh_systematic_kind,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,systematic_combined_with_statistical_error,required_fedd_seed1e2_p5,required_fedd_seed1e2_p16,required_fedd_seed1e2_p50,required_fedd_seed1e2_p84,required_fedd_seed1e2_p95,prob_required_fedd_seed1e2_gt_1,required_log_mseed_fedd0p3_p5,required_log_mseed_fedd0p3_p16,required_log_mseed_fedd0p3_p50,required_log_mseed_fedd0p3_p84,required_log_mseed_fedd0p3_p95,prob_required_log_mseed_fedd0p3_gt_1e5,prob_required_log_mseed_fedd0p3_gt_1e6,uncertainty_pressure_score_0_100,uncertainty_pressure_tier,required_fedd_seed1e2,rank_uncertainty_global_navigation,rank_uncertainty_within_object_class,rank_uncertainty_within_mass_group,rank_uncertainty_within_class_mass_group,rank_uncertainty_primary_within_class_mass_group
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-RUBIES-EGS-49140,RUBIESEGS49140_taylor24,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,taylor24_ceers_rubies_blagn,RUBIES,EGS,broad_line_agn,virial_balmer_single_epoch,candidate,robust_broad_line_with_recorded_alternative_non_agn_interpretation,False,6.685,single-epoch-virial-halpha-reines2013,8.26,0.02,0.01,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,10000,20260808,True,split_normal_in_log_mbh,0.02,0.01,asymmetric,False,1.0132569970284784,1.014311578216197,1.0159942964755455,1.0191941291597106,1.0212667578473673,1.0,6.395128164969543,6.401626551245034,6.411995552104728,6.431713094045368,6.44448474403772,1.0,1.0,100.0,likely_high_pressure,1.0159942964755455,1,1,1,1,
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-GOODS-N-9771,GOODSN9771_matthee23,HZA-GOODS-N-9771,GOODS-N-9771,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,5.538,single-epoch-virial-halpha-reines2013,8.55,0.03,0.03,0.5,Reines et al. (2013) Halpha single-epoch estimator intrinsic/calibration uncertainty,10000,20260808,True,split_normal_in_log_mbh,0.03,0.03,symmetric_reported,False,0.8037122928661218,0.8061988529649174,0.8099278028859704,0.8136036995032938,0.8159397730282885,0.0,6.073336769610217,6.093444670139384,6.123599321992396,6.153324951215045,6.172215921954969,1.0,1.0,100.0,likely_high_pressure,0.8099278028859704,2,2,2,2,1
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,8.913,single-epoch-virial-hbeta,7.33,0.62,0.7,,,10000,20260808,True,split_normal_in_log_mbh,0.62,0.7,asymmetric,False,1.0674496374907705,1.1773841261281204,1.3554576697324894,1.5128604451061813,1.6146977973224,0.9797,5.018010882563021,5.450330434059992,6.150608167269565,6.76959769546403,7.170075097792137,0.9522,0.5823,97.97,likely_high_pressure,1.3554576697324894,3,3,3,3,2
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-GN-38509,GN38509_juodzbalis25,HZA-GN-38509,GN-38509,juodzbalis25_jades_blagn,JADES,GOODS-N,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,6.678,single-epoch-virial-halpha,8.57,0.37,0.38,0.3,source_stated_single_epoch_virial_calibration_uncertainty,10000,20260808,True,split_normal_in_log_mbh,0.37,0.38,asymmetric,False,0.9652966994902614,1.0051768597729878,1.065384970119578,1.1239951030176132,1.1637104540824574,0.8596,6.105981995152761,6.352108603341469,6.7236923151420545,7.085413860727997,7.33052332321047,1.0,0.9727,97.27,likely_high_pressure,1.065384970119578,4,4,4,4,3
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,CEERS,EGS,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,6.936,single-epoch-virial-halpha-greeneho2005,7.99122608,0.16106227,0.17168214,,not numerically specified by Harikane et al. (2023),10000,20260808,True,split_normal_in_log_mbh,0.16106227,0.17168214,asymmetric,False,0.9792318226170693,0.998048900260025,1.0275987680254794,1.0550756170605327,1.0736684248692951,0.8208,5.961044628984265,6.070779305495188,6.243103894983005,6.403339357556536,6.511766170106154,1.0,0.9235,92.35,likely_high_pressure,1.0275987680254794,5,5,5,5,4
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,7.891,single-epoch-virial-hbeta,7.42,0.65,0.48,,,10000,20260808,True,split_normal_in_log_mbh,0.65,0.48,asymmetric,False,0.9667503975063989,1.0328987525735214,1.134731937770417,1.2709233292519844,1.3569644379481591,0.9072,5.188969610368375,5.505347515614221,5.992400742930517,6.643784244541902,7.055306280225232,0.9799,0.4951,90.72,likely_high_pressure,1.134731937770417,6,6,6,6,5
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-GS-164055,GS164055_juodzbalis25,HZA-GS-164055,GS-164055,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,7.397,single-epoch-virial-hbeta,7.63,0.59,0.66,,,10000,20260808,True,split_normal_in_log_mbh,0.59,0.66,asymmetric,False,0.8611452339610903,0.94090670157404,1.0656469150399959,1.1759158706569128,1.2446018221576303,0.6959,4.967465394441961,5.389262427770666,6.048917441041605,6.632045105807883,6.995272255977051,0.9428,0.5278,69.59,likely_high_pressure,1.0656469150399959,7,7,7,7,6
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-GN-4685,GN4685_juodzbalis25,HZA-GN-4685,GN-4685,juodzbalis25_jades_blagn,JADES,GOODS-N,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,7.415,single-epoch-virial-hbeta,7.36,0.45,0.42,,,10000,20260808,True,split_normal_in_log_mbh,0.45,0.42,asymmetric,False,0.8881346490638391,0.938434213927488,1.0176554097005428,1.1021587215435031,1.1588146759045637,0.5846,5.098593900912457,5.36359771450028,5.780975460287086,6.226182092986393,6.524674614916521,0.9699,0.3176,58.46,likely_high_pressure,1.0176554097005428,8,8,8,8,7
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-RUBIES-UDS-807469,RUBIESUDS807469_taylor24,HZA-RUBIES-UDS-807469,RUBIES-UDS-807469,taylor24_ceers_rubies_blagn,RUBIES,UDS,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,6.778,single-epoch-virial-halpha-reines2013,7.43,0.13,0.11,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,10000,20260808,True,split_normal_in_log_mbh,0.13,0.11,asymmetric,False,0.8690898404994244,0.8811286169587222,0.8997629605104518,0.9209199719371269,0.9352559875001418,0.0,5.435329448442367,5.508001916567165,5.620488741317841,5.748203733262356,5.834743560425204,1.0,0.0013,50.0,likely_high_pressure,0.8997629605104518,9,9,9,9,8
v2-shared-science,v2-dataset-catalogue,physical_object,HZA-RUBIES-UDS-139709,RUBIESUDS139709_taylor24,HZA-RUBIES-UDS-139709,RUBIES-UDS-139709,taylor24_ceers_rubies_blagn,RUBIES,UDS,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,5.685,single-epoch-virial-halpha-reines2013,7.88,0.07,0.07,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,10000,20260808,True,split_normal_in_log_mbh,0.07,0.07,symmetric_reported,False,0.7397057824745739,0.7453936326336014,0.7545337965335424,0.7634588919230654,0.7693186716949106,0.0,5.426893963649765,5.471222831162993,5.54245767442387,5.612016358285671,5.657685177593533,1.0,0.0,50.0,likely_high_pressure,0.7545337965335424,10,10,10,10,9
