source_key,catalogue_measurements,catalogue_objects,growth_plottable_measurements,growth_plottable_objects,selection_model_status,parent_sample_n,published_selected_n,survey_area_arcmin2,completeness_kind,completeness_value,completeness_scope,published_threshold,inverse_weighting_allowed,demographic_use,verification_date,notes,pooled_demographic_inference_allowed,catalogue_inverse_probability_weight,inference_gate_reason,science_release,input_catalogue_release
baccus26_nirspec_blagn,49,49,49,49,source_local_partial,not_reported,111,not_reported,compiled spectroscopic census,not_reported,published JWST/NIRSpec broad-line census,not_reported,false,descriptive_only,2026-09-03,Compilation provides census membership rather than a uniform parent selection function; 49 new mass-bearing objects are retained.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
davis26_thrils_blagn,6,6,6,6,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
fei26_glimpse_blagn,10,10,10,10,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
greene24_uncover_blagn,9,9,9,9,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
harikane23_nirspec_blagn,10,10,10,10,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
juodzbalis25_jades_blagn,23,23,23,23,source_local_partial,not_reported,34 over z=1.5-9,not_reported,published source-local selection analysis,not_reported,JADES spectroscopy with paper-defined broad-line cuts,not_reported,false,source_local_luminosity_function_only,2026-09-03,The atlas uses the z>=4 subset; source-local luminosity-function results cannot be pooled across surveys.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
killi24_j0647_lrd_blagn,1,1,1,1,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
kocevski25_lrd_blagn,6,6,6,6,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
larson23_ceers1019,1,1,1,1,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
lin24_aspire_blagn,16,16,16,16,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
matthee23_eiger_fresco_blagn,20,20,20,20,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
ren25_alpine_cristal_jwst_blagn_candidates,7,7,7,7,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
skyfire26_ceers_blagn,22,22,22,22,source_local_partial,178,34,not_reported,spectroscopic completeness,0.73,photometric LRDs with beta_opt > -0.02 in the CEERS study,not_reported,false,source_local_fraction_only,2026-09-03,Published 73% completeness is phenotype- and source-local; it is not a weight for the atlas union catalogue.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
taylor24_ceers_rubies_blagn,37,36,37,36,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
ubler24_zs7_offset_blagn,1,1,1,1,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v2-shared-science,v2-dataset-catalogue
