release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,seed_model,spin_case,merger_case,f_edd_avg,required_log_mseed,compatible,status
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,2.4549120083918137,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,-8.85029330536062,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,-37.056140569471616,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,2.1538820127278324,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,-9.1513233010246,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,-37.3571705651356,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,0.3,4.166557677316373,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,1.0,-3.1448077422787604,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,2.0,-21.54702284081076,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_0_eps0p057,merger_boost_x2,0.3,3.865527681652391,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_0_eps0p057,merger_boost_x2,1.0,-3.4458377379427416,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_0_eps0p057,merger_boost_x2,2.0,-21.848052836474743,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,no_merger_boost,0.3,7.040352517078171,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,no_merger_boost,1.0,6.43450839026057,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,no_merger_boost,2.0,4.492258131335479,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,merger_boost_x2,0.3,6.73932252141419,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,merger_boost_x2,1.0,6.1334783945965885,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,merger_boost_x2,2.0,4.191228135671498,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,2.4549120083918137,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,-8.85029330536062,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,-37.056140569471616,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,2.1538820127278324,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,-9.1513233010246,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,-37.3571705651356,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,no_merger_boost,0.3,4.166557677316373,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,no_merger_boost,1.0,-3.1448077422787604,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,no_merger_boost,2.0,-21.54702284081076,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,0.3,3.865527681652391,True,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,1.0,-3.4458377379427416,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,2.0,-21.848052836474743,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,0.3,7.040352517078171,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,1.0,6.43450839026057,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,2.0,4.492258131335479,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,0.3,6.73932252141419,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,1.0,6.1334783945965885,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,2.0,4.191228135671498,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,2.4549120083918137,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,-8.85029330536062,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,-37.056140569471616,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,2.1538820127278324,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,-9.1513233010246,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,-37.3571705651356,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_0_eps0p057,no_merger_boost,0.3,4.166557677316373,True,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,heavy_seeds,spin_0_eps0p057,no_merger_boost,1.0,-3.1448077422787604,False,calculated
