measurement_id,physical_object_id,object_id,match_status,frozen_redshift,published_redshift,frozen_log_mbh_msun_std,published_log_mbh_msun_std,frozen_log_mbh_err_plus_std,published_log_mbh_err_plus_std,frozen_log_mbh_err_minus_std,published_log_mbh_err_minus_std,position_check_arcsec,frozen_v1_measurements_required_fedd_seed1e2,frozen_v1_measurements_growth_pressure_tier,frozen_v1_measurements_rank_global_navigation,frozen_v1_measurements_prob_required_fedd_seed1e2_gt_1,frozen_v1_measurements_required_fedd_seed1e2_p16,frozen_v1_measurements_required_fedd_seed1e2_p84,published_values_keep_unmatched_required_fedd_seed1e2,published_values_keep_unmatched_growth_pressure_tier,published_values_keep_unmatched_rank_global_navigation,published_values_keep_unmatched_prob_required_fedd_seed1e2_gt_1,published_values_keep_unmatched_required_fedd_seed1e2_p16,published_values_keep_unmatched_required_fedd_seed1e2_p84,delta_log_mbh_dex
AURORA1914100182_baccus26,HZA-AURORA-1914-100182,AURORA_1914_100182,exact_id,6.7325,6.7325,6.4,6.44,0.0415,0.0746,0.0622,0.0485,0.0,0.7216103543326075,medium,64,0.0,0.7118148047604332,0.7284145677683147,0.7281704484629038,medium,61,0.0,0.7205324395521248,0.7404016369521509,0.040000000000000036
AURORA19148769_baccus26,HZA-AURORA-1914-8769,AURORA_1914_8769,exact_id,4.5302,4.5302,6.39,6.37,0.01,0.0072,0.01,0.0067,0.0,0.41285673434944525,low,213,0.0,0.41192704974681127,0.41381666092724656,0.4109758380653932,low,213,0.0,0.4103529493816285,0.41166698520141015,-0.019999999999999574
AURORA1914927605_baccus26,HZA-AURORA-1914-927605,AURORA_1914_927605,exact_id,4.0472,4.0472,6.32,6.31,0.0131,0.0158,0.0162,0.0134,0.0,0.35081135017779325,low,229,0.0,0.34954309256774857,0.35186671652589496,0.3499992868671964,low,230,0.0,0.34895023427617183,0.3512721714702505,-0.010000000000000675
AURORA1914928583_baccus26,HZA-AURORA-1914-928583,AURORA_1914_928583,exact_id,4.3807,4.3807,6.86,6.85,0.01,0.0109,0.0113,0.0098,0.0,0.4372974497315941,low,198,0.0,0.43629698739270956,0.43819470840403024,0.4363976607403769,low,198,0.0,0.43553000313674234,0.4373756726933321,-0.010000000000000675
BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,BLUEJAY_1810_19945,exact_id,6.9894,6.9894,6.95,6.94,0.0294,0.0348,0.0357,0.0305,0.0,0.8586762166931999,medium,43,0.0,0.8525601592900212,0.8637583632021832,0.8569415172655371,medium,43,0.0,0.851716314161981,0.862957119255762,-0.009999999999999787
EGS410647962_baccus26,HZA-EGS-4106-47962,EGS_4106_47962,exact_id,6.7273,6.7273,6.89,6.89,0.029,0.0321,0.0333,0.0305,0.0,0.8010490454491522,medium,52,0.0,0.7955889284874573,0.8057956691172394,0.8010490454491522,medium,52,0.0,0.7960480374211735,0.8063030668196902,0.0
EGS410671365_baccus26,HZA-EGS-4106-71365,EGS_4106_71365,exact_id,4.8004,4.8004,5.79,5.77,0.0267,0.0286,0.0299,0.0266,0.0,0.3850835382191109,low,222,0.0,0.3819824849183458,0.3877750566370068,0.3830514351150522,low,222,0.0,0.3802926385331007,0.38593448480613174,-0.020000000000000462
EXCELS354342268_baccus26,HZA-EXCELS-3543-42268,EXCELS_3543_42268,exact_id,4.1204,4.1204,6.86,6.86,0.01,0.0056,0.01,0.0049,0.0,0.4038505048752168,low,217,0.0,0.40302115041626674,0.40467873938173027,0.4038505048752168,low,216,0.0,0.40344412119033135,0.4043143161988644,0.0
EXCELS354389922_baccus26,HZA-EXCELS-3543-89922,EXCELS_3543_89922,absent_from_published_table,4.1427,,5.93,,0.0203,,0.0182,,46.65017714218075,0.32884919198538615,low,232,0.0,0.32733019341439096,0.3305181653654764,0.32884919198538615,low,232,0.0,0.32733019341439096,0.3305181653654764,
GDN267414_baccus26,HZA-GDN-2674-14,GDN_2674_14,exact_id,5.18,5.18,7.69,7.69,0.01,0.0032,0.01,0.004,0.0,0.6412263111335222,medium,62,0.0,0.6400988385579107,0.6423474914861949,0.6412263111335222,medium,63,0.0,0.6407753221032776,0.6415850888463774,0.0
GDN267432_baccus26,HZA-GDN-2674-32,GDN_2674_32,exact_id,5.2197,5.2197,6.51,6.51,0.0188,0.0176,0.0184,0.0193,0.0,0.5136220066783439,low,160,0.0,0.5115693911208334,0.5157750138090876,0.5136220066783439,low,160,0.0,0.5114689914468246,0.515637587822019,0.0
GDN26743761_baccus26,HZA-GDN-2674-3761,GDN_2674_3761,exact_id,4.1393,4.1393,5.91,5.87,0.0326,0.0361,0.0404,0.0332,0.0,0.3268295379461452,low,234,0.0,0.3235323727172356,0.3295691470490176,0.32348601326127413,low,233,0.0,0.3207764616375167,0.3265197521758046,-0.040000000000000036
GDN2674934_baccus26,HZA-GDN-2674-934,GDN_2674_934,exact_id,5.5362,5.5362,6.41,6.4,0.0164,0.0219,0.022,0.0172,0.0,0.5450956284644709,low,138,0.0,0.5423664206490052,0.5470318137391461,0.5438595839554814,low,139,0.0,0.5417258396633897,0.5464450996576389,-0.009999999999999787
GDN476233609_baccus26,HZA-GDN-4762-33609,GDN_4762_33609,exact_id,7.1883,7.1883,7.39,7.39,0.0218,0.0235,0.0242,0.0223,0.0,0.9756014738928815,medium,23,0.0,0.971290340744093,0.9794853826463064,0.9756014738928815,medium,23,0.0,0.9716288181400722,0.9797882562646927,0.0
GDN476237583_baccus26,HZA-GDN-4762-37583,GDN_4762_37583,exact_id,4.3359,4.3359,6.03,5.98,0.0287,0.0265,0.0276,0.0296,0.0,0.35776980176414425,low,227,0.0,0.35530675342900625,0.36032353387269833,0.35333097047674794,low,228,0.0,0.35068944037819405,0.3556889461170504,-0.04999999999999982
GDS12109515_baccus26,HZA-GDS-1210-9515,GDS_1210_9515,absent_from_published_table,4.6477,,5.59,,0.0196,,0.025,,21.40564552306631,0.34930297183065406,low,231,0.0,0.34689471752191586,0.3511511649024619,0.34930297183065406,low,231,0.0,0.34689471752191586,0.3511511649024619,
GOODSN12112066_baccus26,HZA-GOODSN-1211-2066,GOODSN_1211_2066,exact_id,4.7017,4.7017,6.57,6.57,0.0419,0.0448,0.0472,0.0441,0.0,0.4515694794884188,low,195,0.0,0.4469999636248868,0.4557052963445907,0.4515694794884188,low,193,0.0,0.447300080132873,0.45599154619859794,0.0
GTO12133848_baccus26,HZA-GTO-1213-3848,GTO_1213_3848,exact_id,4.6348,4.6348,6.82,6.81,0.046,0.0507,0.0535,0.0479,0.0,0.4672464601644426,low,190,0.0,0.462170150024592,0.4717123722966278,0.4662770691682508,low,191,0.0,0.4617321111178051,0.4711992810182897,-0.010000000000000675
GTO12151472_baccus26,HZA-GTO-1215-1472,GTO_1215_1472,exact_id,4.5563,4.5563,8.02,8.01,0.01,0.0034,0.01,0.0036,0.0,0.5704743175613973,low,89,0.0,0.5695484113166388,0.5714255877327217,0.5695266858046507,low,92,0.0,0.5691933595565377,0.5698501176629011,-0.009999999999999787
GTO12154446_baccus26,HZA-GTO-1215-4446,GTO_1215_4446,exact_id,4.6867,4.6867,7.33,7.33,0.01,0.0091,0.01,0.009,0.0,0.5244206996996679,low,153,0.0,0.5234134590237295,0.525427749144083,0.5244206996996679,low,153,0.0,0.5235141830913234,0.5253371146940856,0.0
GTO12156001_baccus26,HZA-GTO-1215-6001,GTO_1215_6001,exact_id,4.5825,4.5825,6.38,6.36,0.0207,0.0286,0.03,0.0207,0.0,0.41823238739660384,low,209,0.0,0.4153256800599178,0.42022458828719955,0.4163226504678522,low,210,0.0,0.41431702240553886,0.4190751599108976,-0.019999999999999574
J0226332510867_baccus26,HZA-J0226-3325-10867,J0226_3325_10867,exact_id,6.5341,6.5341,6.73,6.73,0.0519,0.0571,0.0595,0.0554,0.0,0.7420800298741983,medium,59,0.0,0.7328391762151841,0.7500914228214103,0.7420800298741983,medium,59,0.0,0.7334759409210996,0.7508941057371231,0.0
J022633253190_baccus26,HZA-J0226-3325-3190,J0226_3325_3190,exact_id,5.7345,5.7345,6.19,6.14,0.0347,0.0458,0.0468,0.0355,0.0,0.5442613951055991,low,139,0.0,0.5381090649130964,0.5486272298944792,0.5377666290542196,low,142,0.0,0.5330997973911031,0.543529027709283,-0.05000000000000071
J022633256699_baccus26,HZA-J0226-3325-6699,J0226_3325_6699,exact_id,6.5405,6.5405,8.3,8.29,0.01,0.0027,0.01,0.0031,0.0,0.989823272082769,high,9,0.0,0.9882214219961798,0.9913906860171949,0.9882521240318435,high,9,0.0,0.987755550505001,0.9886753257941387,-0.010000000000001563
J022633259556_baccus26,HZA-J0226-3325-9556,J0226_3325_9556,exact_id,6.5391,6.5391,6.78,6.79,0.0375,0.035,0.0366,0.0395,0.0,0.750771497148949,medium,57,0.0,0.7450631911466569,0.7565854427055514,0.7523421488166244,medium,57,0.0,0.7461815453442054,0.7577684980027867,0.009999999999999787
