science_release,input_catalogue_release,catalogue_view,stratum_dimension,stratum_value,n_rows,n_physical_objects,n_primary,n_high_pressure,median_required_fedd_seed1e2,median_required_log_mseed_fedd0p3,top_ranking_id,demographic_inference_allowed,comparison_policy
v3-shared-science,v3-dataset-catalogue,measurement,evidence_status,evidence_status=candidate,7,7,0,1,0.5143421637815957,3.9095721510127524,RUBIESEGS49140_taylor24,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,evidence_status,evidence_status=probable,10,10,10,4,0.6905950351625576,5.208606301937976,GS20057765_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,evidence_status,evidence_status=secure,102,96,102,3,0.5742022433064524,4.5301343635339695,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,mass_comparability_group,mass_comparability_group=virial_balmer_single_epoch,119,112,112,8,0.5742520556678291,4.538261134476657,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,object_class,object_class=broad_line_agn,119,112,112,8,0.5742520556678291,4.538261134476657,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,object_class_x_mass_group,object_class=broad_line_agn;mass_comparability_group=virial_balmer_single_epoch,119,112,112,8,0.5742520556678291,4.538261134476657,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,source_key,source_key=davis26_thrils_blagn,6,6,6,0,0.5575906770873555,4.284065696581726,THRILS25501_davis26,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,source_key,source_key=harikane23_nirspec_blagn,10,10,10,1,0.5769385509604891,4.550458663809495,CEERS00717_harikane23,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,source_key,source_key=juodzbalis25_jades_blagn,23,23,23,5,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,source_key,source_key=lin24_aspire_blagn,16,16,16,0,0.524681437384534,4.2793618018695145,J1526M2050BHAE2_lin24,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,source_key,source_key=matthee23_eiger_fresco_blagn,20,20,20,1,0.5852364400984997,4.669298997509426,GOODSN9771_matthee23,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,source_key,source_key=ren25_alpine_cristal_jwst_blagn_candidates,7,7,1,0,0.5143421637815957,3.9095721510127524,DC536534_ren25,False,descriptive_stratum_only_no_selection_completeness_correction
v3-shared-science,v3-dataset-catalogue,measurement,source_key,source_key=taylor24_ceers_rubies_blagn,37,36,36,1,0.5915713381378073,4.539839576801608,RUBIESEGS49140_taylor24,False,descriptive_stratum_only_no_selection_completeness_correction
