science_release,input_catalogue_release,catalogue_view,measurement_id,physical_object_id,object_id,source_key,object_class,mass_comparability_group,growth_ranking_eligibility_reason,retained_in_catalogue_flag,excluded_from_science_rank_flag
v3-shared-science,v3-dataset-catalogue,measurement,GNIRS50-J0055-0146_shen19,HZA-GNIRS50-J0055-0146,J0055+0146,shen19_gnirs50,luminous_quasar_comparison,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,UHZ1_bogdan24,HZA-UHZ1,UHZ1,uhz1_xray_evidence_history,xray_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,UHZ1_zou26,HZA-UHZ1,UHZ1 / UNCOVER-26185,uhz1_xray_evidence_history,xray_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,XQR30-WISEA-J0439-1634_mazzucchelli23,HZA-XQR30-WISEA-J0439-1634,WISEA J0439+1634,xqr30_mazzucchelli23,luminous_quasar_comparison,virial_uv_single_epoch,lensing_correction_not_applied,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00004902,HZA-JADES-NS-GS00004902,JADES-NS-GS00004902,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00007762,HZA-JADES-NS-GS00007762,JADES-NS-GS00007762,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00008083,HZA-GS-8083,JADES-NS-GS00008083,scholtz25_jades_narrow_line_agn,broad_line_agn,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00009422,HZA-JADES-NS-GS00009422,JADES-NS-GS00009422,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00009452,HZA-JADES-NS-GS00009452,JADES-NS-GS00009452,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00016745,HZA-JADES-NS-GS00016745,JADES-NS-GS00016745,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00017072,HZA-JADES-NS-GS00017072,JADES-NS-GS00017072,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00021842,HZA-JADES-NS-GS00021842,JADES-NS-GS00021842,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00022251,HZA-JADES-NS-GS00022251,JADES-NS-GS00022251,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00095256,HZA-JADES-NS-GS00095256,JADES-NS-GS00095256,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00099671,HZA-JADES-NS-GS00099671,JADES-NS-GS00099671,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00111091,HZA-JADES-NS-GS00111091,JADES-NS-GS00111091,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00201127,HZA-JADES-NS-GS00201127,JADES-NS-GS00201127,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00202208,HZA-JADES-NS-GS00202208,JADES-NS-GS00202208,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_00208643,HZA-JADES-NS-GS00208643,JADES-NS-GS00208643,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
v3-shared-science,v3-dataset-catalogue,measurement,scholtz25_10000626,HZA-JADES-NS-GS10000626,JADES-NS-GS10000626,scholtz25_jades_narrow_line_agn,narrow_line_agn_candidate,no_numeric_mass,missing_numeric_mbh,True,True
