physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-GNIRS50-J1148-5251,J1148+5251,luminous_quasar_comparison,6.42201,1e2,1.2145529281483909
HZA-XQR30-SDSS-J0100-2802,SDSS J0100+2802,luminous_quasar_comparison,6.3268,1e2,1.212039102186527
HZA-XQR30-PSO-J231-20,PSO J231-20,luminous_quasar_comparison,6.5869,1e2,1.193910686630459
HZA-XQR30-DELS-J0923-0402,DELS J0923+0402,luminous_quasar_comparison,6.633,1e2,1.1902654891922915
HZA-XQR30-DELS-J1535-1943,DELS J1535+1943,luminous_quasar_comparison,6.37,1e2,1.1788219888325095
HZA-XQR30-PSO-J036-03,PSO J036+03,luminous_quasar_comparison,6.5405,1e2,1.167363001837297
HZA-GNIRS50-J0050-3445,J0050+3445,luminous_quasar_comparison,6.24598,1e2,1.1534339273278387
HZA-GNIRS50-J0203-0012,J0203+0012,luminous_quasar_comparison,5.77689,1e2,1.145221523477823
HZA-XQR30-PSO-J183-05,PSO J183+05,luminous_quasar_comparison,6.4386,1e2,1.1376107476989064
HZA-XQR30-VDES-J0224-4711,VDES J0224-4711,luminous_quasar_comparison,6.526,1e2,1.1259619134839471
HZA-XQR30-VST-ATLAS-J025-33,VST-ATLAS J025-33,luminous_quasar_comparison,6.3373,1e2,1.1054814486879054
HZA-GNIRS50-J1148-0702,J1148+0702,luminous_quasar_comparison,6.34412,1e2,1.1022333289133632
HZA-XQR30-PSO-J323-12,PSO J323+12,luminous_quasar_comparison,6.5872,1e2,1.0987258829488402
HZA-GNIRS50-J1137-3549,J1137+3549,luminous_quasar_comparison,6.00204,1e2,1.0970601099801092
HZA-XQR30-PSO-J009-10,PSO J009-10,luminous_quasar_comparison,6.004,1e2,1.09571662024316
HZA-XQR30-VDES-J2211-3206,VDES J2211-3206,luminous_quasar_comparison,6.3394,1e2,1.095512049029781
HZA-XQR30-PSO-J065-26,PSO J065-26,luminous_quasar_comparison,6.1871,1e2,1.0950542948983313
HZA-GNIRS50-J1609-3041,J1609+3041,luminous_quasar_comparison,6.14192,1e2,1.0941185019609707
HZA-XQR30-PSO-J007-04,PSO J007+04,luminous_quasar_comparison,6.0015,1e2,1.0936746277290756
HZA-GNIRS50-J1623-3112,J1623+3112,luminous_quasar_comparison,6.254,1e2,1.0887488312876759
HZA-GNIRS50-J1207-0630,J1207+0630,luminous_quasar_comparison,6.02793,1e2,1.0885991580174614
HZA-XQR30-SDSS-J1030-0524,SDSS J1030+0524,luminous_quasar_comparison,6.304,1e2,1.0821232774901999
HZA-GNIRS50-P210-27,P210+27,luminous_quasar_comparison,6.16694,1e2,1.0786244301932315
HZA-XQR30-ULAS-J1319-0950,ULAS J1319+0950,luminous_quasar_comparison,6.1347,1e2,1.0773490607558267
HZA-XQR30-SDSS-J0818-1722,SDSS J0818+1722,luminous_quasar_comparison,5.96,1e2,1.0649896178013099
HZA-XQR30-SDSS-J2310-1855,SDSS J2310+1855,luminous_quasar_comparison,6.0031,1e2,1.0635867587616736
HZA-GNIRS50-J2356-0023,J2356+0023,luminous_quasar_comparison,5.99266,1e2,1.0563370173919489
HZA-XQR30-VDES-J2250-5015,VDES J2250-5015,luminous_quasar_comparison,5.9767,1e2,1.0554954428968102
HZA-XQR30-PSO-J239-07,PSO J239-07,luminous_quasar_comparison,6.1102,1e2,1.0554846349957794
HZA-GNIRS50-J0033-0125,J0033-0125,luminous_quasar_comparison,6.01884,1e2,1.0461085875054141
HZA-XQR30-ULAS-J0148-0600,ULAS J0148+0600,luminous_quasar_comparison,5.977,1e2,1.0445472637176638
HZA-GNIRS50-J1602-4228,J1602+4228,luminous_quasar_comparison,6.07949,1e2,1.041787441264254
HZA-XQR30-CFHQS-J1509-1749,CFHQS J1509-1749,luminous_quasar_comparison,6.1225,1e2,1.0414384291500594
HZA-GNIRS50-J1257-6349,J1257+6349,luminous_quasar_comparison,5.97714,1e2,1.0384499487684729
HZA-XQR30-PSO-J060-24,PSO J060+24,luminous_quasar_comparison,6.18,1e2,1.0382810313804367
HZA-XQR30-PSO-J089-15,PSO J089-15,luminous_quasar_comparison,5.957,1e2,1.0381638168161522
HZA-GNIRS50-J1630-4012,J1630+4012,luminous_quasar_comparison,6.06311,1e2,1.0361371079676174
HZA-GNIRS50-J1429-5447,J1429+5447,luminous_quasar_comparison,6.11548,1e2,1.0347130264013766
HZA-GNIRS50-J1243-2529,J1243+2529,luminous_quasar_comparison,5.84308,1e2,1.0333942687275492
HZA-XQR30-SDSS-J0842-1218,SDSS J0842+1218,luminous_quasar_comparison,6.0754,1e2,1.029884850265535
HZA-XQR30-PSO-J158-14,PSO J158-14,luminous_quasar_comparison,6.0685,1e2,1.0296063861890885
HZA-XQR30-PSO-J108-08,PSO J108+08,luminous_quasar_comparison,5.9485,1e2,1.0250913513225375
HZA-XQR30-VDES-J0408-5632,VDES J0408-5632,luminous_quasar_comparison,6.0345,1e2,1.0213033801847264
