catalogue_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,survey,field,redshift,evidence_status,primary_growth_ranking_flag,lrd_status,log_mseed_assumption,mseed_assumption_msun,z_seed,epsilon,merger_boost,quiescent_fedd,required_lifetime_average_fedd_point,reported_current_fedd,reported_current_fedd_status,current_fedd_is_instantaneous_not_history,current_to_required_fedd_ratio,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,mass_systematic_applied,interpretation_note,burst_scenario,burst_fedd,required_duty_cycle_point,required_duty_cycle_p5,required_duty_cycle_p16,required_duty_cycle_p50,required_duty_cycle_p84,required_duty_cycle_p95,prob_required_duty_cycle_gt_1,fixed_burst_scenario_feasible_point
v5-blagn,v5-blagn,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,CEERS,EGS,6.0,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.6928274518305172,2.02,available,True,2.9155888593371473,10000,20260808,True,split-normal-in-log-mbh,0.25527251,0.30103,0.25527251,0.30103,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.6928274518305172,0.6236534460764755,0.6512050955985994,0.6930733353074994,0.7275421065843424,0.7509491040444587,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,CEERS,EGS,6.0,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.6928274518305172,2.02,available,True,2.9155888593371473,10000,20260808,True,split-normal-in-log-mbh,0.25527251,0.30103,0.25527251,0.30103,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.3464137259152586,0.3118267230382378,0.3256025477992997,0.3465366676537497,0.3637710532921712,0.37547455202222935,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,CEERS,EGS,6.0,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.6928274518305172,2.02,available,True,2.9155888593371473,10000,20260808,True,split-normal-in-log-mbh,0.25527251,0.30103,0.25527251,0.30103,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.23094248394350572,0.20788448202549187,0.21706836519953313,0.23102444510249975,0.24251403552811415,0.25031636801481955,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,CEERS,EGS,5.666,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.727784155125417,0.65,available,True,0.8931219447721932,10000,20260808,True,split-normal-in-log-mbh,0.1271048,0.13076828,0.1271048,0.13076828,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.727784155125417,0.6998599868898299,0.7111256273725378,0.7279579447676406,0.7435955805417932,0.7539730823058652,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,CEERS,EGS,5.666,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.727784155125417,0.65,available,True,0.8931219447721932,10000,20260808,True,split-normal-in-log-mbh,0.1271048,0.13076828,0.1271048,0.13076828,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.3638920775627085,0.34992999344491493,0.3555628136862689,0.3639789723838203,0.3717977902708966,0.3769865411529326,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,CEERS,EGS,5.666,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.727784155125417,0.65,available,True,0.8931219447721932,10000,20260808,True,split-normal-in-log-mbh,0.1271048,0.13076828,0.1271048,0.13076828,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.24259471837513902,0.23328666229660994,0.23704187579084593,0.24265264825588023,0.24786519351393105,0.25132436076862175,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,CEERS,EGS,6.936,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,1.0273631809780568,0.06,available,True,0.05840193722231664,10000,20260808,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,1.0273631809780568,0.9792118856227461,0.9978504369781455,1.0270173985957747,1.054541499824669,1.0719189265157922,0.8219,False
v5-blagn,v5-blagn,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,CEERS,EGS,6.936,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,1.0273631809780568,0.06,available,True,0.05840193722231664,10000,20260808,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.5136815904890284,0.48960594281137304,0.49892521848907273,0.5135086992978873,0.5272707499123345,0.5359594632578961,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,CEERS,EGS,6.936,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,1.0273631809780568,0.06,available,True,0.05840193722231664,10000,20260808,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.34245439365935226,0.32640396187424875,0.33261681232604845,0.3423391328652582,0.35151383327488966,0.3573063088385974,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,CEERS,EGS,5.624,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.728327294594954,1.47,available,True,2.0183233704258106,10000,20260808,True,split-normal-in-log-mbh,0.09989487,0.11021548,0.09989487,0.11021548,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.728327294594954,0.7053975700364334,0.7143540836080651,0.7286213495080427,0.7408801907596395,0.7493401247159481,0.0,True
