catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,redshift,cosmic_time_gyr,survey,field,object_class,quality_flag,detection_evidence,source_key,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,lrd_status,halpha_absorption_fit_flag,source_caveat_tags,notes,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,reported_statistical_errors_applied,systematic_combined_with_statistical_error,z_seed,epsilon,merger_boost,delta_t_z30_gyr,log_mbh_eval,log_mbh_err_plus_reported,log_mbh_err_minus_reported,mstar_diagnostic_status,lbol_diagnostic_status,edd_ratio_diagnostic_status,log_mstar_msun,log_lbol_erg_s,edd_ratio_reported,log_mbh_mstar_ratio,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,required_fedd_seed1e2,required_fedd_seed1e4,required_fedd_seed1e5,required_log_mseed_fedd0p3,required_log_mseed_fedd1
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6713939196960478,7.99122608,0.16106227,0.17168214,available,available,available,9.61,44.85125835,0.06,-1.6187739199999998,consistent,0.018489525501202,1.0273631809780568,0.6844072760397951,0.5129293235706643,6.241730032955669,2.159572589852229
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.6713939196960478,7.69122608,0.16106227,0.17168214,available,available,available,9.61,44.85125835,0.06,-1.6187739199999998,consistent,0.018489525501202,0.9759197952373174,0.6329638902990559,0.4614859378299251,5.941730032955669,1.8595725898522293
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.6713939196960478,8.29122608,0.16106227,0.17168214,available,available,available,9.61,44.85125835,0.06,-1.6187739199999998,consistent,0.018489525501202,1.078806566718796,0.7358506617805344,0.5643727093114036,6.541730032955669,2.459572589852229
v5-blagn,physical_object,HZA-GLASS-150029,GLASS150029_harikane23,HZA-GLASS-150029,GLASS-150029,1,GLASS150029_harikane23,True,only catalogue measurement in this release,4.583,1.305518856033707,GLASS,Abell-2744,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,1.2055333258645826,6.56820172,0.02286288,0.03672281,available,available,available,9.1,44.95904139,1.89,-2.5317982799999994,consistent,-0.0140073207091978,0.4362663792275504,0.24526501546660406,0.1497643335861309,3.4268628929592233,-3.902927703469257
v5-blagn,physical_object,HZA-GLASS-150029,GLASS150029_harikane23,HZA-GLASS-150029,GLASS-150029,1,GLASS150029_harikane23,True,only catalogue measurement in this release,4.583,1.305518856033707,GLASS,Abell-2744,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,1.2055333258645826,6.26820172,0.02286288,0.03672281,available,available,available,9.1,44.95904139,1.89,-2.5317982799999994,consistent,-0.0140073207091978,0.4076161746634085,0.2166148109024621,0.12111412902198895,3.1268628929592235,-4.202927703469257
v5-blagn,physical_object,HZA-GLASS-150029,GLASS150029_harikane23,HZA-GLASS-150029,GLASS-150029,1,GLASS150029_harikane23,True,only catalogue measurement in this release,4.583,1.305518856033707,GLASS,Abell-2744,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,1.2055333258645826,6.86820172,0.02286288,0.03672281,available,available,available,9.1,44.95904139,1.89,-2.5317982799999994,consistent,-0.0140073207091978,0.46491658379169226,0.273915220030746,0.1784145381502728,3.726862892959223,-3.6029277034692573
v5-blagn,physical_object,HZA-CEERS-01236,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,1,CEERS01236_harikane23,True,only catalogue measurement in this release,4.484,1.340877214423135,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,dual_agn_candidate;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,1.2408916842540105,7.25527251,0.19188553,0.17609126,available,available,available,8.94,44.25527251,0.08,-1.684727489999999,consistent,0.0034605321095069,0.48758132134723814,0.3020224105887785,0.20924295520954866,4.021798043333106,-3.522975712222979
v5-blagn,physical_object,HZA-CEERS-01236,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,1,CEERS01236_harikane23,True,only catalogue measurement in this release,4.484,1.340877214423135,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,dual_agn_candidate;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,1.2408916842540105,6.95527251,0.19188553,0.17609126,available,available,available,8.94,44.25527251,0.08,-1.684727489999999,consistent,0.0034605321095069,0.45974748473346916,0.27418857397500956,0.18140911859577974,3.721798043333107,-3.822975712222979
v5-blagn,physical_object,HZA-CEERS-01236,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,1,CEERS01236_harikane23,True,only catalogue measurement in this release,4.484,1.340877214423135,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,dual_agn_candidate;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,1.2408916842540105,7.55527251,0.19188553,0.17609126,available,available,available,8.94,44.25527251,0.08,-1.684727489999999,consistent,0.0034605321095069,0.515415157961007,0.3298562472025474,0.2370767918233176,4.321798043333107,-3.222975712222979
v5-blagn,physical_object,HZA-CEERS-01665,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,1,CEERS01665_harikane23,True,only catalogue measurement in this release,4.483,1.3412424612273763,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,dust_extinction_corrected;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,1.241256931058252,7.2787536,0.15261016,0.13262557,available,available,available,9.92,45.68124124,1.93,-2.6412464,consistent,-0.0165597858746597,0.48961576950011143,0.3041114604904575,0.21135930598563057,4.044327385303417,-3.502667115655276
