catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,redshift,cosmic_time_gyr,survey,field,object_class,quality_flag,detection_evidence,source_key,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,lrd_status,halpha_absorption_fit_flag,source_caveat_tags,notes,n_samples,random_seed,z_seed,epsilon,merger_boost,reported_statistical_errors_sampled,statistical_error_model,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,systematic_combined_with_statistical_error,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,log_mbh_sample_p5,log_mbh_sample_p16,log_mbh_sample_p50,log_mbh_sample_p84,log_mbh_sample_p95,seed_mass_short,log_mseed_assumption,mseed_assumption_msun,required_fedd_p5,required_fedd_p16,required_fedd_p50,required_fedd_p84,required_fedd_p95,prob_required_fedd_gt_1,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,lensing_status,growth_ranking_eligible_flag,preferred_measurement_phenotype_tags,all_measurements_phenotype_tags,phenotype_evidence_measurement_ids,phenotype_evidence_source_keys
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,baseline,reported MBH,none,all_sources,0.0,7.710424410386067,7.81911798344908,7.9892095969635335,8.149720617958195,8.25105974897127,seed1e2,2.0,100.0,0.9792118856227461,0.9978504369781455,1.0270173985957747,1.054541499824669,1.0719189265157922,0.8219,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,baseline,reported MBH,none,all_sources,0.0,7.710424410386067,7.81911798344908,7.9892095969635335,8.149720617958195,8.25105974897127,seed1e4,4.0,10000.0,0.6362559806844845,0.6548945320398838,0.6840614936575131,0.7115855948864073,0.7289630215775306,0.0,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,baseline,reported MBH,none,all_sources,0.0,7.710424410386067,7.81911798344908,7.9892095969635335,8.149720617958195,8.25105974897127,seed1e5,5.0,100000.0,0.4647780282153537,0.48341657957075307,0.5125835411883823,0.5401076424172766,0.5574850691083998,0.0,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,7.410424410386067,7.51911798344908,7.689209596963533,7.849720617958195,7.951059748971271,seed1e2,2.0,100.0,0.9277684998820068,0.9464070512374063,0.9755740128550354,1.0030981140839297,1.020475540775053,0.1917,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,7.410424410386067,7.51911798344908,7.689209596963533,7.849720617958195,7.951059748971271,seed1e4,4.0,10000.0,0.5848125949437454,0.6034511462991446,0.6326181079167739,0.6601422091456682,0.6775196358367913,0.0,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,7.410424410386067,7.51911798344908,7.689209596963533,7.849720617958195,7.951059748971271,seed1e5,5.0,100000.0,0.41333464247461466,0.4319731938300138,0.4611401554476431,0.48866425667653735,0.5060416833676605,0.0,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,8.010424410386067,8.11911798344908,8.289209596963534,8.449720617958196,8.551059748971271,seed1e2,2.0,100.0,1.0306552713634853,1.0492938227188848,1.0784607843365137,1.1059848855654082,1.1233623122565315,0.9965,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,8.010424410386067,8.11911798344908,8.289209596963534,8.449720617958196,8.551059748971271,seed1e4,4.0,10000.0,0.6876993664252238,0.706337917780623,0.7355048793982524,0.7630289806271467,0.7804064073182699,0.0,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-00717,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,1,CEERS00717_harikane23,True,only catalogue measurement in this release,6.936,0.7713794498651723,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.16106227,0.17168214,0.16106227,0.17168214,asymmetric,False,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,8.010424410386067,8.11911798344908,8.289209596963534,8.449720617958196,8.551059748971271,seed1e5,5.0,100000.0,0.5162214139560929,0.5348599653114923,0.5640269269291216,0.591551028158016,0.6089284548491392,0.0,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
v5-blagn,physical_object,HZA-CEERS-01236,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,1,CEERS01236_harikane23,True,only catalogue measurement in this release,4.484,1.340877214423135,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,dual_agn_candidate;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,10000,20260808,30.0,0.1,1.0,True,split-normal-in-log-mbh,0.19188553,0.17609126,0.19188553,0.17609126,asymmetric,False,baseline,reported MBH,none,all_sources,0.0,6.965587364796278,7.077625421333832,7.2523965001992625,7.442810108488486,7.566150791645466,seed1e2,2.0,100.0,0.4607044913437837,0.4710993212110853,0.48731448672426037,0.5049809575981286,0.5164244390075352,0.0,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,,,,
