catalogue_release,catalogue_view,ranking_id,physical_object_id,object_id,measurement_id,source_key,survey,field,redshift,evidence_status,primary_growth_ranking_flag,ranking_population,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,quality_flag,detection_evidence,mbh_method,source_caveat_tags,detection_confidence_tier,detection_confidence_score_0_100,mass_measurement_reliability_tier,mass_measurement_reliability_score_0_100,source_virial_sensitivity_note,full_ranking_role,primary_ranking_role,rank_growth_pressure,rank_primary_growth_pressure,rank_uncertainty_pressure,rank_primary_uncertainty_pressure,physical_pressure_score_0_100,req_fedd_seed1e2_z30_eps0p1_b1,physical_growth_pressure_tier,measurement_confidence_tier,lrd_status,preferred_measurement_reason
v5-blagn,physical_object,HZA-GN-38509,HZA-GN-38509,GN-38509,GN38509_juodzbalis25,juodzbalis25_jades_blagn,JADES,,6.678,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,robust,individual_robust,single-epoch-virial-halpha,,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,1,1,1,1,98.44540599147037,1.064544199368414,high,high,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GS-20057765,HZA-GS-20057765,GS-20057765,GS20057765_juodzbalis25,juodzbalis25_jades_blagn,JADES,,8.913,probable_accreting_mbh,True,primary_evidence_supported,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,tentative,stack_supported_tentative_hbeta,single-epoch-virial-hbeta,,low_tentative_stack_supported,35,medium_tentative,60,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,2,2,2,2,93.77309018057997,1.3553650821669596,high,medium_tentative,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-EGS-49140,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,RUBIESEGS49140_taylor24,taylor24_ceers_rubies_blagn,RUBIES,EGS,6.685,candidate_accreting_mbh,False,exploratory_candidate_or_disputed,robust_broad_line_with_recorded_alternative_non_agn_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit;alternative_non_agn_compact_galaxy_broadening,high,90,robust_with_interpretive_caveat,70,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,excluded_candidate_or_disputed,3,,3,,87.49084949824412,1.0158950168929186,high,robust_with_interpretive_caveat,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-CEERS-00717,HZA-CEERS-00717,CEERS-00717,CEERS00717_harikane23,harikane23_nirspec_blagn,CEERS,EGS,6.936,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,robust,individual_robust,single-epoch-virial-halpha-greeneho2005,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,high,90,high,90,"Harikane statistical errors are propagated; no numeric virial-calibration systematic is published, so no source-specific scenario is inferred",exploratory_diagnostic,included_evidence_supported,4,3,5,4,81.93378689127388,1.0273631809780568,high,high,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GOODS-N-9771,HZA-GOODS-N-9771,GOODS-N-9771,GOODSN9771_matthee23,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,5.538,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,halpha_absorption_fit;blueshifted_absorption_340_km_s;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,robust_with_measurement_caveat,75,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,5,4,4,3,75.85749677304578,0.8099785765046903,high,robust_with_measurement_caveat,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GS-164055,HZA-GS-164055,GS-164055,GS164055_juodzbalis25,juodzbalis25_jades_blagn,JADES,,7.397,probable_accreting_mbh,True,primary_evidence_supported,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,tentative,stack_supported_tentative_hbeta,single-epoch-virial-hbeta,,low_tentative_stack_supported,35,medium_tentative,60,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,6,5,7,6,75.7772436255635,1.064628309775132,high,medium_tentative,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GS-20030333,HZA-GS-20030333,GS-20030333,GS20030333_juodzbalis25,juodzbalis25_jades_blagn,JADES,,7.891,probable_accreting_mbh,True,primary_evidence_supported,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,tentative,stack_supported_tentative_hbeta,single-epoch-virial-hbeta,,low_tentative_stack_supported,35,medium_tentative,60,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,7,6,6,5,74.67999599624905,1.1332146730828314,high,medium_tentative,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GN-954,HZA-GN-954,GN-954,GN954_juodzbalis25,juodzbalis25_jades_blagn,JADES,,6.759,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,robust,individual_robust,single-epoch-virial-halpha,,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,8,7,9,8,68.7122265884922,0.9403035606779888,medium,high,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GN-4685,HZA-GN-4685,GN-4685,GN4685_juodzbalis25,juodzbalis25_jades_blagn,JADES,,7.415,probable_accreting_mbh,True,primary_evidence_supported,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,tentative,stack_supported_tentative_hbeta,single-epoch-virial-hbeta,,low_tentative_stack_supported,35,medium_tentative,60,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,9,8,8,7,66.38166725891102,1.0173652371980322,high,medium_tentative,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-EGS-42046,HZA-RUBIES-EGS-42046,RUBIES-EGS-42046,RUBIESEGS42046_taylor24,taylor24_ceers_rubies_blagn,RUBIES,EGS,5.276,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit,high,90,robust_with_measurement_caveat,75,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,10,9,10,9,60.875632510651556,0.7281883631027115,medium,robust_with_measurement_caveat,lrd,only catalogue measurement in this release
