catalogue_release,catalogue_view,stratum_type,stratum_value,n_rows,n_high_pressure,n_medium_pressure,n_low_pressure,median_required_fedd_seed1e2,median_required_log_mseed_fedd0p3,top_ranking_id,top_object_id,top_growth_pressure_score,demographic_inference_allowed,selection_function_note,interpretation_note,input_catalogue_release
v6-blagn,measurement,overall,all,112,8,22,82,0.581274865561412,4.542068591487341,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,"descriptive only: mixes JADES, CEERS/RUBIES, EIGER/FRESCO, ASPIRE, Harikane NIRSpec, and THRILS EELG/deep-G395M selection functions",Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,source,davis26_thrils_blagn,6,0,1,5,0.5575906770873555,4.284065696581726,THRILS25501_davis26,THRILS-25501,36.63723658288308,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,source,harikane23_nirspec_blagn,10,1,3,6,0.5769385509604891,4.550458663809495,CEERS00717_harikane23,CEERS-00717,81.93378689127388,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,source,juodzbalis25_jades_blagn,23,5,4,14,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,source,lin24_aspire_blagn,16,0,2,14,0.524681437384534,4.2793618018695145,J1526M2050BHAE2_lin24,J1526M2050-BHAE-2,41.95748325542656,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,source,matthee23_eiger_fresco_blagn,20,1,4,15,0.5852364400984997,4.669298997509426,GOODSN9771_matthee23,GOODS-N-9771,75.85749677304578,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,source,taylor24_ceers_rubies_blagn,37,1,8,28,0.5915713381378073,4.539839576801608,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,survey,ASPIRE,16,0,2,14,0.524681437384534,4.2793618018695145,J1526M2050BHAE2_lin24,J1526M2050-BHAE-2,41.95748325542656,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,survey,CEERS,13,1,4,8,0.6440137503139133,4.83495876781895,CEERS00717_harikane23,CEERS-00717,81.93378689127388,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
v6-blagn,measurement,survey,EIGER,12,0,1,11,0.5521573720923107,4.5253171960384755,J114818404_matthee23,J1148-18404,35.864250363386525,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.,v6-blagn
